Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.05.22-07:26:53.777;153;60;2;12;15;6;9;6;2;1
2020.05.22-15:27:01.406;113;120;14;22;10;16;6;4;0;0
2020.05.22-09:16:55.413;121;89;10;19;15;8;4;5;2;1
2020.05.22-09:26:55.427;96;84;10;13;12;7;1;4;1;4
2020.05.22-01:40:01.409;2;1;0;0;0;0;0;0;0;0
2020.05.22-03:26:47.472;5;1;1;0;1;0;0;1;0;1
2020.05.22-03:56:47.900;6;2;1;1;0;0;0;0;0;0
2020.05.22-08:16:54.527;114;82;1;15;28;7;4;0;1;0
2020.05.22-06:06:50.137;3;13;4;12;24;31;9;8;4;9
2020.05.22-02:26:10.451;4;1;0;0;0;0;0;0;0;0
2020.05.22-05:26:49.163;0;0;0;0;0;0;0;0;0;0
2020.05.22-06:36:51.110;4;6;12;18;9;14;2;5;4;3
2020.05.22-12:16:57.299;79;99;18;16;15;4;1;2;0;1
2020.05.22-18:07:03.341;108;122;23;18;33;6;2;3;1;0
2020.05.22-00:50:00.670;8;7;1;0;3;0;0;0;0;0
2020.05.22-04:36:48.315;21;3;3;0;2;0;5;2;3;2
2020.05.22-01:10:00.944;1;2;0;0;0;0;0;0;0;0
2020.05.22-15:47:01.743;119;137;25;30;17;16;5;4;0;0
2020.05.22-04:46:48.469;10;8;3;6;1;3;6;12;2;3
2020.05.22-20:07:05.360;57;64;12;21;20;3;2;2;1;0
2020.05.22-15:17:01.201;94;104;15;31;16;10;5;8;2;0
2020.05.22-19:07:04.675;71;98;11;14;23;9;4;4;1;1
2020.05.22-13:26:58.666;86;109;18;14;9;4;3;7;2;0
2020.05.22-02:36:10.480;2;2;1;1;0;0;0;0;0;0
2020.05.22-03:36:47.589;2;0;1;1;0;1;0;0;1;0
2020.05.22-08:36:54.924;96;87;12;14;25;1;6;5;3;1
2020.05.22-14:27:00.211;105;130;16;22;12;7;6;11;1;1
2020.05.22-21:17:06.134;24;39;11;2;5;5;0;0;1;1
2020.05.22-21:27:06.289;28;49;17;8;8;2;4;3;1;0
2020.05.22-09:36:55.470;115;83;12;9;10;5;5;6;6;4
2020.05.22-11:06:56.220;90;100;10;15;9;4;7;4;1;1
2020.05.22-18:37:04.030;85;124;12;18;27;10;3;2;1;0
2020.05.22-20:47:05.781;39;53;15;11;10;9;1;1;0;0
2020.05.22-05:36:49.426;0;0;0;0;0;0;0;0;0;0
2020.05.22-09:46:55.531;128;65;14;16;13;6;2;2;0;0
2020.05.22-11:16:56.390;90;107;12;16;6;2;1;2;0;0
2020.05.22-05:06:48.974;1;4;4;4;1;4;3;4;0;0
2020.05.22-22:57:07.344;16;21;7;3;9;4;0;3;0;0
2020.05.22-23:17:07.516;14;23;12;5;3;3;1;0;0;0
2020.05.22-23:27:07.556;12;21;5;6;2;1;0;0;0;0
2020.05.22-03:46:47.745;4;2;0;0;0;0;0;0;0;0
2020.05.22-22:17:06.812;20;32;8;7;4;2;1;0;0;0
2020.05.22-11:26:56.540;87;105;10;8;10;6;4;7;1;3
2020.05.22-10:16:55.875;94;91;13;24;18;2;4;5;2;3
2020.05.22-01:50:01.527;2;3;0;0;0;0;0;0;0;0
2020.05.22-08:56:55.275;101;76;6;17;10;4;7;4;0;0
2020.05.22-23:07:07.444;12;21;9;7;2;0;1;4;0;1
2020.05.22-07:16:53.702;124;49;2;11;15;5;4;2;1;0
2020.05.22-18:57:04.535;101;143;6;23;34;10;3;8;1;1
