Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.03.19-00:00:00.127;2;1;0;0;0;0;0;1;0;0
2021.03.19-00:10:00.230;0;0;0;0;0;0;0;0;0;0
2021.03.19-00:20:00.440;0;3;0;0;0;0;0;2;0;0
2021.03.19-00:30:00.541;4;2;1;0;0;1;0;0;0;0
2021.03.19-00:40:00.581;1;1;1;0;0;0;0;0;0;0
2021.03.19-00:50:03.906;2;1;0;0;0;0;0;0;0;0
2021.03.19-01:00:04.124;1;0;1;0;0;0;0;0;0;0
2021.03.19-01:10:04.304;0;1;0;0;0;0;0;0;0;0
2021.03.19-01:33:20.327;2;1;0;0;0;0;0;0;0;0
2021.03.19-01:43:20.542;0;0;0;0;0;0;0;0;0;0
2021.03.19-01:53:20.688;1;1;0;0;0;0;0;1;0;0
2021.03.19-02:03:20.842;1;0;0;0;0;0;0;0;0;0
2021.03.19-02:13:20.984;0;0;0;0;0;0;0;0;0;0
2021.03.19-02:23:21.018;0;1;0;0;0;0;0;0;0;0
2021.03.19-02:45:20.210;1;2;0;0;0;0;0;0;0;0
2021.03.19-02:55:20.271;4;0;0;0;0;0;0;0;0;0
2021.03.19-03:05:20.426;2;1;0;0;0;0;0;0;0;0
2021.03.19-03:15:20.603;2;0;0;1;0;0;0;0;0;0
2021.03.19-03:25:20.701;3;2;0;0;2;0;0;2;0;0
2021.03.19-03:35:20.730;7;1;0;0;4;0;0;0;1;0
2021.03.19-03:45:20.838;3;0;0;0;0;0;1;0;0;0
2021.03.19-03:55:20.878;3;2;2;1;1;0;0;1;0;0
2021.03.19-04:05:21.030;6;2;2;0;0;0;0;3;0;1
2021.03.19-04:15:21.228;4;1;0;0;1;0;1;0;0;1
2021.03.19-04:25:21.415;6;2;1;0;1;0;1;1;0;1
2021.03.19-04:35:21.428;15;3;1;1;2;0;2;2;0;1
2021.03.19-04:45:21.582;18;6;3;2;1;0;0;2;1;0
2021.03.19-04:55:21.656;18;9;1;3;1;0;0;4;1;1
2021.03.19-05:05:21.853;38;9;6;0;3;0;3;0;0;1
2021.03.19-05:15:22.016;38;10;4;3;3;1;0;3;0;0
2021.03.19-05:25:22.028;60;7;2;4;7;1;4;2;1;0
2021.03.19-05:35:22.029;47;16;0;3;9;1;5;1;1;0
2021.03.19-05:45:22.266;47;21;4;5;10;1;2;2;0;1
2021.03.19-05:55:22.443;37;20;2;3;5;1;1;8;3;3
2021.03.19-06:05:22.551;51;16;2;6;6;2;3;1;1;0
2021.03.19-06:15:22.729;88;30;3;6;12;3;3;1;2;2
2021.03.19-06:25:22.771;81;35;4;2;9;1;5;0;2;3
2021.03.19-06:35:23.008;111;38;9;7;15;4;7;0;1;0
2021.03.19-06:45:23.136;101;64;7;9;10;1;0;5;3;1
2021.03.19-06:55:23.156;130;45;4;7;20;2;4;8;2;1
2021.03.19-07:05:23.465;137;51;7;5;23;5;4;7;0;1
2021.03.19-07:15:23.591;118;54;7;6;22;2;1;5;1;3
2021.03.19-07:25:23.650;124;81;13;8;31;6;2;5;1;2
2021.03.19-07:35:23.675;141;76;11;8;31;5;9;1;2;0
2021.03.19-07:45:23.807;145;98;10;14;24;2;4;6;1;1
2021.03.19-07:55:23.953;128;72;8;13;20;2;4;5;2;1
2021.03.19-08:05:24.190;102;55;5;6;15;6;4;1;0;0
2021.03.19-08:15:24.402;110;86;8;3;19;5;0;5;0;2
2021.03.19-08:25:24.550;105;73;7;6;13;2;8;6;3;1
2021.03.19-08:35:24.699;112;91;5;11;14;11;3;4;3;0
2021.03.19-08:45:24.725;148;86;5;10;12;7;1;4;0;3
2021.03.19-08:55:25.496;113;77;7;4;10;3;3;4;0;2
2021.03.19-09:05:25.692;112;84;4;10;10;5;1;1;2;3
2021.03.19-09:15:25.899;83;69;3;9;12;4;2;2;0;0
2021.03.19-09:25:26.081;99;87;6;12;17;5;6;6;3;1
2021.03.19-09:35:26.302;117;58;4;7;12;5;6;0;3;1
2021.03.19-09:45:26.487;104;86;5;8;23;4;3;3;1;1
2021.03.19-09:55:26.508;114;96;5;9;9;5;3;1;3;1
2021.03.19-10:05:26.770;90;86;6;9;13;4;3;0;2;0
2021.03.19-10:15:26.790;94;82;4;4;11;6;5;4;0;2
2021.03.19-10:25:26.955;115;101;7;5;13;3;2;3;3;1
2021.03.19-10:35:26.972;74;92;10;6;11;6;2;0;1;0
2021.03.19-10:45:27.136;132;95;5;7;13;12;4;3;2;3
2021.03.19-10:55:27.523;96;93;10;10;9;5;5;4;1;1
2021.03.19-11:05:27.603;88;87;4;6;8;4;4;2;1;1
2021.03.19-11:15:27.809;90;124;7;5;13;11;4;3;0;1
2021.03.19-11:25:28.048;106;96;5;12;18;7;9;7;5;0
2021.03.19-11:35:28.179;84;118;8;11;8;10;4;4;0;1
2021.03.19-11:45:28.520;120;89;7;16;10;4;2;0;0;0
2021.03.19-11:55:28.604;108;113;11;12;14;11;1;2;3;4
2021.03.19-12:05:28.711;102;106;6;9;15;5;7;0;2;0
2021.03.19-12:15:28.795;76;143;14;6;11;4;3;5;0;1
2021.03.19-12:25:28.797;103;97;7;12;13;7;1;3;2;2
2021.03.19-12:35:28.836;93;116;7;9;14;7;3;1;2;1
2021.03.19-12:45:29.147;115;119;7;13;9;10;2;6;0;3
2021.03.19-12:55:29.244;103;99;8;14;14;6;2;4;2;2
2021.03.19-13:05:29.434;92;105;4;14;18;7;4;0;0;0
2021.03.19-13:15:29.631;104;118;5;15;16;15;3;4;2;1
2021.03.19-13:25:29.706;105;126;5;13;22;9;8;7;3;1
2021.03.19-13:35:29.971;116;129;2;17;22;6;5;4;4;0
2021.03.19-13:45:30.230;113;114;7;14;21;11;2;3;0;4
2021.03.19-13:55:30.383;89;134;9;23;20;7;7;4;3;0
2021.03.19-14:05:30.586;92;131;9;19;17;13;5;3;0;0
2021.03.19-14:15:30.699;96;131;13;10;22;10;5;3;2;3
2021.03.19-14:25:30.813;103;106;13;10;14;7;5;8;1;2
2021.03.19-14:35:30.933;94;156;13;11;12;13;7;1;0;0
2021.03.19-14:45:31.150;103;146;11;17;19;12;1;7;0;2
2021.03.19-14:55:31.271;100;114;7;20;12;6;4;2;3;2
2021.03.19-15:05:31.305;93;131;9;14;11;15;5;0;1;0
2021.03.19-15:15:31.372;94;129;12;15;14;8;2;7;2;4
2021.03.19-15:25:31.458;84;153;16;15;17;13;3;2;1;2
2021.03.19-15:35:31.481;101;146;15;17;8;7;6;0;2;0
2021.03.19-15:45:31.701;110;130;17;24;9;7;1;7;0;3
2021.03.19-15:55:31.748;77;116;10;14;12;2;10;4;2;1
2021.03.19-16:05:31.752;116;149;10;17;13;5;8;2;2;0
2021.03.19-16:15:31.824;95;146;8;21;22;14;3;5;0;3
2021.03.19-16:25:31.982;117;143;12;27;19;12;5;4;2;1
2021.03.19-16:35:32.122;95;131;16;10;16;8;8;1;3;0
2021.03.19-16:45:32.410;96;134;8;24;23;8;0;4;1;1
2021.03.19-16:55:32.412;120;135;16;9;16;10;10;7;1;2
2021.03.19-17:05:32.584;124;149;13;14;23;9;4;2;1;0
2021.03.19-17:15:32.639;116;139;8;17;16;15;1;6;1;1
2021.03.19-17:25:32.801;104;109;10;16;14;16;6;4;2;1
2021.03.19-17:35:32.993;119;124;7;10;29;5;4;4;2;0
2021.03.19-17:45:33.117;114;129;4;9;25;8;0;5;0;1
2021.03.19-17:55:33.174;102;106;6;9;24;8;4;3;2;1
2021.03.19-18:05:33.259;73;116;9;17;12;8;1;3;1;0
2021.03.19-18:15:33.388;86;132;5;6;11;4;0;3;0;0
2021.03.19-18:25:33.515;83;151;18;10;18;5;5;5;0;1
2021.03.19-18:35:33.543;83;106;18;9;10;2;0;1;0;0
2021.03.19-18:45:33.701;73;114;12;2;5;3;0;3;0;2
2021.03.19-18:55:33.703;70;96;4;4;3;2;5;7;0;0
