Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.06.25-00:00:00.133;8;11;1;5;0;0;0;0;0;0
2021.06.25-00:10:00.184;23;29;15;22;0;0;5;1;5;0
2021.06.25-00:20:00.347;11;27;12;24;4;2;1;3;0;0
2021.06.25-00:30:00.367;10;14;9;5;3;6;0;2;0;0
2021.06.25-00:40:00.435;7;10;1;2;1;5;0;0;0;0
2021.06.25-00:50:00.588;2;5;5;3;5;2;0;0;0;0
2021.06.25-01:00:00.744;5;9;7;6;5;9;0;0;0;0
2021.06.25-01:10:00.910;9;5;6;6;2;5;0;0;0;0
2021.06.25-01:20:00.961;9;8;4;3;4;2;0;0;0;0
2021.06.25-01:30:01.125;2;3;2;4;1;1;0;0;0;0
2021.06.25-01:40:01.206;4;6;1;1;2;1;0;0;0;0
2021.06.25-01:50:01.346;5;8;1;2;0;2;0;2;0;1
2021.06.25-02:00:01.430;3;2;5;3;2;0;1;0;0;0
2021.06.25-02:10:01.494;6;4;0;2;4;2;0;0;0;0
2021.06.25-02:20:01.665;4;0;1;3;1;2;0;0;0;0
2021.06.25-02:30:01.721;1;2;1;2;2;2;0;0;0;0
2021.06.25-02:40:01.735;3;2;2;1;2;3;0;0;0;0
2021.06.25-02:50:18.432;2;1;0;1;1;4;0;0;0;0
2021.06.25-03:00:18.531;3;3;0;2;0;5;0;0;0;0
2021.06.25-03:10:18.686;10;6;0;0;3;4;0;0;0;0
2021.06.25-03:20:18.710;10;3;0;0;2;2;0;1;0;0
2021.06.25-03:30:18.821;9;4;2;2;1;3;1;1;1;0
2021.06.25-03:40:18.831;6;4;0;2;1;3;0;1;0;0
2021.06.25-03:50:18.960;6;3;1;0;0;0;0;0;0;0
2021.06.25-04:00:19.027;3;2;1;1;1;0;0;0;0;0
2021.06.25-04:10:19.056;11;8;1;0;0;0;3;3;2;1
2021.06.25-04:20:19.241;15;13;3;0;3;1;0;3;0;1
2021.06.25-04:30:19.355;19;4;7;2;9;7;0;3;2;0
2021.06.25-04:40:19.452;19;3;4;2;5;0;4;5;2;0
2021.06.25-04:50:19.567;23;5;7;6;5;1;2;11;0;2
2021.06.25-05:00:19.642;27;16;6;8;13;4;7;11;0;1
2021.06.25-05:10:19.684;32;11;8;7;12;0;2;8;1;4
2021.06.25-05:20:19.860;32;16;7;6;6;2;4;0;0;2
2021.06.25-05:30:20.039;57;24;9;11;9;1;6;4;5;3
2021.06.25-05:40:20.109;50;22;9;17;11;1;2;6;2;2
2021.06.25-05:50:20.114;45;20;9;13;7;1;4;5;2;2
2021.06.25-06:00:20.129;48;29;5;8;5;2;8;3;2;4
2021.06.25-06:10:20.203;61;27;19;13;7;4;2;5;2;1
2021.06.25-06:20:20.357;83;31;22;5;12;0;5;6;2;1
2021.06.25-06:30:20.438;103;37;15;16;18;5;7;8;1;2
2021.06.25-06:40:20.463;120;43;28;18;24;4;15;8;3;4
2021.06.25-06:50:20.765;129;47;24;21;32;5;7;8;3;2
2021.06.25-07:00:20.794;119;44;23;16;40;3;9;6;4;3
2021.06.25-07:10:20.942;122;57;15;12;47;7;6;8;4;1
2021.06.25-07:20:20.978;125;69;26;21;49;2;9;6;2;3
2021.06.25-07:30:21.173;136;71;24;19;53;13;11;6;4;1
2021.06.25-07:40:21.280;158;107;21;18;53;6;17;9;3;3
2021.06.25-07:50:21.465;138;95;16;26;52;6;9;7;5;0
2021.06.25-08:00:21.476;108;92;18;22;43;5;11;9;4;1
2021.06.25-08:10:21.591;137;104;10;18;44;4;12;5;2;2
2021.06.25-08:20:21.632;122;100;11;14;38;12;9;4;2;2
2021.06.25-08:30:21.824;160;98;13;9;54;1;11;1;4;2
2021.06.25-08:40:21.838;142;78;18;22;51;1;10;7;0;6
2021.06.25-08:50:21.902;142;85;18;16;28;14;4;10;0;1
2021.06.25-09:00:22.083;115;99;13;11;23;4;14;4;2;0
2021.06.25-09:10:22.183;107;94;21;15;25;4;5;9;0;1
2021.06.25-09:20:22.312;117;83;28;16;10;10;4;4;1;3
2021.06.25-09:30:22.497;113;77;17;12;14;7;5;5;3;3
2021.06.25-09:40:22.620;100;70;23;15;9;10;8;5;2;4
2021.06.25-09:50:22.668;97;83;35;14;22;15;8;6;3;4
2021.06.25-10:00:22.847;126;109;19;15;13;9;10;5;2;0
2021.06.25-10:10:23.155;97;90;18;16;10;11;4;10;1;2
2021.06.25-10:20:23.345;95;95;20;15;9;2;5;5;2;3
2021.06.25-10:30:23.386;108;88;22;20;11;9;8;4;1;2
2021.06.25-10:40:23.424;129;104;22;19;14;6;8;2;3;4
2021.06.25-10:50:23.488;113;88;23;21;23;16;6;5;2;1
2021.06.25-11:00:23.496;89;84;28;20;14;7;9;9;1;3
2021.06.25-11:10:23.724;117;83;25;16;7;5;5;7;1;1
2021.06.25-11:20:23.752;90;99;10;20;9;9;9;6;1;1
2021.06.25-11:30:24.018;106;99;16;25;13;11;9;6;1;4
2021.06.25-11:40:24.019;94;98;19;18;16;12;11;4;4;2
2021.06.25-11:50:24.086;92;87;16;16;14;9;8;11;1;1
2021.06.25-12:00:24.168;96;108;17;17;15;6;6;3;3;0
2021.06.25-12:10:24.171;83;114;16;21;21;7;3;5;2;2
2021.06.25-12:20:24.402;89;103;15;10;1;10;4;10;1;3
2021.06.25-12:30:24.511;100;93;17;16;6;2;7;5;0;1
2021.06.25-12:40:24.721;89;85;20;25;13;10;7;9;2;4
2021.06.25-12:50:24.999;86;80;12;29;5;7;5;5;4;0
2021.06.25-13:00:25.113;96;89;16;20;2;19;7;5;4;2
2021.06.25-13:10:25.356;83;97;15;29;11;7;5;13;0;3
2021.06.25-13:20:25.522;85;105;13;22;14;5;11;6;1;0
2021.06.25-13:30:25.632;103;115;18;24;18;5;9;9;0;3
2021.06.25-13:40:25.721;107;110;17;33;9;20;11;9;2;0
2021.06.25-13:50:25.809;101;118;16;22;18;9;3;8;2;2
2021.06.25-14:00:25.899;93;102;12;27;11;5;3;8;2;2
2021.06.25-14:10:26.204;96;109;28;27;15;11;15;10;2;3
2021.06.25-14:20:26.473;89;119;20;27;7;21;10;7;4;2
2021.06.25-14:30:26.523;82;108;13;31;11;13;3;9;1;5
2021.06.25-14:40:26.690;112;97;12;32;11;10;8;9;6;2
2021.06.25-14:50:27.092;88;89;17;25;13;13;7;7;2;2
2021.06.25-15:00:27.121;91;104;23;28;9;6;6;7;6;1
2021.06.25-15:10:27.310;100;114;23;21;8;18;8;10;1;3
2021.06.25-15:20:27.416;96;105;19;30;22;18;10;13;5;3
2021.06.25-15:30:27.621;101;119;20;36;12;15;6;8;2;6
2021.06.25-15:40:27.685;108;117;23;21;16;12;12;8;2;4
2021.06.25-15:50:27.913;90;127;19;24;7;14;6;8;2;3
2021.06.25-16:00:27.965;100;122;27;32;33;9;10;6;2;3
2021.06.25-16:10:28.069;118;130;29;38;20;7;10;6;3;1
2021.06.25-16:20:28.215;99;136;24;30;25;12;13;6;5;2
2021.06.25-16:30:28.244;119;123;32;28;35;9;7;5;1;2
2021.06.25-16:40:28.459;110;109;32;35;28;15;7;11;6;4
2021.06.25-16:50:28.582;125;113;15;29;29;10;6;8;4;2
2021.06.25-17:00:28.768;109;113;19;30;26;6;9;4;3;2
2021.06.25-17:10:28.845;108;132;21;34;21;8;13;8;2;4
2021.06.25-17:20:28.880;100;106;21;26;25;9;6;9;4;3
2021.06.25-17:30:29.057;110;103;19;35;13;15;6;5;2;5
2021.06.25-17:40:29.188;113;91;23;26;10;13;6;12;7;3
2021.06.25-17:50:29.309;127;94;25;31;23;11;8;7;0;4
2021.06.25-18:00:29.469;108;100;15;18;20;8;9;6;4;2
2021.06.25-18:10:29.613;117;123;29;26;32;17;12;3;2;2
2021.06.25-18:20:29.781;117;110;16;23;29;9;3;5;3;1
2021.06.25-18:30:30.169;95;99;16;28;23;6;6;4;4;1
2021.06.25-18:40:30.236;106;73;22;16;23;8;6;7;3;2
2021.06.25-18:50:30.359;83;98;22;24;16;14;2;7;2;1
2021.06.25-19:00:30.536;105;105;22;26;29;12;1;2;1;2
2021.06.25-19:10:30.706;91;98;28;22;29;7;6;7;1;1
2021.06.25-19:20:30.817;88;84;16;19;25;9;5;9;0;0
2021.06.25-19:30:30.858;98;106;15;12;26;11;5;6;5;0
2021.06.25-19:40:31.026;96;105;22;12;27;7;3;6;1;1
2021.06.25-19:50:31.123;98;97;14;5;24;7;4;5;1;2
2021.06.25-20:00:31.222;71;88;1;3;8;1;5;5;0;0
2021.06.25-20:10:31.249;53;59;2;0;9;2;2;10;1;0
2021.06.25-20:20:31.474;52;42;8;7;9;7;6;3;1;0
2021.06.25-20:30:31.647;43;49;9;4;6;1;4;3;0;1
2021.06.25-20:40:31.759;34;48;5;2;1;0;0;6;1;0
2021.06.25-20:50:31.901;31;29;4;4;4;2;3;7;2;0
2021.06.25-21:00:31.913;34;44;10;8;3;3;5;10;2;0
2021.06.25-21:10:32.001;39;50;8;2;2;2;2;2;1;0
2021.06.25-21:20:32.061;46;32;6;6;6;1;2;2;2;0
2021.06.25-21:30:32.084;28;52;8;2;6;0;3;1;1;0
2021.06.25-21:40:32.168;35;35;9;2;4;3;3;6;0;0
2021.06.25-21:50:32.240;21;30;6;3;2;0;1;6;1;0
2021.06.25-22:00:32.476;41;32;2;6;3;1;4;3;1;0
2021.06.25-22:10:32.649;24;50;9;3;4;4;5;2;1;2
2021.06.25-22:20:32.661;21;22;7;2;2;4;1;4;0;1
2021.06.25-22:30:32.801;30;27;4;4;2;2;1;2;1;0
2021.06.25-22:40:32.897;19;32;5;5;4;7;3;9;0;0
2021.06.25-22:50:33.250;20;31;1;0;0;1;1;0;0;0
2021.06.25-23:00:33.257;18;29;0;1;0;0;0;1;0;0
2021.06.25-23:10:33.354;18;12;1;2;0;1;2;1;0;0
2021.06.25-23:20:33.433;18;22;0;1;0;0;2;0;1;0
2021.06.25-23:30:33.575;17;29;2;0;2;0;1;0;0;0
2021.06.25-23:40:33.593;20;16;0;0;1;0;1;1;0;1
2021.06.25-23:50:33.625;15;22;0;3;0;0;0;0;0;0
