Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.12.21-00:00:00.143;2;1;0;0;0;0;0;0;0;0
2020.12.21-00:10:00.326;0;0;0;0;0;0;0;0;0;0
2020.12.21-00:20:00.412;0;0;1;1;0;0;0;4;0;0
2020.12.21-00:30:00.473;0;1;0;0;0;0;0;1;0;0
2020.12.21-00:40:00.546;0;0;0;0;0;0;0;0;0;0
2020.12.21-00:50:00.560;0;0;0;0;0;0;0;0;0;0
2020.12.21-01:00:00.606;0;0;0;0;0;0;0;0;0;0
2020.12.21-01:10:00.680;0;1;0;0;0;0;1;0;0;0
2020.12.21-01:20:00.772;1;0;0;0;0;0;0;0;0;0
2020.12.21-01:30:00.937;1;1;0;0;1;0;0;0;0;0
2020.12.21-01:40:01.051;1;2;0;0;0;0;0;0;0;0
2020.12.21-01:50:01.238;0;0;1;0;0;0;0;0;0;0
2020.12.21-02:00:01.376;0;0;0;0;0;0;0;0;0;0
2020.12.21-02:10:01.482;1;0;0;0;0;0;0;0;0;0
2020.12.21-02:20:01.541;0;0;1;0;0;0;0;0;0;0
2020.12.21-02:30:01.563;2;0;0;0;0;0;0;0;0;0
2020.12.21-02:40:01.734;2;2;0;0;0;0;0;0;0;0
2020.12.21-02:50:01.921;2;0;0;0;0;0;0;0;0;0
2020.12.21-03:00:01.958;3;1;0;0;0;0;0;1;0;0
2020.12.21-03:10:02.018;2;0;0;0;0;0;0;0;0;0
2020.12.21-03:20:02.164;3;0;0;0;0;0;1;1;0;0
2020.12.21-03:30:02.221;5;1;1;0;0;0;0;1;0;0
2020.12.21-03:40:02.291;3;0;0;0;0;0;1;1;0;0
2020.12.21-03:50:02.338;6;0;0;0;0;0;0;0;0;0
2020.12.21-04:00:02.479;2;1;0;0;0;0;0;3;0;0
