Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.03.13-16:23:04.398;110;139;4;21;16;10;6;16;7;2
2020.03.13-08:22:56.969;102;91;14;17;30;7;12;8;2;6
2020.03.13-02:32:53.461;2;12;0;1;0;1;0;0;0;0
2020.03.13-04:02:54.254;4;1;0;0;0;0;0;0;0;0
2020.03.13-09:52:58.123;158;94;7;14;17;6;5;11;2;2
2020.03.13-23:53:10.985;10;19;1;1;0;3;1;0;0;0
2020.03.13-19:03:07.485;79;116;13;3;4;2;1;6;1;0
2020.03.13-09:22:57.604;100;93;8;13;25;8;8;10;2;1
2020.03.13-10:02:58.339;106;83;8;14;24;7;8;5;5;2
2020.03.13-16:53:04.928;100;133;4;11;19;18;3;10;3;4
2020.03.13-13:33:01.608;117;130;5;17;14;15;8;7;4;3
2020.03.13-09:32:57.630;116;84;9;11;10;7;12;8;5;3
2020.03.13-03:32:53.929;7;3;0;1;1;2;0;0;0;0
2020.03.13-02:52:53.598;1;4;0;2;0;1;0;0;0;0
2020.03.13-19:43:07.913;49;108;6;4;8;0;2;6;2;0
2020.03.13-03:52:54.213;6;4;2;1;0;0;0;0;0;0
2020.03.13-04:22:54.425;13;2;2;0;0;0;3;1;1;1
2020.03.13-11:12:59.082;84;99;4;17;15;10;7;4;2;5
2020.03.13-01:52:53.041;1;5;1;2;0;0;0;1;0;0
2020.03.13-06:02:55.168;42;13;7;6;12;5;5;4;3;1
2020.03.13-13:53:02.195;122;145;8;25;8;5;10;15;1;5
2020.03.13-20:33:08.585;22;73;7;2;4;4;3;2;0;1
2020.03.13-21:33:09.069;37;28;4;2;4;1;4;1;1;1
2020.03.13-00:00:00.133;4;4;3;2;1;2;0;1;1;0
2020.03.13-02:22:53.299;0;6;0;0;1;0;0;0;0;0
2020.03.13-22:23:10.083;21;39;0;2;7;0;0;2;0;1
2020.03.13-05:12:54.814;40;16;5;0;1;1;2;4;0;1
2020.03.13-11:42:59.494;113;111;8;15;19;7;9;6;2;2
2020.03.13-00:30:00.399;1;6;0;0;1;1;0;0;0;0
2020.03.13-08:52:57.232;121;93;16;13;31;6;8;11;2;1
2020.03.13-09:12:57.550;113;78;6;17;14;12;6;7;1;3
2020.03.13-18:53:06.978;88;137;11;7;2;1;5;8;2;0
2020.03.13-17:23:05.414;97;117;2;9;19;9;3;13;1;2
2020.03.13-16:13:04.319;120;137;12;26;19;6;12;10;1;2
2020.03.13-11:32:59.459;102;94;8;12;25;11;4;6;2;1
2020.03.13-17:13:05.232;102;136;4;15;27;12;7;4;4;0
2020.03.13-19:53:08.045;74;100;3;7;7;0;5;6;3;3
2020.03.13-01:42:53.034;6;2;0;1;1;1;0;0;0;0
2020.03.13-12:53:00.975;139;149;2;18;23;10;12;8;2;1
2020.03.13-09:02:57.489;107;94;9;4;13;7;9;4;2;4
2020.03.13-22:43:10.410;25;23;2;1;0;0;1;5;1;0
2020.03.13-13:13:01.177;144;124;4;24;11;6;4;7;0;1
2020.03.13-06:52:55.802;167;54;11;11;12;2;4;12;5;7
2020.03.13-14:03:02.286;128;147;8;20;15;6;16;8;2;2
2020.03.13-16:43:04.760;115;127;6;21;16;7;5;4;4;2
