Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.06.22-06:34:43.159;121;41;7;10;8;0;5;7;1;2
2020.06.22-08:04:45.209;148;91;11;7;0;2;12;4;0;1
2020.06.22-14:54:52.192;104;102;10;14;14;4;4;3;2;2
2020.06.22-00:55:07.645;0;0;0;0;0;0;0;0;0;0
2020.06.22-05:08:26.959;32;5;7;1;5;0;1;7;0;3
2020.06.22-19:54:57.605;56;63;6;7;11;4;2;0;0;1
2020.06.22-11:34:48.778;93;102;4;5;9;6;7;5;1;3
2020.06.22-17:34:55.121;123;144;7;14;5;3;11;10;2;2
2020.06.22-05:18:26.961;35;18;1;4;7;2;3;6;1;0
2020.06.22-04:18:26.043;5;1;1;0;0;0;0;2;0;0
2020.06.22-07:44:44.920;158;102;7;8;8;3;8;8;3;3
2020.06.22-07:54:45.100;160;115;10;6;10;2;12;5;2;1
2020.06.22-18:54:56.742;84;97;20;16;12;4;2;5;1;0
2020.06.22-23:45:00.851;6;7;0;3;0;0;0;0;0;0
2020.06.22-16:04:53.679;143;168;13;24;15;7;22;15;1;0
2020.06.22-10:44:48.334;98;82;5;14;9;7;3;7;2;1
2020.06.22-12:14:49.251;88;119;13;9;6;5;4;2;1;1
2020.06.22-19:24:57.109;75;93;4;10;2;4;0;6;0;0
2020.06.22-15:14:52.533;99;122;10;13;13;5;9;9;2;1
2020.06.22-18:44:56.580;72;95;6;7;14;4;4;5;1;2
2020.06.22-22:34:59.564;12;38;4;0;0;0;0;4;0;1
2020.06.22-05:38:27.292;58;21;7;4;4;1;2;11;1;2
2020.06.22-12:04:49.125;100;107;8;11;11;5;11;5;0;2
2020.06.22-04:38:26.403;21;2;3;0;0;0;4;4;0;0
2020.06.22-23:05:00.215;7;9;3;1;1;1;2;3;2;1
2020.06.22-10:14:47.657;133;78;7;7;9;4;3;3;1;2
2020.06.22-12:34:49.652;83;94;9;11;14;4;9;10;0;0
2020.06.22-13:34:50.937;96;102;17;13;11;5;9;5;0;0
2020.06.22-13:14:50.401;101;120;7;4;5;1;6;8;0;0
2020.06.22-09:04:46.721;112;81;3;3;2;1;6;6;1;3
2020.06.22-21:14:58.644;44;40;1;0;2;1;3;4;2;0
2020.06.22-22:55:00.180;8;14;0;0;2;0;1;4;1;0
2020.06.22-21:04:58.459;34;57;8;2;5;1;4;1;1;0
2020.06.22-22:14:59.423;21;22;3;1;1;0;2;3;0;0
2020.06.22-03:38:25.656;3;4;0;0;0;0;0;1;1;0
2020.06.22-17:44:55.223;145;149;15;7;9;3;3;7;0;0
2020.06.22-08:24:45.785;187;102;9;2;4;2;9;8;3;2
2020.06.22-14:34:51.818;107;111;13;13;9;1;5;4;0;1
2020.06.22-14:14:51.580;93;104;8;15;16;5;5;9;2;3
2020.06.22-01:55:08.286;2;0;0;0;0;0;0;0;0;0
2020.06.22-15:54:53.447;119;135;10;13;14;6;7;12;4;2
2020.06.22-20:14:57.761;47;78;4;6;13;2;4;2;0;0
2020.06.22-17:54:55.285;99;158;6;4;7;2;9;5;1;3
2020.06.22-04:28:26.217;14;2;0;0;1;0;4;1;0;1
2020.06.22-23:25:00.604;8;9;0;0;0;0;0;0;0;0
2020.06.22-11:24:48.711;122;95;1;8;4;2;8;9;1;4
2020.06.22-09:44:47.313;150;75;10;5;9;0;6;5;4;0
2020.06.22-20:34:58.049;44;52;3;3;8;1;1;5;1;3
2020.06.22-03:58:25.829;7;2;0;0;0;0;0;0;0;0
2020.06.22-00:32:57.985;4;0;0;0;0;0;0;0;0;0
2020.06.22-15:24:52.779;77;149;10;14;18;1;4;12;1;4
2020.06.22-13:54:51.356;87;118;15;5;12;6;6;6;1;0
2020.06.22-11:14:48.588;107;85;0;16;6;4;7;1;1;3
2020.06.22-07:24:43.948;201;85;10;4;9;0;3;3;7;2
2020.06.22-22:44:59.607;14;21;3;3;1;0;1;5;1;0
2020.06.22-02:58:25.360;3;3;0;0;0;0;0;0;0;0
2020.06.22-13:04:50.070;107;105;7;8;10;2;4;3;1;0
2020.06.22-16:44:54.347;120;205;13;20;14;1;11;4;2;1
2020.06.22-18:24:56.193;103;113;7;9;9;10;4;9;2;3
2020.06.22-23:35:00.699;7;9;1;10;0;0;0;1;0;0
2020.06.22-08:44:46.205;173;96;4;3;7;1;6;4;0;0
2020.06.22-08:14:45.677;152;101;8;2;6;0;5;6;1;2
2020.06.22-11:44:48.999;108;112;3;8;15;4;5;6;1;1
2020.06.22-07:34:44.447;186;112;17;8;8;3;13;9;5;2
2020.06.22-01:05:07.803;5;0;0;0;0;0;0;0;0;0
2020.06.22-15:44:53.254;121;158;10;14;16;5;8;5;2;3
2020.06.22-15:34:53.078;137;161;8;19;18;5;11;6;3;2
2020.06.22-23:55:01.027;1;4;0;0;0;0;0;0;0;0
2020.06.22-18:14:56.090;95;123;8;15;8;4;1;12;2;3
2020.06.22-06:54:43.321;168;59;4;7;5;1;10;5;1;1
2020.06.22-05:48:27.449;9;4;1;1;0;0;2;1;2;0
2020.06.22-22:24:59.455;13;21;4;2;0;1;4;1;0;0
2020.06.22-23:15:00.399;7;1;0;1;2;0;1;1;0;0
2020.06.22-19:44:57.422;51;96;3;5;2;3;2;2;0;0
2020.06.22-17:14:54.911;123;137;16;20;16;2;2;10;1;2
2020.06.22-08:34:45.969;159;95;7;4;6;2;6;6;3;0
2020.06.22-02:38:25.009;2;3;0;1;0;0;0;0;0;0
2020.06.22-02:28:24.779;1;3;0;0;0;0;0;0;0;0
2020.06.22-11:04:48.532;100;105;9;5;7;0;7;5;2;0
2020.06.22-03:48:25.772;8;1;0;0;1;0;0;0;0;0
2020.06.22-09:34:47.215;130;82;6;7;7;0;6;3;3;1
2020.06.22-21:34:59.010;24;47;4;3;1;2;1;6;0;0
2020.06.22-03:18:25.459;4;1;0;0;0;0;0;1;0;0
2020.06.22-00:10:00.045;7;4;0;0;0;0;0;0;0;0
2020.06.22-10:24:47.872;90;95;7;5;5;10;2;6;2;2
2020.06.22-14:24:51.580;86;107;9;27;12;4;8;7;0;6
2020.06.22-20:54:58.406;50;58;7;5;4;1;3;6;1;0
2020.06.22-01:15:07.805;1;1;0;0;0;0;0;1;0;0
2020.06.22-16:54:54.465;112;174;10;15;7;7;4;10;3;0
2020.06.22-04:58:26.819;20;8;5;0;1;1;4;4;1;0
2020.06.22-18:04:55.506;103;129;6;5;11;8;7;3;1;1
2020.06.22-09:24:46.941;138;101;5;5;10;1;7;8;3;1
2020.06.22-00:00:00.012;7;3;0;0;2;2;0;0;0;0
2020.06.22-03:28:25.606;4;3;0;0;0;0;0;0;0;0
2020.06.22-13:44:51.324;123;117;19;7;12;6;4;11;1;0
