Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.07.19-00:00:00.033;63;31;16;5;30;2;1;0;0;0
2020.07.19-00:10:00.208;33;23;5;3;6;0;0;0;0;0
2020.07.19-00:20:00.458;28;19;15;5;4;2;0;2;0;0
2020.07.19-00:30:00.474;25;26;5;6;12;5;0;1;0;0
2020.07.19-00:40:00.604;23;19;12;4;3;4;0;0;0;0
2020.07.19-00:50:00.638;20;13;6;10;3;1;0;0;0;0
2020.07.19-01:00:00.764;21;19;7;11;7;4;0;0;0;0
2020.07.19-01:10:00.806;11;20;10;7;9;3;0;0;0;0
2020.07.19-01:20:00.922;21;16;3;2;3;1;0;0;0;0
2020.07.19-01:30:01.034;12;20;3;1;1;1;0;0;0;0
2020.07.19-01:40:01.200;20;24;5;2;4;2;0;0;0;0
2020.07.19-01:50:01.340;8;19;5;8;5;4;0;0;0;0
2020.07.19-02:00:01.533;3;0;1;1;3;1;0;0;0;0
2020.07.19-02:25:24.313;16;21;8;15;7;2;0;0;0;0
2020.07.19-02:35:25.207;15;20;6;9;1;3;0;0;0;0
2020.07.19-02:45:25.297;11;19;5;4;7;4;0;0;0;0
2020.07.19-02:55:25.358;21;7;4;8;2;3;0;0;0;0
2020.07.19-03:05:25.387;8;8;4;2;1;1;0;0;0;0
2020.07.19-03:15:25.474;7;10;2;0;2;3;0;0;0;0
2020.07.19-03:25:25.640;14;13;4;3;2;6;0;3;0;0
2020.07.19-03:35:25.641;11;9;7;3;2;1;0;0;1;0
2020.07.19-03:45:25.826;6;12;2;0;0;1;0;0;0;0
2020.07.19-03:55:25.871;7;3;3;1;2;2;0;0;0;0
2020.07.19-04:05:25.908;16;9;2;1;1;1;0;1;0;0
2020.07.19-04:15:26.000;12;8;2;5;4;1;0;1;0;0
2020.07.19-04:25:26.032;11;13;4;3;3;3;0;1;1;1
2020.07.19-04:35:26.132;13;11;2;2;3;1;4;4;0;1
2020.07.19-04:45:26.316;15;8;3;5;8;2;0;2;1;0
2020.07.19-04:55:26.327;21;11;1;1;5;1;1;3;1;1
2020.07.19-05:05:26.459;14;18;1;5;6;3;2;4;0;1
2020.07.19-05:15:26.492;11;14;2;1;6;0;1;2;0;1
2020.07.19-05:25:26.565;20;9;6;1;8;3;2;5;0;2
2020.07.19-05:35:26.656;12;11;1;5;2;5;5;1;0;0
2020.07.19-05:45:26.664;17;14;1;6;10;0;1;3;1;2
2020.07.19-05:55:26.836;14;10;9;6;9;0;3;9;2;1
2020.07.19-06:05:26.928;23;9;3;1;5;2;1;1;1;0
2020.07.19-06:15:27.025;28;11;2;5;4;0;1;3;2;2
2020.07.19-06:25:27.175;26;10;0;3;1;1;4;7;0;2
2020.07.19-06:35:43.112;24;6;3;1;3;1;1;0;0;0
2020.07.19-06:45:43.121;28;13;0;1;3;1;0;6;1;3
2020.07.19-06:55:43.178;22;14;1;4;3;1;7;3;1;3
2020.07.19-07:05:43.211;25;15;3;3;2;0;1;3;0;0
2020.07.19-07:15:43.277;38;12;1;1;2;1;0;0;3;3
2020.07.19-07:25:43.427;34;16;4;2;3;1;3;6;2;3
2020.07.19-07:35:43.581;28;19;3;1;3;0;2;0;0;2
2020.07.19-07:45:43.752;39;19;7;3;5;1;3;5;0;0
2020.07.19-07:55:43.794;34;21;10;3;1;0;1;7;2;1
2020.07.19-08:05:43.799;37;13;4;2;1;2;6;4;1;1
2020.07.19-08:15:43.915;49;32;5;8;2;2;3;4;1;0
