Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.02.03-00:00:00.032;2;0;0;0;0;0;0;0;0;0
2021.02.03-00:10:00.221;1;0;0;0;0;0;0;0;0;0
2021.02.03-00:20:00.300;2;0;0;0;0;0;0;0;0;0
2021.02.03-00:30:00.391;2;0;0;0;0;0;0;0;0;0
2021.02.03-00:40:00.573;1;1;0;0;0;0;0;0;0;0
2021.02.03-00:50:00.578;1;0;0;0;0;0;0;0;0;0
2021.02.03-01:00:00.589;5;0;0;0;0;0;0;0;0;0
2021.02.03-01:10:00.664;1;0;0;0;0;0;0;0;0;0
2021.02.03-01:27:15.022;2;0;0;0;0;0;0;0;0;0
2021.02.03-01:37:15.046;3;1;0;0;0;0;0;0;0;0
2021.02.03-01:47:15.158;2;0;0;0;0;0;0;0;0;0
2021.02.03-01:57:15.258;1;0;0;0;0;0;0;0;0;0
2021.02.03-02:12:50.028;2;0;0;0;1;0;0;0;0;0
2021.02.03-02:22:50.051;1;1;0;0;0;0;0;0;0;0
2021.02.03-02:34:46.645;2;0;0;0;0;0;0;0;0;0
2021.02.03-02:44:46.757;1;0;0;0;0;0;0;0;0;0
2021.02.03-02:54:46.897;4;0;0;0;0;0;0;0;0;0
2021.02.03-03:04:47.059;4;1;0;0;1;0;0;0;0;0
2021.02.03-03:14:47.151;3;0;0;0;0;0;0;0;0;0
2021.02.03-03:24:47.236;6;1;0;0;0;0;0;0;0;0
2021.02.03-03:34:47.305;4;0;0;0;0;0;0;0;0;0
2021.02.03-03:44:47.402;5;0;0;0;0;0;0;0;0;0
2021.02.03-03:54:47.410;5;0;1;0;0;0;0;0;0;0
2021.02.03-04:04:58.964;3;0;1;0;0;0;0;0;0;0
2021.02.03-04:14:59.186;9;2;2;0;0;0;1;0;0;0
2021.02.03-04:24:59.252;11;1;1;0;0;0;0;0;0;0
2021.02.03-04:34:59.272;16;3;4;0;1;0;0;0;0;0
2021.02.03-04:44:59.476;24;0;2;0;0;0;0;0;0;0
2021.02.03-04:54:59.664;22;2;2;0;3;0;0;0;0;0
2021.02.03-05:04:59.676;36;6;8;0;2;0;0;0;0;0
2021.02.03-05:14:59.763;41;4;4;0;0;0;0;0;0;0
2021.02.03-05:24:59.839;52;1;6;0;1;0;0;0;0;0
2021.02.03-05:35:00.294;55;4;5;0;1;0;0;0;0;0
2021.02.03-05:45:00.385;54;3;2;0;1;0;0;0;1;0
2021.02.03-05:55:00.421;49;3;2;0;2;0;0;0;0;0
2021.02.03-06:05:00.517;49;9;4;0;0;0;0;0;0;0
2021.02.03-06:15:00.626;59;8;8;0;2;0;0;0;0;0
2021.02.03-06:25:00.819;95;13;8;0;6;0;0;0;0;0
2021.02.03-06:35:01.149;126;19;2;1;11;0;2;1;0;1
2021.02.03-06:45:01.201;124;45;7;1;18;0;3;1;2;0
2021.02.03-06:55:01.425;147;68;7;3;14;0;5;3;0;1
2021.02.03-07:05:01.513;159;55;12;9;17;3;4;0;1;3
2021.02.03-07:15:01.624;159;80;18;6;22;1;3;4;3;2
2021.02.03-07:25:01.885;168;71;16;8;15;1;8;3;1;3
2021.02.03-07:35:01.924;166;112;18;12;24;2;4;7;5;1
2021.02.03-07:45:02.115;161;107;13;7;19;2;12;6;2;1
2021.02.03-07:55:02.265;133;100;19;11;26;3;2;3;0;2
2021.02.03-08:05:02.445;128;87;10;15;19;5;10;2;1;1
2021.02.03-08:15:02.527;101;84;6;6;17;2;7;9;2;1
2021.02.03-08:25:02.688;114;107;8;10;10;6;1;8;4;0
2021.02.03-08:35:02.808;112;65;9;10;19;6;11;12;4;2
2021.02.03-08:45:02.814;104;82;15;10;21;3;17;6;7;3
2021.02.03-08:55:02.959;119;72;12;13;13;3;9;9;2;1
2021.02.03-09:05:02.970;105;86;12;15;14;6;8;14;1;2
2021.02.03-09:15:03.215;130;70;7;10;5;8;7;1;3;1
2021.02.03-09:25:03.231;116;84;10;9;19;3;7;3;1;3
2021.02.03-09:35:03.776;105;60;10;11;13;7;7;6;4;1
2021.02.03-09:45:03.810;102;81;9;6;13;5;8;8;5;8
