Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.04.22-02:56:12.107;3;2;0;0;0;0;0;0;0;0
2020.04.22-23:06:37.249;1;0;3;0;0;0;2;2;1;0
2020.04.22-10:36:18.234;66;69;4;5;13;4;3;0;1;0
2020.04.22-18:26:25.256;57;75;11;12;17;7;1;4;1;1
2020.04.22-08:26:16.401;77;51;6;9;25;4;3;4;1;3
2020.04.22-08:36:16.409;81;62;5;8;16;11;4;1;3;0
2020.04.22-09:16:17.338;73;62;9;13;5;5;1;1;0;1
2020.04.22-16:16:23.543;58;148;15;29;17;13;1;4;0;3
2020.04.22-10:56:18.655;80;58;3;11;4;2;7;5;2;1
2020.04.22-06:56:14.725;77;47;5;2;7;3;5;6;2;6
2020.04.22-19:06:25.750;49;57;11;6;23;6;2;0;0;0
2020.04.22-22:06:36.743;9;13;8;1;2;0;0;5;0;1
2020.04.22-07:36:15.587;103;52;2;7;14;9;5;3;0;0
2020.04.22-15:56:23.156;74;129;15;26;11;9;4;8;1;3
2020.04.22-12:26:20.019;84;92;11;10;6;3;8;5;1;0
2020.04.22-16:46:23.925;67;128;16;24;23;7;1;10;1;3
2020.04.22-14:56:22.100;57;119;9;32;3;11;10;7;2;1
2020.04.22-00:40:00.554;3;2;0;0;0;0;0;1;0;0
2020.04.22-13:36:21.180;82;83;10;6;5;3;6;2;2;0
2020.04.22-03:46:12.755;5;1;0;0;0;0;0;0;1;0
2020.04.22-11:46:19.314;78;77;12;8;10;7;2;1;0;0
2020.04.22-23:56:37.968;1;1;1;0;1;0;0;0;0;0
2020.04.22-04:46:13.326;22;5;9;0;1;0;0;1;1;1
2020.04.22-19:16:26.005;57;69;24;8;32;2;0;6;1;1
2020.04.22-08:56:16.894;83;71;3;8;22;12;6;7;3;1
2020.04.22-06:46:14.545;71;39;7;6;3;7;2;3;0;3
2020.04.22-05:26:13.699;39;11;4;1;9;3;2;8;0;1
2020.04.22-06:06:14.138;42;16;5;7;10;1;4;1;0;2
