Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.03.04-00:00:00.070;2;3;0;1;0;0;0;0;0;0
2021.03.04-00:10:00.264;1;5;1;0;0;0;0;1;0;0
2021.03.04-00:20:21.435;0;3;0;0;0;0;0;2;0;0
2021.03.04-00:30:21.612;2;2;0;0;0;0;0;0;0;0
2021.03.04-00:40:21.773;2;0;0;0;0;0;0;0;0;0
2021.03.04-00:50:21.778;0;0;0;0;0;0;0;0;0;0
2021.03.04-01:00:21.896;0;1;0;0;0;0;0;0;0;0
2021.03.04-01:10:21.964;0;0;0;0;0;0;0;0;0;0
2021.03.04-01:20:22.148;0;0;0;0;0;0;0;0;0;0
2021.03.04-01:30:22.178;2;1;0;0;0;0;0;0;0;0
2021.03.04-01:40:22.268;2;1;0;0;0;0;0;0;0;0
2021.03.04-01:50:22.371;0;0;1;0;0;0;0;0;0;0
2021.03.04-02:00:22.461;1;0;0;0;0;0;0;0;0;0
2021.03.04-02:10:22.582;2;1;0;0;0;0;0;0;0;0
2021.03.04-02:20:22.659;1;0;0;0;0;0;0;0;0;0
2021.03.04-02:30:22.768;0;1;0;0;0;0;0;0;0;0
2021.03.04-02:40:22.949;3;2;0;0;0;0;0;1;0;0
2021.03.04-02:50:23.145;1;4;0;0;0;0;0;0;0;0
2021.03.04-03:00:23.314;4;1;0;0;0;0;0;0;0;0
2021.03.04-03:10:23.345;3;1;0;0;0;0;0;0;0;0
2021.03.04-03:20:23.394;1;4;0;0;0;0;0;0;0;0
2021.03.04-03:30:23.578;1;0;0;0;0;0;1;2;0;0
2021.03.04-03:40:23.606;2;2;1;0;0;1;1;0;0;0
2021.03.04-03:50:23.671;7;0;1;0;0;0;1;1;0;0
2021.03.04-04:00:23.741;5;4;2;0;1;0;0;0;0;0
2021.03.04-04:10:23.886;5;3;2;0;0;0;1;1;1;0
2021.03.04-04:20:23.932;10;2;0;0;0;0;0;8;0;0
2021.03.04-04:30:24.122;24;3;1;3;4;0;1;3;0;0
2021.03.04-04:40:24.314;14;8;3;0;0;1;1;3;3;1
2021.03.04-04:50:24.372;18;9;5;0;2;1;1;3;1;0
2021.03.04-05:00:24.393;17;11;3;2;2;0;2;2;1;0
2021.03.04-05:10:24.596;36;18;7;0;5;0;3;8;1;1
2021.03.04-05:20:24.780;50;17;4;3;2;0;2;2;1;0
2021.03.04-05:30:24.863;65;14;11;2;1;0;2;1;0;2
2021.03.04-05:40:25.514;49;17;5;1;4;0;3;6;0;2
2021.03.04-05:50:25.581;50;21;3;5;9;2;3;7;1;1
2021.03.04-06:00:25.724;42;21;4;3;4;0;4;4;1;1
2021.03.04-06:10:25.765;48;23;2;5;15;5;4;3;4;3
2021.03.04-06:20:25.971;90;38;6;6;13;2;6;7;2;1
2021.03.04-06:30:26.063;101;32;5;10;10;1;5;5;0;1
2021.03.04-06:40:26.497;127;38;5;9;14;2;7;7;4;1
2021.03.04-06:50:26.605;148;51;4;13;21;6;5;4;2;2
2021.03.04-07:00:26.698;163;51;9;7;15;0;10;6;3;1
2021.03.04-07:10:26.892;176;66;12;3;35;4;2;3;1;4
2021.03.04-07:20:27.134;160;76;19;9;19;5;7;5;3;1
2021.03.04-07:30:27.231;155;92;20;5;31;7;4;7;1;2
2021.03.04-07:40:27.574;154;108;14;27;32;2;11;8;1;2
2021.03.04-07:50:27.581;185;142;20;13;26;1;5;5;3;2
2021.03.04-08:00:27.630;114;87;8;9;19;5;10;2;1;1
2021.03.04-08:10:27.760;104;90;9;10;20;7;5;5;3;4
2021.03.04-08:20:27.799;110;77;9;11;11;4;10;8;5;1
2021.03.04-08:30:27.866;122;90;4;12;17;3;11;2;0;3
2021.03.04-08:40:27.915;133;70;6;10;21;6;11;2;3;4
2021.03.04-08:50:27.989;120;86;6;17;17;5;4;7;1;2
2021.03.04-09:00:28.187;107;84;6;14;11;7;10;4;2;2
2021.03.04-09:10:28.288;107;94;6;11;15;5;4;11;1;4
2021.03.04-09:20:28.429;128;83;8;15;17;3;5;7;1;2
2021.03.04-09:30:28.623;107;79;11;4;12;4;9;7;1;2
2021.03.04-09:40:28.631;140;95;10;9;9;8;11;6;1;2
2021.03.04-09:50:28.841;132;106;8;8;17;4;5;9;1;3
2021.03.04-10:00:29.014;100;76;6;11;13;5;8;4;3;1
2021.03.04-10:10:29.224;77;79;7;12;7;7;5;9;1;2
2021.03.04-10:20:29.409;107;82;6;7;11;4;5;7;2;4
2021.03.04-10:30:29.516;117;106;10;8;14;13;4;7;1;2
2021.03.04-10:40:29.709;91;89;13;7;19;8;2;6;2;1
2021.03.04-10:50:29.954;118;101;7;13;13;8;6;2;0;1
2021.03.04-11:00:29.995;111;103;7;5;9;7;10;8;1;2
2021.03.04-11:10:30.012;104;95;11;11;16;7;6;8;1;3
2021.03.04-11:20:30.152;93;86;10;8;13;13;10;3;2;3
2021.03.04-11:30:30.241;100;107;8;12;12;12;6;5;1;1
2021.03.04-11:40:30.500;95;104;12;10;20;3;5;6;3;2
2021.03.04-11:50:30.561;92;132;13;19;19;10;2;7;1;2
2021.03.04-12:00:30.730;83;96;8;8;10;8;6;7;1;0
2021.03.04-12:10:30.734;104;102;9;8;18;6;7;10;3;3
