Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.06.11-05:47:22.833;37;22;9;4;9;0;4;5;0;2
2020.06.11-23:07:37.701;9;28;3;2;1;2;0;3;0;2
2020.06.11-14:47:30.901;104;132;12;43;30;2;4;3;2;2
2020.06.11-14:17:30.448;100;100;13;36;13;8;1;2;1;0
2020.06.11-10:17:26.634;110;98;8;20;20;1;0;2;0;2
2020.06.11-04:57:22.504;16;13;3;3;3;0;1;8;1;0
2020.06.11-23:47:37.886;15;12;3;7;1;0;1;0;0;0
2020.06.11-16:47:32.738;99;165;13;26;20;7;2;6;1;2
2020.06.11-11:37:28.280;92;108;6;14;16;5;6;2;0;0
2020.06.11-20:27:35.616;37;62;18;12;25;1;0;2;1;3
2020.06.11-08:47:25.730;157;90;15;12;31;1;2;5;0;2
2020.06.11-13:57:30.049;94;113;16;23;21;3;6;2;2;0
2020.06.11-06:07:23.047;68;11;8;9;4;1;2;1;0;1
2020.06.11-07:07:23.955;177;70;15;7;24;2;6;2;3;1
2020.06.11-15:27:31.329;108;119;8;27;16;4;2;3;0;2
2020.06.11-19:57:35.229;63;77;14;18;18;3;4;4;0;0
2020.06.11-01:41:23.098;2;3;1;1;0;1;0;0;0;0
2020.06.11-11:57:28.418;107;107;17;11;14;3;10;7;0;1
2020.06.11-20:17:35.570;67;68;12;16;29;5;4;1;1;1
2020.06.11-05:57:22.885;54;18;3;3;7;0;10;5;1;0
2020.06.11-22:17:36.827;19;30;7;3;1;0;2;0;0;0
2020.06.11-10:07:26.603;108;105;5;13;12;5;5;2;3;0
2020.06.11-12:17:28.569;104;116;20;20;17;3;2;4;1;3
2020.06.11-03:57:21.767;4;9;4;1;1;1;0;0;0;0
2020.06.11-12:27:28.741;98;94;20;13;28;5;2;5;0;3
2020.06.11-17:27:33.349;98;140;15;21;24;4;6;4;2;1
2020.06.11-16:07:31.901;152;171;21;20;16;5;6;0;0;1
2020.06.11-00:20:00.421;3;4;3;3;0;1;0;1;0;0
2020.06.11-11:17:27.895;102;100;6;23;29;2;3;0;3;0
