Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.07.02-10:27:21.326;84;89;6;12;6;1;3;10;1;0
2020.07.02-01:51:11.783;2;8;0;1;0;0;0;0;0;0
2020.07.02-18:47:36.476;86;97;25;17;17;4;5;8;0;4
2020.07.02-14:27:31.470;135;94;13;28;8;7;13;13;5;2
2020.07.02-07:57:19.587;162;113;19;19;36;3;7;4;3;1
2020.07.02-17:57:35.772;118;136;21;24;31;5;4;6;1;3
2020.07.02-07:17:19.053;185;63;20;23;39;1;14;3;2;1
2020.07.02-19:17:36.899;95;95;22;22;29;3;3;5;1;4
2020.07.02-22:27:41.399;7;36;6;9;0;1;2;4;0;0
2020.07.02-22:17:41.361;18;41;10;7;3;2;2;3;0;0
2020.07.02-03:17:16.241;4;7;1;0;0;0;0;1;0;0
2020.07.02-09:17:20.633;113;81;19;17;12;4;6;5;1;0
2020.07.02-11:07:28.960;97;94;5;12;7;0;7;5;4;4
2020.07.02-16:07:34.367;131;160;18;31;13;6;2;6;3;3
2020.07.02-16:57:34.987;97;169;13;28;18;2;9;4;4;3
2020.07.02-19:57:40.096;53;82;15;15;30;3;1;8;0;1
2020.07.02-09:27:20.641;94;77;14;19;28;2;2;1;3;3
2020.07.02-13:37:30.694;99;110;18;17;16;9;9;8;0;0
2020.07.02-18:07:35.825;129;115;13;18;15;4;4;8;7;1
2020.07.02-23:17:50.293;21;19;1;3;2;0;1;0;0;0
2020.07.02-20:17:40.392;53;68;6;10;22;5;4;2;1;2
2020.07.02-14:17:31.295;78;122;12;12;13;7;12;11;2;3
2020.07.02-22:57:41.898;14;26;7;1;3;3;4;6;0;0
2020.07.02-19:47:39.620;72;71;6;18;23;4;2;4;2;1
2020.07.02-03:07:16.074;1;1;0;2;0;0;0;0;0;0
2020.07.02-23:27:50.440;7;13;0;3;0;0;1;0;1;0
2020.07.02-07:07:19.018;158;70;15;13;23;2;9;7;6;1
2020.07.02-10:17:21.145;116;102;14;21;14;6;7;8;2;4
2020.07.02-10:57:21.799;83;101;6;10;1;2;7;7;2;1
2020.07.02-04:57:17.642;18;7;5;0;2;0;7;8;0;2
2020.07.02-02:47:16.017;0;4;1;0;0;0;0;0;0;0
2020.07.02-02:27:15.955;3;4;0;0;0;0;0;0;0;0
2020.07.02-23:37:50.589;7;18;3;7;2;1;0;1;0;3
2020.07.02-04:27:17.081;11;1;3;0;2;0;4;4;2;0
2020.07.02-08:07:19.783;150;104;8;10;50;3;10;10;4;1
2020.07.02-22:37:41.518;17;41;6;6;0;4;1;2;1;1
2020.07.02-21:07:40.941;44;53;22;4;8;3;2;5;1;1
2020.07.02-04:07:17.036;10;7;7;0;2;0;1;4;0;1
2020.07.02-14:37:33.014;105;108;15;26;14;8;9;11;1;0
2020.07.02-13:07:30.551;89;107;13;19;17;4;5;8;2;3
2020.07.02-14:57:33.211;111;115;13;23;18;6;7;12;3;2
2020.07.02-02:37:15.990;4;3;0;0;0;0;0;0;0;0
2020.07.02-06:27:18.366;95;35;17;19;9;1;9;2;2;2
2020.07.02-14:47:33.080;127;122;23;18;12;12;8;15;4;1
2020.07.02-09:07:20.608;98;110;13;13;19;3;5;5;1;2
2020.07.02-15:27:34.042;102;134;19;27;14;12;10;7;3;2
2020.07.02-20:57:40.878;41;42;15;7;25;4;1;3;1;1
2020.07.02-21:47:41.199;30;44;4;7;1;1;1;4;1;1
2020.07.02-11:27:29.167;103;87;12;4;11;1;2;8;2;7
2020.07.02-04:37:17.249;17;2;2;3;6;3;2;7;0;1
2020.07.02-16:47:34.892;121;148;9;25;35;5;9;10;1;4
2020.07.02-04:17:17.047;10;6;1;3;0;0;1;1;0;1
2020.07.02-19:27:37.055;87;92;6;23;13;4;5;5;1;1
2020.07.02-10:07:21.068;164;108;6;7;6;3;4;12;3;0
2020.07.02-15:07:33.693;97;122;16;23;11;7;5;10;2;2
2020.07.02-23:57:50.870;0;5;0;0;0;0;0;0;0;0
2020.07.02-06:47:18.732;128;52;22;17;15;1;8;8;2;2
2020.07.02-01:21:11.408;4;3;1;0;0;0;0;0;0;0
2020.07.02-01:01:11.296;1;5;2;0;0;0;0;0;0;0
2020.07.02-02:01:11.935;0;0;1;0;0;0;0;0;0;0
2020.07.02-15:57:34.267;110;131;25;35;21;9;6;7;2;5
2020.07.02-19:07:36.701;100;109;19;25;26;15;5;5;2;2
2020.07.02-08:47:20.152;131;88;23;17;27;2;8;6;0;0
2020.07.02-17:27:35.502;98;148;26;27;31;3;6;6;2;1
2020.07.02-16:37:34.813;123;148;26;33;38;13;2;6;1;3
2020.07.02-17:37:35.559;119;137;22;25;31;4;8;10;2;2
2020.07.02-12:17:29.956;105;96;11;16;11;5;9;6;2;0
2020.07.02-01:31:11.554;1;8;1;5;0;0;0;0;0;0
2020.07.02-11:17:29.036;106;86;9;6;3;0;8;11;0;1
2020.07.02-12:27:30.085;83;111;8;21;10;6;7;5;1;2
2020.07.02-18:17:36.022;101;121;10;20;21;8;4;4;1;4
2020.07.02-17:47:35.719;127;131;18;29;27;4;6;6;4;2
2020.07.02-03:57:16.841;6;4;4;2;0;1;0;0;0;0
2020.07.02-12:57:30.475;105;106;13;4;9;2;5;5;3;2
2020.07.02-01:41:11.667;3;2;1;1;0;0;0;0;0;0
2020.07.02-23:47:50.774;7;5;3;5;0;2;1;0;0;0
2020.07.02-07:37:19.223;161;92;25;8;37;1;18;17;2;3
2020.07.02-06:07:18.202;31;22;11;6;1;0;6;12;0;6
2020.07.02-15:47:34.170;105;155;32;36;12;15;4;10;3;3
2020.07.02-00:20:00.336;10;13;3;2;2;2;0;1;0;0
2020.07.02-12:37:30.153;105;109;15;18;6;4;4;6;0;3
2020.07.02-00:51:11.276;3;7;1;1;0;1;0;0;0;0
2020.07.02-21:57:41.228;26;46;16;8;5;1;2;1;0;1
2020.07.02-06:37:18.504;125;45;17;18;11;1;12;5;4;2
2020.07.02-02:57:16.048;2;3;1;0;0;0;0;0;0;0
2020.07.02-12:07:29.908;94;94;18;14;10;1;3;5;2;2
2020.07.02-10:37:21.579;95;88;4;12;12;4;6;4;1;1
2020.07.02-03:37:16.549;5;3;2;1;0;0;0;0;0;0
2020.07.02-00:41:11.124;3;8;1;2;1;2;0;0;0;0
2020.07.02-13:57:30.923;81;96;24;27;16;5;10;10;0;1
2020.07.02-05:47:17.946;18;20;3;8;1;4;2;6;1;3
2020.07.02-17:07:35.063;108;162;14;30;22;7;4;8;1;1
2020.07.02-00:30:00.524;4;7;6;5;4;5;0;0;0;0
2020.07.02-11:47:29.416;101;104;22;9;13;2;5;9;2;3
2020.07.02-09:37:20.819;139;94;24;22;24;1;8;4;1;0
2020.07.02-13:27:30.667;86;118;18;18;14;4;7;4;3;2
2020.07.02-15:17:33.968;118;123;27;25;10;15;5;14;1;4
2020.07.02-14:07:31.175;91;105;18;21;16;9;6;8;1;3
2020.07.02-05:37:17.891;53;32;9;7;8;0;6;5;0;1
2020.07.02-05:57:17.975;22;26;5;8;3;0;2;4;2;2
2020.07.02-20:07:40.202;70;68;10;8;30;7;1;3;3;2
2020.07.02-23:07:50.251;13;17;3;5;0;1;0;4;0;0
2020.07.02-05:17:17.829;33;21;10;11;7;1;4;11;1;0
2020.07.02-03:47:16.661;8;4;0;2;0;0;0;0;0;0
2020.07.02-08:17:19.921;147;96;11;12;46;1;15;4;3;1
2020.07.02-18:57:36.512;98;99;18;22;15;11;6;4;3;0
2020.07.02-15:37:34.068;102;169;24;32;18;12;9;8;3;2
2020.07.02-00:00:00.153;3;8;6;4;3;1;0;0;0;0
2020.07.02-22:07:41.263;18;23;15;4;7;0;0;3;1;2
2020.07.02-04:47:17.458;15;3;8;6;9;2;0;9;1;4
2020.07.02-01:11:11.308;2;5;1;4;0;0;0;0;0;0
2020.07.02-11:37:29.302;82;96;11;16;11;2;7;6;3;3
2020.07.02-16:27:34.787;114;172;25;29;37;5;5;9;1;5
2020.07.02-20:27:40.557;38;67;8;10;23;10;3;3;4;0
2020.07.02-16:17:34.575;129;145;16;33;17;5;9;4;3;1
2020.07.02-17:17:35.257;122;144;20;20;22;7;4;8;3;2
2020.07.02-13:17:30.597;100;98;16;15;11;1;4;6;2;2
2020.07.02-08:27:19.991;135;102;15;12;40;1;10;2;2;0
2020.07.02-00:10:00.240;7;11;2;3;1;0;0;0;0;0
2020.07.02-08:57:20.356;131;92;15;11;20;2;4;11;0;2
2020.07.02-07:47:19.389;159;114;28;20;53;5;9;6;4;4
2020.07.02-03:27:16.359;3;4;2;0;0;0;0;1;0;0
2020.07.02-20:47:40.795;55;43;12;11;28;5;1;6;2;0
2020.07.02-21:37:41.155;15;48;7;9;5;2;1;2;2;3
2020.07.02-07:27:19.184;156;99;22;9;45;0;8;4;3;1
2020.07.02-21:17:41.019;43;51;23;1;6;1;4;5;0;0
2020.07.02-06:57:18.849;127;58;15;8;17;1;8;7;4;1
2020.07.02-05:27:17.862;55;20;25;10;7;4;1;1;0;1
2020.07.02-05:07:17.687;36;8;12;3;12;0;4;5;0;4
2020.07.02-09:57:21.021;134;111;12;3;6;1;11;9;2;1
2020.07.02-06:17:18.208;71;35;23;13;13;1;6;5;3;2
2020.07.02-09:47:20.823;138;90;29;24;17;0;10;8;2;1
2020.07.02-10:47:21.698;117;101;9;9;3;1;9;8;0;4
2020.07.02-18:37:36.337;114;91;17;21;20;4;5;5;1;3
2020.07.02-20:37:40.730;41;53;8;8;19;4;4;3;1;3
2020.07.02-19:37:37.221;67;86;13;13;20;1;3;7;0;2
2020.07.02-12:47:30.294;91;101;13;19;14;4;3;5;1;2
2020.07.02-13:47:30.898;105;105;14;18;14;7;7;11;2;0
2020.07.02-22:47:41.707;12;35;5;3;3;0;0;3;1;1
2020.07.02-18:27:36.193;75;110;18;25;19;10;4;3;2;1
2020.07.02-21:27:41.028;33;48;13;5;7;2;2;3;1;0
2020.07.02-11:57:29.535;110;116;6;21;12;3;6;3;0;0
2020.07.02-08:37:20.128;158;88;22;18;19;2;8;7;5;3
