Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.07.27-00:00:00.045;6;11;0;2;0;0;0;0;0;0
2020.07.27-00:10:54.956;7;1;0;3;1;1;0;0;0;0
2020.07.27-00:20:55.044;6;12;1;0;0;0;0;1;0;0
2020.07.27-00:30:55.234;7;6;0;0;0;0;0;0;0;0
2020.07.27-00:40:55.294;3;9;1;0;0;0;0;1;0;0
2020.07.27-00:50:55.350;1;7;1;2;0;0;0;0;0;0
2020.07.27-01:00:55.403;1;5;1;1;0;0;0;1;0;0
2020.07.27-01:10:55.577;3;0;0;1;1;0;0;0;0;0
2020.07.27-01:20:55.781;3;0;1;0;0;0;0;0;0;0
2020.07.27-01:30:55.935;1;1;0;0;0;3;0;0;0;0
2020.07.27-01:40:56.106;1;1;1;0;0;0;0;0;0;0
2020.07.27-01:50:56.193;2;1;1;0;0;0;0;0;0;0
2020.07.27-02:00:56.352;1;0;0;0;0;0;0;0;0;0
2020.07.27-02:26:32.566;0;0;1;0;0;0;0;0;0;0
2020.07.27-02:36:32.717;1;4;0;1;0;0;0;0;0;0
2020.07.27-02:46:32.896;2;3;0;0;0;0;0;0;0;0
2020.07.27-02:56:33.048;1;6;0;0;0;0;0;0;0;0
2020.07.27-03:06:33.109;0;3;1;0;0;0;0;0;0;0
2020.07.27-03:16:33.177;3;0;0;1;0;0;0;0;0;0
2020.07.27-03:26:33.358;3;3;1;0;0;0;0;1;0;2
2020.07.27-03:36:33.396;6;6;1;0;0;0;0;0;0;0
2020.07.27-03:46:33.564;8;0;1;0;0;0;0;0;0;0
2020.07.27-03:56:33.568;3;3;3;0;1;0;0;0;0;0
2020.07.27-04:06:33.650;11;1;0;0;0;0;0;2;0;1
2020.07.27-04:16:33.664;12;6;3;0;0;0;0;3;1;1
2020.07.27-04:26:33.706;9;6;3;0;0;0;0;1;0;0
2020.07.27-04:36:33.733;17;3;7;1;0;0;3;4;1;0
2020.07.27-04:46:33.739;21;5;0;3;9;0;0;4;2;2
2020.07.27-04:56:33.740;28;12;4;0;6;0;4;4;1;1
2020.07.27-05:06:33.896;19;7;10;1;7;0;2;3;1;3
2020.07.27-05:16:34.021;36;14;4;3;7;0;4;9;4;4
2020.07.27-05:26:34.088;39;14;9;11;10;0;2;4;0;2
2020.07.27-05:36:34.212;40;13;13;4;12;0;9;9;1;3
2020.07.27-05:46:34.283;35;21;2;5;5;1;5;6;2;2
2020.07.27-05:56:34.321;32;17;7;2;4;0;5;5;1;2
2020.07.27-06:06:34.353;53;12;10;6;11;0;7;4;0;3
2020.07.27-06:16:34.503;76;31;10;13;14;0;8;7;4;4
2020.07.27-06:26:34.633;52;23;10;13;5;3;10;5;1;0
2020.07.27-06:36:34.808;56;46;17;18;15;1;6;9;2;2
2020.07.27-06:46:34.827;92;34;14;10;16;5;14;10;2;4
2020.07.27-06:56:34.936;99;64;22;16;15;0;7;6;4;4
2020.07.27-07:06:35.117;123;78;11;12;23;3;5;10;3;6
2020.07.27-07:16:35.303;147;61;15;19;33;8;14;4;1;1
2020.07.27-07:26:35.620;155;79;9;15;34;4;8;5;3;3
2020.07.27-07:36:35.710;153;138;8;11;22;3;8;19;5;2
2020.07.27-07:46:35.827;156;108;9;22;34;3;11;8;4;1
2020.07.27-07:56:35.833;164;120;3;16;15;2;10;4;4;0
2020.07.27-08:06:35.922;159;81;7;15;26;4;7;5;5;2
2020.07.27-08:16:36.001;123;89;4;15;32;7;6;3;2;2
2020.07.27-08:26:36.362;116;73;7;15;46;6;6;4;4;3
2020.07.27-08:36:36.540;126;83;7;15;46;4;5;2;1;1
2020.07.27-08:46:36.827;109;95;10;19;42;6;6;7;1;6
2020.07.27-08:56:36.879;112;108;20;13;19;4;11;7;1;1
2020.07.27-09:06:37.122;110;95;27;32;17;4;3;7;0;2
2020.07.27-09:16:37.309;115;76;17;12;20;9;6;5;3;2
2020.07.27-09:26:37.648;133;106;19;15;27;5;6;10;3;0
2020.07.27-09:36:37.876;123;85;15;14;19;8;9;6;1;1
2020.07.27-09:46:37.968;121;91;23;11;14;3;5;4;1;0
2020.07.27-09:56:38.152;119;99;21;26;21;6;5;6;3;2
2020.07.27-10:06:38.268;117;92;15;15;14;11;6;7;2;1
2020.07.27-10:16:38.393;103;88;24;9;37;6;8;3;1;2
2020.07.27-10:26:38.697;148;81;21;14;22;4;8;5;1;2
2020.07.27-10:36:39.010;139;125;16;6;24;12;12;8;1;1
2020.07.27-10:46:39.141;122;108;21;15;25;10;8;6;0;1
2020.07.27-10:56:39.338;107;86;15;12;24;6;5;3;1;0
2020.07.27-11:06:39.523;111;84;22;11;18;7;5;11;2;0
2020.07.27-11:16:39.535;99;100;16;13;13;10;8;14;1;2
2020.07.27-11:26:39.948;106;92;15;17;29;3;7;7;3;2
2020.07.27-11:36:40.106;115;102;17;15;15;8;7;3;1;1
2020.07.27-11:46:40.212;105;115;15;13;21;7;9;11;1;6
2020.07.27-11:56:40.233;117;117;23;17;15;11;13;10;3;1
2020.07.27-12:06:40.362;85;121;18;19;12;8;11;6;2;3
2020.07.27-12:16:40.451;87;88;22;21;11;6;6;7;0;1
2020.07.27-12:26:40.520;79;108;19;24;13;4;4;4;3;0
2020.07.27-12:36:40.747;102;100;18;19;19;7;8;9;0;1
2020.07.27-12:46:40.958;114;112;23;16;5;8;10;5;3;0
2020.07.27-12:56:41.022;111;99;13;17;22;9;6;17;4;2
2020.07.27-13:06:41.319;98;93;16;20;8;8;6;9;1;3
2020.07.27-13:16:41.555;115;97;20;14;9;8;10;8;1;1
2020.07.27-13:26:41.834;95;91;24;11;15;4;7;6;1;2
2020.07.27-13:36:42.121;89;102;13;22;11;8;4;7;1;2
2020.07.27-13:46:42.266;83;107;17;28;12;5;9;9;1;2
2020.07.27-13:56:42.345;112;124;18;16;9;7;6;5;1;5
2020.07.27-14:06:42.407;74;103;13;28;12;5;5;15;2;7
2020.07.27-14:16:42.514;94;111;21;29;10;4;7;14;3;5
2020.07.27-14:26:42.650;101;104;18;21;15;4;4;7;5;0
2020.07.27-14:36:42.704;100;119;19;22;10;7;7;10;2;4
2020.07.27-14:46:42.723;108;121;16;19;26;8;7;4;2;2
2020.07.27-14:56:42.969;100;90;21;16;23;16;11;18;1;3
2020.07.27-15:06:43.056;109;100;17;36;18;3;5;2;3;1
2020.07.27-15:16:43.192;102;115;24;16;12;8;4;13;2;2
2020.07.27-15:26:43.358;111;120;13;22;10;4;7;24;8;2
2020.07.27-15:36:43.560;92;150;25;28;25;14;4;16;4;3
2020.07.27-15:46:43.803;135;150;46;30;17;8;13;9;2;2
2020.07.27-15:56:43.813;126;123;26;26;13;8;14;16;4;3
2020.07.27-16:06:43.998;133;155;33;38;35;18;3;15;4;4
2020.07.27-16:16:44.244;120;172;24;32;22;19;10;17;2;4
2020.07.27-16:26:44.553;108;149;41;45;28;11;14;17;5;7
2020.07.27-16:36:44.714;97;172;35;28;24;12;6;11;0;9
2020.07.27-16:46:44.747;119;163;29;31;22;12;16;15;2;2
2020.07.27-16:56:45.054;111;144;30;40;13;5;3;10;4;3
2020.07.27-17:06:45.112;128;143;29;24;29;13;6;16;7;2
2020.07.27-17:16:45.405;103;156;33;20;37;21;5;7;2;5
2020.07.27-17:26:45.560;103;144;25;19;24;11;5;7;6;1
2020.07.27-17:36:45.830;105;148;12;18;17;0;8;10;4;4
2020.07.27-17:46:45.884;98;124;18;11;17;1;7;7;4;1
2020.07.27-17:56:46.191;120;150;16;10;10;0;1;8;5;3
2020.07.27-18:06:46.253;115;149;11;6;12;1;9;5;3;2
2020.07.27-18:16:46.487;91;122;13;12;30;1;4;3;1;3
2020.07.27-18:26:46.625;92;99;16;15;25;0;2;2;1;0
2020.07.27-18:36:46.760;100;133;17;9;20;2;2;3;3;2
2020.07.27-18:46:46.880;120;172;10;23;16;5;2;5;0;0
2020.07.27-18:56:47.148;118;114;14;21;24;5;4;2;2;1
2020.07.27-19:06:47.271;112;126;13;20;38;18;3;4;2;0
