Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.07.13-00:00:00.117;9;8;6;1;1;2;0;0;0;0
2020.07.13-00:10:10.430;5;7;3;2;0;1;0;0;0;0
2020.07.13-00:20:10.581;3;2;0;2;0;1;0;0;0;0
2020.07.13-00:30:10.757;1;6;3;0;1;0;1;0;0;0
2020.07.13-00:40:10.854;2;3;0;1;0;0;0;0;0;0
2020.07.13-00:50:10.937;1;8;0;0;0;0;0;0;0;0
2020.07.13-01:00:11.109;3;0;1;1;0;0;0;1;0;0
2020.07.13-01:10:11.145;0;7;1;1;1;0;0;0;0;0
2020.07.13-01:20:11.262;1;5;0;0;0;0;0;0;0;0
2020.07.13-01:30:11.392;4;0;0;2;0;0;0;0;0;0
2020.07.13-01:40:11.489;0;4;1;0;0;2;0;0;0;0
2020.07.13-01:50:11.606;0;4;0;0;0;0;0;0;0;0
2020.07.13-02:00:11.647;0;3;0;0;0;0;0;0;0;0
2020.07.13-02:26:59.251;5;2;1;0;0;0;0;0;0;0
2020.07.13-02:36:59.287;4;1;1;1;0;0;0;0;0;0
2020.07.13-02:46:59.474;1;3;0;0;0;0;0;0;0;0
2020.07.13-02:56:59.583;0;4;0;1;0;0;0;0;0;0
2020.07.13-03:06:59.695;4;2;0;0;0;0;0;0;0;0
2020.07.13-03:16:59.882;1;3;0;0;0;0;0;0;0;0
2020.07.13-03:26:59.887;6;2;1;0;0;0;1;2;0;0
2020.07.13-03:36:59.939;6;3;1;1;0;0;0;0;1;0
2020.07.13-03:46:59.974;5;2;0;0;1;1;0;0;0;0
2020.07.13-03:57:00.146;4;0;3;1;0;0;0;0;0;0
2020.07.13-04:07:00.331;15;1;3;0;0;0;0;1;0;2
2020.07.13-04:17:00.504;6;7;1;1;0;0;2;2;0;1
2020.07.13-04:27:00.626;8;6;3;2;5;0;0;5;1;0
2020.07.13-04:37:00.757;17;3;4;3;1;0;3;5;0;1
2020.07.13-04:47:00.846;10;13;9;2;5;0;0;10;1;3
2020.07.13-04:57:01.064;16;8;7;0;5;0;3;9;2;0
2020.07.13-05:07:01.251;23;14;13;3;13;0;2;2;0;3
2020.07.13-05:17:01.342;43;23;9;8;8;0;3;10;2;6
2020.07.13-05:27:04.700;53;20;17;4;6;0;2;5;0;2
2020.07.13-05:37:04.934;27;26;7;1;2;2;28;22;3;1
2020.07.13-05:47:05.070;13;26;4;7;2;0;19;26;8;6
2020.07.13-05:57:05.519;29;22;7;9;5;2;32;16;3;0
2020.07.13-06:07:05.769;30;26;6;10;6;3;27;10;1;1
2020.07.13-06:17:05.893;31;48;8;11;4;3;33;26;1;5
2020.07.13-06:27:05.993;71;36;8;15;3;1;17;15;3;1
2020.07.13-06:37:06.006;119;43;11;12;8;4;8;5;0;0
2020.07.13-06:47:06.185;112;57;3;12;7;2;9;12;4;3
2020.07.13-06:57:06.223;131;56;9;10;14;1;10;8;4;1
2020.07.13-07:07:06.417;132;59;5;20;15;1;6;6;4;3
2020.07.13-07:17:06.605;176;89;6;14;22;2;9;10;1;1
2020.07.13-07:27:07.001;138;102;6;23;27;8;10;5;7;2
2020.07.13-07:37:07.044;149;87;4;23;20;5;9;7;1;2
2020.07.13-07:47:07.277;129;137;8;18;15;2;9;17;3;0
2020.07.13-07:57:07.612;150;83;6;18;16;5;12;5;6;4
2020.07.13-08:07:07.849;142;118;4;12;26;6;7;4;2;2
2020.07.13-08:17:07.859;140;107;11;4;29;0;7;11;3;1
2020.07.13-08:27:07.899;130;94;9;11;33;7;5;3;1;2
2020.07.13-08:37:08.138;117;88;7;22;43;1;9;6;2;3
2020.07.13-08:47:08.269;139;129;19;14;37;2;10;3;0;0
2020.07.13-08:57:08.407;121;95;10;15;29;3;10;8;2;2
2020.07.13-09:07:08.623;115;111;16;13;29;7;9;3;2;0
2020.07.13-09:17:08.685;151;114;18;17;29;16;7;5;0;1
2020.07.13-09:27:08.707;145;104;16;9;21;9;3;2;1;2
2020.07.13-09:37:08.841;133;90;19;16;22;3;8;7;2;3
2020.07.13-09:47:09.049;130;106;19;24;16;2;7;4;2;2
2020.07.13-09:57:09.328;123;87;11;13;14;2;6;11;4;0
2020.07.13-10:07:09.499;128;92;23;17;18;3;12;3;2;1
2020.07.13-10:17:09.549;97;86;31;14;12;4;7;7;1;1
2020.07.13-10:27:09.573;100;91;22;13;14;3;5;5;2;1
2020.07.13-10:37:09.668;118;90;20;10;18;9;5;3;3;1
2020.07.13-10:47:09.924;123;98;17;15;22;7;8;5;1;2
2020.07.13-10:57:09.979;113;106;14;24;9;11;7;4;2;2
2020.07.13-11:07:10.167;106;79;14;16;17;7;10;5;0;1
2020.07.13-11:17:10.330;91;96;15;16;20;8;7;2;3;0
2020.07.13-11:27:10.350;96;90;23;15;25;11;10;2;2;0
2020.07.13-11:37:10.517;124;92;21;15;16;6;7;7;1;3
2020.07.13-11:47:10.645;107;130;22;23;14;5;6;13;1;1
2020.07.13-11:57:10.698;110;109;14;21;12;9;4;6;1;4
2020.07.13-12:07:10.858;93;103;22;24;22;8;8;3;3;3
2020.07.13-12:17:11.201;96;92;12;13;24;5;8;4;2;1
2020.07.13-12:27:11.231;90;112;11;20;14;7;4;3;2;3
