Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.03.12-00:00:00.072;0;5;0;0;0;0;0;0;0;0
2021.03.12-00:10:00.186;0;4;0;0;0;0;0;0;0;0
2021.03.12-00:20:00.340;0;1;0;2;0;0;0;0;0;0
2021.03.12-00:30:00.514;2;0;0;0;0;0;0;0;0;0
2021.03.12-00:40:00.640;2;0;0;0;0;0;0;0;0;0
2021.03.12-00:50:00.725;0;1;0;0;0;0;0;0;0;0
2021.03.12-01:00:00.756;0;0;0;0;0;0;0;0;0;0
2021.03.12-01:10:00.839;1;1;0;0;0;0;0;0;0;0
2021.03.12-01:20:00.899;1;1;0;0;0;0;0;0;0;0
2021.03.12-01:30:01.031;0;0;0;0;0;0;0;0;0;0
2021.03.12-01:40:01.177;0;1;1;0;0;0;0;0;0;0
2021.03.12-01:50:01.254;3;2;0;1;0;0;0;0;0;0
2021.03.12-02:00:01.348;0;1;0;0;0;0;0;0;0;0
2021.03.12-02:10:01.522;2;2;0;0;0;0;0;0;0;0
2021.03.12-02:20:01.626;2;2;0;0;0;0;0;0;0;0
2021.03.12-02:30:01.666;1;0;0;0;0;0;0;0;0;0
2021.03.12-02:40:01.850;3;3;0;0;0;0;0;0;0;0
2021.03.12-02:50:02.016;1;0;0;0;0;0;0;0;0;0
2021.03.12-03:00:02.181;3;2;0;0;0;0;0;1;0;0
2021.03.12-03:10:02.215;4;0;0;0;0;0;0;0;0;0
2021.03.12-03:20:02.286;1;1;0;0;0;0;0;1;0;0
2021.03.12-03:30:02.287;6;0;0;0;0;0;2;2;0;0
2021.03.12-03:40:02.374;1;0;0;0;1;0;2;0;0;0
2021.03.12-03:50:02.417;1;2;0;0;0;0;0;0;0;0
2021.03.12-04:00:02.565;3;5;0;0;0;0;0;0;0;0
2021.03.12-04:10:02.617;2;1;2;0;0;0;0;4;0;0
2021.03.12-04:20:02.732;7;1;0;0;2;0;0;1;1;0
2021.03.12-04:30:03.835;7;3;3;1;1;0;4;0;1;0
2021.03.12-04:40:03.965;14;2;2;1;0;3;2;2;0;0
2021.03.12-04:50:04.134;18;9;0;2;2;0;1;5;3;2
