Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.01.28-00:00:00.147;4;1;0;0;0;0;0;0;0;0
2021.01.28-00:10:00.293;0;4;0;0;0;0;0;0;0;0
2021.01.28-00:20:00.439;0;10;0;0;0;0;1;1;0;0
2021.01.28-00:30:00.557;1;0;1;1;0;1;0;0;0;0
2021.01.28-00:40:00.675;2;3;0;2;0;0;0;0;0;0
2021.01.28-00:50:00.741;2;1;0;0;0;0;0;1;0;0
2021.01.28-01:00:00.897;0;0;0;0;0;0;0;0;0;0
2021.01.28-01:10:01.023;3;0;0;0;0;0;0;0;0;0
2021.01.28-01:22:34.848;1;2;0;0;0;0;0;0;0;0
2021.01.28-01:32:35.027;0;0;0;0;0;0;0;0;0;0
2021.01.28-01:42:35.224;0;0;0;0;0;0;0;0;0;0
2021.01.28-01:52:35.416;3;0;0;0;0;0;0;0;0;0
2021.01.28-02:02:35.440;2;0;0;0;0;0;0;0;0;0
2021.01.28-02:12:35.442;1;1;0;0;0;0;0;0;0;0
2021.01.28-02:22:35.476;0;0;0;1;0;0;0;0;0;0
2021.01.28-02:32:35.562;1;0;0;0;0;0;0;0;0;0
2021.01.28-02:42:35.616;3;0;0;0;0;0;0;0;0;0
2021.01.28-02:52:35.728;1;2;0;0;0;0;0;0;0;0
2021.01.28-03:02:35.907;1;1;0;0;0;0;0;0;0;0
2021.01.28-03:12:36.092;1;0;0;0;0;0;0;0;0;0
2021.01.28-03:22:36.197;3;0;1;0;0;1;0;4;1;1
2021.01.28-03:32:36.282;2;0;0;0;0;0;0;0;0;1
2021.01.28-03:42:36.428;4;0;0;0;0;0;1;0;1;0
2021.01.28-03:52:36.632;4;4;0;0;2;0;0;0;0;0
2021.01.28-04:02:36.652;4;3;0;0;2;0;0;1;0;1
2021.01.28-04:12:36.736;2;3;0;0;1;0;0;4;0;1
2021.01.28-04:22:36.872;13;3;1;0;3;0;2;3;0;1
2021.01.28-04:32:36.905;10;2;2;0;3;0;1;7;0;1
2021.01.28-04:42:37.045;18;2;3;2;4;0;3;1;1;0
2021.01.28-04:52:37.062;25;12;1;1;2;1;1;7;1;3
2021.01.28-05:02:37.095;23;9;5;1;8;0;5;6;2;0
2021.01.28-05:12:37.136;32;14;4;2;3;0;6;7;1;1
2021.01.28-05:22:38.420;41;24;3;5;4;1;2;4;0;2
2021.01.28-05:32:38.602;61;10;7;3;4;0;5;2;0;0
2021.01.28-05:42:38.791;55;19;2;1;3;0;5;8;0;2
2021.01.28-05:52:38.887;44;22;5;4;6;0;5;4;1;1
2021.01.28-06:02:38.924;40;24;5;5;5;2;6;3;1;0
2021.01.28-06:12:39.392;71;27;6;4;5;2;2;4;2;0
2021.01.28-06:22:39.640;73;39;8;7;8;1;9;7;1;0
2021.01.28-06:32:39.863;117;40;7;4;6;0;5;5;1;0
2021.01.28-06:42:39.880;133;37;7;5;16;2;6;11;4;0
2021.01.28-06:52:40.081;143;44;5;5;19;4;9;10;2;2
2021.01.28-07:02:40.269;167;59;15;4;20;8;13;5;2;2
2021.01.28-07:12:40.429;166;62;15;8;26;2;5;2;3;2
2021.01.28-07:22:40.617;178;88;15;12;25;10;13;6;2;2
2021.01.28-07:32:40.722;136;112;20;3;12;7;9;4;7;2
2021.01.28-07:42:40.862;160;113;22;5;7;3;12;12;4;3
2021.01.28-07:52:41.106;169;123;24;2;5;4;13;16;4;2
2021.01.28-08:02:41.400;145;71;19;8;4;2;14;5;6;1
2021.01.28-08:12:41.659;165;110;16;11;7;0;19;8;6;2
