Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.09.03-00:00:00.118;4;7;2;1;1;0;0;1;0;0
2020.09.03-00:10:00.317;7;2;1;2;0;1;0;0;0;0
2020.09.03-00:20:00.400;6;5;1;0;0;1;0;0;0;0
2020.09.03-00:30:00.412;3;3;2;1;0;0;0;0;0;0
2020.09.03-00:40:00.565;6;9;2;0;0;0;0;0;0;0
2020.09.03-00:50:00.683;4;6;1;3;1;2;0;0;0;0
2020.09.03-01:00:00.747;5;5;1;0;0;4;0;0;0;0
2020.09.03-01:10:00.775;2;3;0;3;3;1;0;0;0;0
2020.09.03-01:20:00.849;6;1;0;3;0;0;0;0;0;0
2020.09.03-01:30:00.854;3;1;2;2;0;0;0;0;0;0
2020.09.03-01:40:01.115;4;4;0;1;0;3;0;0;0;0
2020.09.03-01:50:01.142;0;2;0;0;0;1;0;0;0;0
2020.09.03-02:00:01.236;1;0;0;0;0;0;0;0;0;0
2020.09.03-02:26:06.375;2;2;1;0;0;0;0;0;0;0
2020.09.03-02:36:06.442;2;3;1;3;0;1;1;0;0;0
2020.09.03-02:46:06.451;1;1;0;0;0;4;1;0;0;0
2020.09.03-02:56:06.637;2;1;0;1;0;2;0;0;0;0
2020.09.03-03:06:06.797;1;3;1;1;0;0;0;0;0;0
2020.09.03-03:16:06.907;2;1;0;1;0;0;0;0;0;0
2020.09.03-03:26:06.990;2;3;1;1;1;0;1;2;0;0
2020.09.03-03:36:07.134;10;0;0;0;0;1;0;0;0;0
2020.09.03-03:46:07.240;6;1;0;1;0;1;0;0;0;0
2020.09.03-03:56:07.279;4;0;2;1;0;0;0;0;0;0
2020.09.03-04:06:07.352;9;3;6;0;0;0;1;1;0;0
2020.09.03-04:16:07.449;10;11;4;0;0;0;0;2;0;0
2020.09.03-04:26:07.601;17;5;1;0;0;0;0;7;0;1
2020.09.03-04:36:07.639;21;1;3;1;2;0;2;4;2;0
2020.09.03-04:46:07.685;12;9;6;1;3;0;1;7;0;0
2020.09.03-04:56:07.705;15;9;9;1;2;0;4;4;0;0
2020.09.03-05:06:07.865;32;7;12;3;0;0;7;5;1;0
2020.09.03-05:16:08.095;39;21;12;5;0;1;1;5;0;0
2020.09.03-05:26:08.144;49;13;5;5;6;0;4;5;1;2
2020.09.03-05:36:08.272;63;21;9;6;14;1;6;7;3;0
2020.09.03-05:46:08.426;52;27;9;9;13;1;2;8;3;1
2020.09.03-05:56:08.587;31;32;4;7;9;0;2;12;2;6
2020.09.03-06:06:08.595;53;22;3;6;13;1;5;1;3;1
2020.09.03-06:16:08.672;68;26;12;12;17;1;11;16;0;8
2020.09.03-06:26:08.775;89;30;9;15;15;0;3;11;3;4
2020.09.03-06:36:08.803;121;56;19;14;25;3;9;6;2;5
2020.09.03-06:46:08.840;159;48;33;11;37;4;7;12;4;5
2020.09.03-06:56:08.991;161;67;38;20;40;5;6;5;7;2
2020.09.03-07:06:09.293;148;87;44;15;46;6;8;7;2;2
2020.09.03-07:16:09.520;156;75;58;12;46;5;14;9;3;0
