Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.03.29-19:53:42.117;17;24;4;3;4;0;2;5;1;0
2020.03.29-06:43:09.867;11;6;0;3;2;1;2;4;0;0
2020.03.29-16:33:39.822;51;41;7;11;14;6;2;1;0;2
2020.03.29-19:43:42.079;16;22;6;4;1;0;0;3;0;3
2020.03.29-19:23:41.741;22;24;0;5;5;2;1;4;1;3
2020.03.29-05:03:09.103;12;4;1;0;0;0;0;1;2;0
2020.03.29-10:23:26.205;19;21;3;7;5;3;1;5;0;1
2020.03.29-14:03:29.006;53;54;13;16;9;6;3;0;3;0
2020.03.29-22:43:44.032;2;5;0;0;0;0;1;5;1;1
2020.03.29-20:03:42.189;18;19;3;2;4;0;3;3;2;0
2020.03.29-03:00:00.058;0;0;0;0;0;0;0;0;0;0
2020.03.29-18:43:41.341;43;31;5;9;24;3;3;2;0;1
2020.03.29-20:33:42.471;10;11;4;0;7;1;1;1;2;1
2020.03.29-15:23:39.003;41;40;14;21;21;8;2;4;2;2
2020.03.29-00:40:00.259;2;3;0;0;0;0;0;0;0;0
2020.03.29-20:53:42.647;15;17;3;1;4;1;2;6;1;0
2020.03.29-03:20:00.227;1;2;0;0;0;1;0;1;0;0
2020.03.29-23:43:44.573;8;2;0;0;0;0;0;0;0;0
2020.03.29-09:13:16.984;19;12;0;4;5;2;0;2;1;3
2020.03.29-14:13:29.197;48;51;6;19;6;10;2;4;1;3
2020.03.29-13:23:28.887;47;46;9;10;4;2;1;5;1;2
2020.03.29-06:13:09.620;16;7;1;1;3;0;2;4;0;0
2020.03.29-15:43:39.036;38;41;13;24;11;2;1;6;0;2
2020.03.29-06:23:09.675;11;9;1;2;1;0;1;4;0;1
2020.03.29-17:33:40.524;34;39;14;12;18;3;3;0;1;1
2020.03.29-08:03:10.482;22;15;1;2;6;3;3;1;1;0
2020.03.29-23:13:44.387;0;2;1;0;0;0;1;2;0;0
2020.03.29-13:03:28.608;49;45;7;23;6;3;3;3;1;3
2020.03.29-03:30:00.230;6;0;1;0;0;0;0;1;0;0
2020.03.29-05:53:09.524;6;7;0;2;0;0;1;2;1;0
2020.03.29-20:43:42.546;14;5;1;0;3;0;2;1;1;0
2020.03.29-00:50:00.298;5;2;2;0;1;0;0;0;0;0
2020.03.29-20:23:42.449;18;17;1;5;4;0;1;4;0;1
2020.03.29-15:33:39.004;39;36;11;23;15;4;5;0;2;1
2020.03.29-04:30:00.871;3;0;1;0;0;0;0;0;0;0
2020.03.29-08:23:10.705;21;24;0;7;0;0;2;7;2;1
2020.03.29-07:33:10.293;25;16;3;4;1;1;7;2;4;0
2020.03.29-14:23:29.249;36;44;12;14;10;7;1;5;0;1
2020.03.29-21:53:43.581;8;9;0;3;0;0;3;7;0;0
2020.03.29-22:33:43.963;6;0;0;0;0;0;2;2;1;1
2020.03.29-18:53:41.343;41;27;4;5;14;2;3;4;1;2
2020.03.29-04:00:00.500;0;0;0;0;0;0;0;0;0;0
2020.03.29-08:43:10.804;19;24;5;2;2;1;3;3;1;0
2020.03.29-05:23:09.147;15;2;0;1;0;0;1;1;1;1
2020.03.29-01:14:52.245;0;3;0;0;0;0;0;0;0;0
2020.03.29-08:33:10.727;13;26;1;5;2;4;2;2;2;0
2020.03.29-23:03:44.369;7;3;0;0;1;1;2;1;0;0
2020.03.29-05:33:09.342;11;2;0;1;0;0;0;0;0;0
2020.03.29-01:34:52.527;1;3;0;0;0;0;0;0;0;0
2020.03.29-18:03:40.951;46;31;8;7;23;1;2;1;2;1
2020.03.29-07:53:10.481;16;11;2;2;1;1;3;3;1;3
2020.03.29-17:23:40.401;52;33;22;15;22;2;2;4;2;1
2020.03.29-04:10:00.554;1;1;0;0;0;0;0;0;0;1
2020.03.29-19:03:41.446;30;31;2;4;20;0;1;1;1;0
2020.03.29-16:03:39.573;48;48;24;18;21;6;3;1;1;0
2020.03.29-21:33:43.366;1;7;0;0;0;0;1;2;1;0
2020.03.29-21:23:43.090;9;12;2;0;0;0;1;5;1;1
