Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.07.12-00:00:00.012;29;19;29;2;14;3;0;0;0;0
2021.07.12-00:10:00.181;28;21;58;15;22;3;0;0;0;0
2021.07.12-00:20:00.321;22;14;21;6;10;2;0;2;0;0
2021.07.12-00:30:00.378;15;7;17;4;6;0;0;0;0;0
2021.07.12-00:40:00.433;4;11;5;5;1;1;0;0;0;0
2021.07.12-00:50:00.634;9;3;4;2;0;0;0;0;0;0
2021.07.12-01:00:00.639;2;5;4;0;1;1;0;0;0;0
2021.07.12-01:10:00.640;5;5;4;7;2;0;0;0;0;0
2021.07.12-01:20:00.813;2;6;5;5;0;0;0;0;0;0
2021.07.12-01:30:00.989;0;1;3;4;0;1;0;0;0;0
2021.07.12-01:40:01.125;3;5;2;2;1;1;0;0;0;0
2021.07.12-01:50:01.227;4;2;0;1;0;2;0;1;0;0
2021.07.12-02:00:01.413;1;4;2;0;1;0;0;0;0;0
2021.07.12-02:10:01.509;3;2;0;0;4;0;0;0;0;0
2021.07.12-02:20:01.611;3;2;1;1;1;0;0;0;0;0
2021.07.12-02:30:01.617;6;3;1;1;1;0;0;0;0;0
2021.07.12-02:40:01.789;4;3;2;4;0;0;0;0;0;0
2021.07.12-02:50:01.927;4;1;1;2;0;0;0;0;0;0
2021.07.12-03:00:01.954;0;0;0;3;0;0;0;0;0;0
2021.07.12-03:10:02.130;3;2;0;1;0;0;0;1;0;0
2021.07.12-03:20:02.249;4;6;0;0;1;2;0;1;0;0
2021.07.12-03:30:02.266;8;2;2;0;1;0;1;2;0;1
2021.07.12-03:40:02.344;8;1;0;0;0;0;1;0;0;0
2021.07.12-03:50:02.433;6;9;1;1;0;0;1;2;0;0
2021.07.12-04:00:02.569;11;2;0;1;2;2;0;0;0;0
2021.07.12-04:10:02.986;10;6;2;1;2;0;1;8;0;0
2021.07.12-04:20:03.677;8;6;3;2;2;2;0;4;1;0
2021.07.12-04:30:03.749;14;4;4;4;3;0;2;4;0;0
2021.07.12-04:40:03.901;15;3;6;1;6;0;3;4;0;0
2021.07.12-04:50:04.155;16;4;3;7;1;0;5;6;1;0
2021.07.12-05:00:04.353;18;17;6;3;13;0;4;5;3;2
2021.07.12-05:10:04.480;34;11;11;4;11;0;6;6;0;4
2021.07.12-05:20:04.508;39;9;16;8;7;2;2;8;1;1
2021.07.12-05:30:04.693;49;24;15;4;11;0;8;1;5;10
2021.07.12-05:40:04.723;53;26;16;16;9;0;6;5;0;2
2021.07.12-05:50:04.813;48;29;13;8;7;0;4;7;0;2
2021.07.12-06:00:04.961;22;25;8;7;3;1;8;4;1;0
2021.07.12-06:10:05.017;33;21;10;10;2;0;6;7;1;2
2021.07.12-06:20:05.062;57;27;10;13;8;2;10;12;1;1
2021.07.12-06:30:05.151;94;26;24;12;11;1;11;5;4;0
2021.07.12-06:40:05.159;97;40;29;8;13;11;3;12;0;1
2021.07.12-06:50:05.376;110;53;37;14;20;8;7;10;2;2
2021.07.12-07:00:05.520;106;63;26;9;26;7;8;9;3;2
2021.07.12-07:10:05.749;117;61;37;20;47;6;10;4;1;4
2021.07.12-07:20:05.886;118;60;35;15;57;6;11;9;2;3
2021.07.12-07:30:05.961;145;89;20;26;43;11;10;6;2;3
2021.07.12-07:40:06.158;150;71;38;24;55;4;10;9;2;1
2021.07.12-07:50:06.169;133;114;25;33;46;10;8;7;2;1
2021.07.12-08:00:06.317;117;88;24;21;38;5;8;10;4;3
2021.07.12-08:10:06.632;94;94;12;17;36;5;2;1;0;5
2021.07.12-08:20:06.808;121;69;12;30;27;10;14;4;3;3
2021.07.12-08:30:06.992;121;78;19;20;32;11;8;7;2;0
2021.07.12-08:40:07.027;143;91;18;14;36;5;9;4;3;1
2021.07.12-08:50:07.330;100;71;26;19;23;11;5;6;2;0
2021.07.12-09:00:07.481;102;63;15;16;18;13;8;3;2;1
2021.07.12-09:10:07.623;99;87;33;32;19;7;6;7;1;0
2021.07.12-09:20:07.708;112;91;18;22;17;4;5;6;1;2
2021.07.12-09:30:08.032;93;79;27;18;22;3;3;3;1;2
2021.07.12-09:40:08.193;119;81;28;16;16;6;9;5;2;1
2021.07.12-09:50:08.497;96;92;20;19;21;6;5;5;2;1
2021.07.12-10:00:08.592;94;83;15;16;14;8;6;5;5;2
2021.07.12-10:10:08.673;115;77;34;20;17;9;5;7;0;0
2021.07.12-10:20:08.724;87;91;36;9;21;9;7;5;2;2
2021.07.12-10:30:08.874;105;95;29;16;19;11;10;3;0;0
2021.07.12-10:40:09.055;82;86;30;19;12;11;3;10;2;1
2021.07.12-10:50:09.104;111;83;26;18;12;8;3;9;0;0
2021.07.12-11:00:09.257;93;93;24;11;23;4;9;3;3;2
2021.07.12-11:10:09.352;79;90;18;18;9;5;2;6;3;4
2021.07.12-11:20:09.492;97;89;20;10;17;8;11;3;1;3
2021.07.12-11:30:09.736;89;76;26;26;16;7;5;2;1;3
2021.07.12-11:40:09.897;100;94;21;11;3;16;7;5;1;3
2021.07.12-11:50:10.075;79;105;16;25;12;3;4;4;1;1
2021.07.12-12:00:10.220;72;84;17;24;6;6;7;7;1;2
2021.07.12-12:10:10.320;76;76;34;24;20;15;4;7;2;2
2021.07.12-12:20:10.498;92;89;19;18;14;16;7;6;0;2
2021.07.12-12:30:10.736;92;86;27;19;7;10;4;8;3;2
2021.07.12-12:40:10.807;82;91;15;20;6;12;8;6;2;2
2021.07.12-12:50:10.835;60;87;18;18;10;17;5;10;0;3
2021.07.12-13:00:10.986;88;66;24;17;7;13;3;8;1;2
2021.07.12-13:10:11.021;74;62;28;27;6;15;4;4;3;3
2021.07.12-13:20:11.183;64;79;20;17;9;10;7;11;3;1
2021.07.12-13:30:11.364;78;76;14;24;12;16;6;5;2;2
2021.07.12-13:40:11.496;84;82;16;18;15;4;3;8;0;2
2021.07.12-13:50:11.707;74;78;20;21;6;13;6;5;1;1
2021.07.12-14:00:11.837;84;86;25;12;10;13;5;18;1;2
2021.07.12-14:10:11.861;83;86;25;25;11;20;5;7;1;4
2021.07.12-14:20:11.978;70;90;24;25;17;16;6;6;7;4
2021.07.12-14:30:12.234;77;93;22;24;15;20;7;5;4;3
2021.07.12-14:40:12.426;76;95;30;23;9;8;9;6;4;1
2021.07.12-14:50:12.701;82;88;23;21;10;13;7;8;4;0
2021.07.12-15:00:12.843;70;89;22;23;6;18;7;8;2;1
2021.07.12-15:10:12.993;101;77;22;28;9;13;7;9;3;3
2021.07.12-15:20:13.184;94;116;35;30;17;25;7;8;4;4
2021.07.12-15:30:13.398;83;123;22;31;18;25;10;11;4;2
2021.07.12-15:40:13.558;111;102;33;32;20;17;8;5;1;1
2021.07.12-15:50:13.642;115;108;22;39;19;19;5;5;3;2
2021.07.12-16:00:13.764;128;99;30;15;9;14;21;11;5;6
2021.07.12-16:10:13.874;120;139;34;45;17;25;5;11;2;2
2021.07.12-16:20:14.061;155;141;32;31;18;20;18;12;7;3
2021.07.12-16:30:14.120;98;124;37;49;31;23;4;1;3;2
2021.07.12-16:40:14.222;106;103;38;50;30;23;5;9;2;7
2021.07.12-16:50:14.362;99;117;29;44;17;13;13;9;4;3
2021.07.12-17:00:14.437;100;130;20;31;27;11;6;4;7;3
2021.07.12-17:10:14.470;96;128;24;40;17;11;3;15;1;2
2021.07.12-17:20:14.579;83;121;25;37;32;14;4;10;4;5
