Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.07.09-00:00:00.054;8;7;0;0;0;7;0;0;0;0
2021.07.09-00:10:21.067;5;6;10;3;8;4;0;0;0;0
2021.07.09-00:20:21.218;5;5;3;2;1;6;0;3;0;0
2021.07.09-00:30:21.460;6;5;0;8;1;3;0;0;0;0
2021.07.09-00:40:21.596;5;6;0;2;2;8;0;0;0;0
2021.07.09-00:50:21.629;10;3;2;2;1;1;0;1;0;0
2021.07.09-01:00:21.827;2;3;1;3;3;4;0;0;0;0
2021.07.09-01:10:21.909;7;1;0;4;0;2;0;0;0;0
2021.07.09-01:21:01.017;0;3;0;0;0;5;0;0;0;0
2021.07.09-01:31:01.170;3;1;0;1;1;2;0;0;0;0
2021.07.09-01:41:01.372;3;7;2;4;0;3;0;0;0;0
2021.07.09-01:51:01.489;7;0;1;7;2;3;0;0;0;0
2021.07.09-02:01:01.634;3;6;1;6;3;3;0;0;0;0
2021.07.09-02:11:01.748;1;2;0;0;0;0;0;0;0;0
2021.07.09-02:21:01.886;2;3;2;1;1;3;0;0;0;0
2021.07.09-02:31:15.400;7;1;0;3;0;3;0;0;0;0
2021.07.09-02:41:15.550;3;5;2;4;0;2;0;0;0;0
2021.07.09-02:51:15.714;6;2;1;5;2;2;0;2;0;0
2021.07.09-03:01:15.852;4;1;0;1;1;1;0;0;0;0
2021.07.09-03:11:15.870;7;2;0;0;2;0;0;1;0;0
2021.07.09-03:21:16.043;6;3;1;1;0;0;0;4;0;1
2021.07.09-03:31:16.084;4;7;1;0;0;0;0;0;0;0
2021.07.09-03:41:16.085;8;3;2;0;1;0;0;0;0;0
2021.07.09-03:51:16.215;8;3;1;1;0;0;2;0;1;0
2021.07.09-04:01:16.238;4;2;2;2;0;0;0;0;0;0
2021.07.09-04:11:16.393;5;5;5;0;0;4;1;3;0;0
2021.07.09-04:21:16.534;6;6;3;2;2;1;1;2;0;1
2021.07.09-04:31:16.690;13;8;10;0;3;0;0;4;0;2
2021.07.09-04:41:16.829;19;8;0;4;2;0;3;7;1;1
2021.07.09-04:51:16.858;21;19;7;10;11;2;2;5;1;3
2021.07.09-05:01:16.982;28;11;7;3;8;0;6;5;5;0
2021.07.09-05:11:17.103;23;15;17;6;9;3;4;6;0;3
2021.07.09-05:21:17.249;37;21;7;9;7;8;4;6;0;2
2021.07.09-05:31:17.392;59;22;19;6;9;1;7;4;4;6
2021.07.09-05:41:21.445;38;31;13;17;5;0;1;7;2;4
2021.07.09-05:51:21.503;53;32;7;17;5;2;3;4;1;3
2021.07.09-06:01:21.695;37;19;13;10;6;4;7;2;4;0
2021.07.09-06:11:21.875;57;38;29;9;16;1;7;7;0;5
2021.07.09-06:21:21.985;69;41;12;20;15;1;6;5;1;2
2021.07.09-06:31:21.996;100;40;28;12;23;2;9;6;2;1
2021.07.09-06:41:22.194;112;59;26;19;34;5;5;3;1;0
2021.07.09-06:51:22.295;127;65;33;16;28;2;6;8;3;6
2021.07.09-07:01:22.372;103;58;22;15;25;1;8;7;3;2
2021.07.09-07:11:22.698;106;71;27;13;42;6;11;11;4;2
2021.07.09-07:21:22.706;123;73;38;15;51;1;8;8;3;4
2021.07.09-07:31:22.706;145;74;27;13;40;7;17;5;2;0
2021.07.09-07:41:22.888;130;110;37;30;39;6;16;6;4;1
2021.07.09-07:51:23.104;113;94;28;26;63;14;9;10;3;2
2021.07.09-08:01:23.193;111;98;25;25;40;8;11;9;4;3
2021.07.09-08:11:23.377;120;85;10;23;38;3;6;10;6;3
2021.07.09-08:21:23.576;123;91;14;23;39;8;12;4;3;2
2021.07.09-08:31:23.840;132;74;17;29;24;13;7;3;2;1
2021.07.09-08:41:23.908;104;87;25;21;37;6;8;9;2;1
2021.07.09-08:51:24.084;131;90;27;19;23;5;8;7;1;2
2021.07.09-09:01:24.300;128;94;19;22;17;6;6;5;2;1
2021.07.09-09:11:24.495;104;87;11;24;16;15;3;4;2;1
2021.07.09-09:21:25.065;108;85;24;16;13;6;6;6;2;3
2021.07.09-09:31:25.294;107;85;23;10;15;10;10;3;1;1
2021.07.09-09:41:25.550;140;72;24;17;13;13;14;5;1;2
2021.07.09-09:51:25.811;115;86;16;18;17;8;3;7;1;1
2021.07.09-10:01:25.886;112;92;25;20;17;9;8;4;1;1
2021.07.09-10:11:26.276;111;89;26;23;12;7;6;7;1;2
2021.07.09-10:21:26.324;101;96;20;18;16;21;2;6;1;1
2021.07.09-10:31:26.446;84;82;20;15;14;7;10;5;4;1
2021.07.09-10:41:26.817;104;100;18;20;12;4;3;7;3;0
2021.07.09-10:51:26.983;118;107;20;24;13;7;5;6;1;1
2021.07.09-11:01:27.296;103;83;12;21;18;13;7;7;3;1
2021.07.09-11:11:27.329;105;94;11;15;35;9;4;6;2;1
2021.07.09-11:21:27.545;98;77;12;20;16;10;3;5;3;2
2021.07.09-11:31:27.574;83;74;17;18;23;13;3;7;2;1
2021.07.09-11:41:27.582;99;108;16;14;21;9;11;5;0;1
2021.07.09-11:51:27.651;114;104;17;21;15;6;3;6;1;3
2021.07.09-12:01:27.971;99;105;10;22;13;13;9;7;0;1
2021.07.09-12:11:28.014;90;109;25;27;12;6;6;7;2;3
2021.07.09-12:21:28.117;99;93;17;27;5;13;6;3;1;0
2021.07.09-12:31:28.304;91;116;25;25;14;17;3;2;1;3
2021.07.09-12:41:28.594;105;88;23;18;16;10;7;11;0;1
2021.07.09-12:51:28.661;83;81;20;21;10;2;3;7;3;1
2021.07.09-13:01:28.679;97;101;22;31;9;10;9;4;2;2
2021.07.09-13:11:28.958;99;105;18;27;11;10;4;6;1;4
2021.07.09-13:21:29.178;83;97;24;18;14;11;8;5;1;4
2021.07.09-13:31:29.437;95;116;17;22;11;15;9;7;2;2
2021.07.09-13:41:29.627;99;97;19;26;10;21;10;6;1;6
2021.07.09-13:51:29.777;80;102;37;30;17;12;8;5;1;2
2021.07.09-14:01:29.926;75;116;18;28;15;14;10;11;2;3
2021.07.09-14:11:30.104;84;94;18;44;16;7;6;6;2;1
2021.07.09-14:21:30.224;76;96;21;28;13;9;5;11;1;2
