Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.02.02-00:00:00.117;1;3;0;0;0;0;0;0;0;0
2021.02.02-00:10:00.215;0;2;0;0;0;0;0;0;0;0
2021.02.02-00:20:00.306;2;1;0;0;0;1;0;1;0;0
2021.02.02-00:30:00.425;0;0;0;0;0;0;0;0;0;0
2021.02.02-00:40:00.499;3;3;0;0;0;0;0;0;0;0
2021.02.02-00:50:00.588;0;0;0;0;0;0;0;0;0;0
2021.02.02-01:00:00.700;0;0;0;0;0;0;0;0;0;0
2021.02.02-01:10:00.805;1;2;0;0;0;0;0;1;0;0
2021.02.02-01:20:00.958;1;0;0;0;0;0;0;0;0;0
2021.02.02-01:30:01.071;1;0;0;0;0;0;0;0;0;0
2021.02.02-01:40:01.196;1;0;0;0;0;0;0;0;0;0
2021.02.02-01:50:01.211;0;2;0;0;0;0;0;0;0;0
2021.02.02-02:00:01.335;1;2;0;0;0;0;0;0;0;0
2021.02.02-02:10:01.462;2;0;0;0;0;0;0;0;0;0
2021.02.02-02:20:01.644;0;0;0;0;0;0;1;0;1;0
2021.02.02-02:30:01.672;0;1;0;0;0;0;0;0;0;0
2021.02.02-02:40:01.783;0;1;0;0;1;0;0;0;0;0
2021.02.02-02:50:01.937;1;1;0;0;0;0;0;0;0;0
2021.02.02-03:00:02.080;3;1;0;0;0;0;0;0;0;0
2021.02.02-03:10:02.275;4;4;0;0;0;0;0;0;0;0
2021.02.02-03:20:02.312;1;0;0;0;0;0;0;2;0;0
2021.02.02-03:30:02.316;6;3;0;0;0;0;3;1;1;0
2021.02.02-03:40:02.461;3;3;0;0;1;0;0;0;0;0
2021.02.02-03:50:02.661;4;3;0;0;0;0;0;0;0;0
2021.02.02-04:00:02.804;2;4;0;0;0;0;0;1;0;0
2021.02.02-04:10:03.015;12;1;0;0;1;0;0;0;0;0
2021.02.02-04:20:03.136;7;3;1;0;4;0;0;3;1;1
2021.02.02-04:30:03.188;14;7;1;0;1;0;2;0;0;3
