Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.08.20-00:00:00.145;19;20;36;6;30;13;0;0;0;0
2021.08.20-00:10:00.294;27;20;37;8;45;19;2;0;1;0
2021.08.20-00:20:00.359;14;9;2;6;6;18;0;1;0;0
2021.08.20-00:30:01.504;13;7;4;11;6;14;0;1;0;0
2021.08.20-00:40:01.629;9;12;3;15;8;19;0;0;0;0
2021.08.20-00:50:01.697;3;12;3;11;3;13;0;0;0;0
2021.08.20-01:00:01.859;7;7;6;8;9;16;0;0;0;0
2021.08.20-01:10:01.879;9;5;1;7;4;15;0;0;0;0
2021.08.20-01:20:02.148;2;4;2;7;6;18;0;0;0;0
2021.08.20-01:30:02.196;10;9;1;4;5;22;0;0;0;0
2021.08.20-01:40:02.347;6;7;0;0;1;9;0;0;0;0
2021.08.20-01:50:04.110;5;3;0;5;2;13;0;0;0;0
2021.08.20-02:00:04.281;3;2;1;2;4;12;0;0;0;0
2021.08.20-02:10:04.372;3;4;1;7;2;8;0;0;0;0
2021.08.20-02:20:04.595;7;3;1;3;4;11;0;0;0;0
2021.08.20-02:30:04.615;3;3;8;0;4;10;0;0;0;0
2021.08.20-02:40:04.796;1;2;4;4;5;6;0;0;0;0
2021.08.20-02:50:04.845;2;2;1;3;3;4;0;0;0;0
2021.08.20-03:00:04.851;4;4;1;2;2;3;0;0;0;0
2021.08.20-03:10:04.971;2;2;0;3;2;10;0;0;0;0
2021.08.20-03:20:05.154;3;2;2;7;3;9;0;2;0;0
2021.08.20-03:30:05.302;3;2;1;2;0;4;1;1;0;1
2021.08.20-03:40:05.344;2;2;3;2;4;4;0;0;0;0
2021.08.20-03:50:05.487;1;4;1;0;1;4;4;0;0;0
2021.08.20-04:00:05.545;3;3;3;0;1;5;0;0;0;0
2021.08.20-04:10:05.643;1;1;0;1;1;2;0;4;0;0
2021.08.20-04:20:07.945;2;3;0;2;3;0;4;2;1;1
2021.08.20-04:30:08.217;5;0;2;2;2;4;2;3;0;1
2021.08.20-04:40:08.406;1;1;3;2;1;3;6;5;6;1
