Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.02.25-22:16:28.405;20;24;0;0;1;4;3;3;1;1
2020.02.25-11:16:17.615;91;98;8;12;11;9;10;8;1;1
2020.02.25-23:46:33.528;8;6;0;0;1;3;2;2;1;0
2020.02.25-19:46:26.803;62;93;9;7;4;5;1;8;1;0
2020.02.25-01:24:56.799;2;1;1;1;0;1;0;0;0;0
2020.02.25-18:06:25.228;134;207;12;7;3;3;7;7;2;0
2020.02.25-10:06:16.295;93;85;8;11;10;7;8;15;3;3
2020.02.25-03:26:10.545;5;1;2;3;0;2;0;1;1;1
2020.02.25-12:06:18.763;114;77;11;13;11;8;16;9;2;3
2020.02.25-16:06:23.382;120;157;21;25;16;19;6;8;5;3
2020.02.25-15:16:22.313;107;126;10;15;22;15;3;9;4;5
2020.02.25-21:46:27.943;14;70;1;2;4;1;1;3;0;1
2020.02.25-19:56:26.890;60;73;5;6;2;3;3;5;0;1
2020.02.25-07:46:13.796;150;98;51;9;26;8;16;12;9;4
2020.02.25-04:06:11.098;6;8;1;0;0;0;1;1;0;2
2020.02.25-16:36:23.651;110;162;13;37;28;8;9;7;6;4
2020.02.25-05:16:11.767;60;12;3;1;0;0;1;6;0;0
2020.02.25-11:26:17.808;93;97;12;21;18;8;6;10;2;1
2020.02.25-20:06:27.048;125;75;9;4;8;3;7;3;1;0
2020.02.25-20:56:27.485;51;47;3;3;2;2;0;8;1;1
2020.02.25-04:36:11.275;16;2;5;1;0;0;2;5;0;0
2020.02.25-14:06:21.221;90;129;10;7;11;9;8;7;2;6
2020.02.25-12:26:19.052;84;105;8;11;9;15;5;13;1;4
2020.02.25-03:56:10.866;7;1;1;0;0;0;0;0;0;0
2020.02.25-07:26:13.484;142;121;47;7;19;2;9;11;3;1
2020.02.25-07:56:13.937;133;93;33;8;16;2;19;13;10;3
2020.02.25-21:36:27.762;16;51;1;1;3;0;2;9;1;0
2020.02.25-07:36:13.735;148;135;53;8;43;7;11;11;3;5
2020.02.25-23:26:33.139;4;10;0;0;1;2;0;0;1;0
2020.02.25-13:56:21.099;89;141;17;13;6;15;14;10;1;4
2020.02.25-12:56:19.634;76;81;12;12;8;9;10;11;2;2
2020.02.25-02:26:09.742;3;9;0;0;0;0;0;0;0;0
2020.02.25-00:20:00.201;2;5;0;0;1;0;0;1;0;0
2020.02.25-15:46:22.959;103;160;15;21;15;17;11;13;3;6
2020.02.25-18:26:25.856;101;147;8;7;6;1;0;3;0;1
2020.02.25-01:44:56.986;1;4;0;0;0;1;0;0;0;0
2020.02.25-08:36:14.723;119;97;21;9;14;6;12;10;0;4
2020.02.25-20:46:27.479;43;59;4;3;3;1;4;3;1;1
2020.02.25-14:36:21.766;104;136;10;15;2;13;9;8;5;7
2020.02.25-13:46:20.727;129;109;21;5;12;15;6;8;4;3
2020.02.25-10:46:16.891;98;90;13;14;18;15;10;5;5;4
2020.02.25-21:26:27.570;30;38;5;2;2;2;5;1;0;0
2020.02.25-21:16:27.562;41;51;9;2;4;4;3;1;1;1
2020.02.25-03:16:10.420;5;4;1;3;0;3;0;0;0;0
2020.02.25-10:36:16.707;113;72;11;14;18;18;10;14;2;2
2020.02.25-19:26:26.557;67;138;5;7;7;7;3;4;0;0
