Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.09.01-00:00:00.107;2;4;0;2;1;0;0;0;0;0
2020.09.01-00:11:22.732;1;6;1;5;1;1;0;0;0;0
2020.09.01-00:21:22.841;6;1;2;6;0;2;0;0;0;0
2020.09.01-00:31:22.946;6;10;1;1;1;0;0;0;0;0
2020.09.01-00:41:22.960;3;5;0;2;0;2;0;1;0;0
2020.09.01-00:51:23.102;3;4;0;0;0;0;0;0;0;0
2020.09.01-01:01:23.201;4;7;2;0;2;1;0;0;0;0
2020.09.01-01:11:23.354;5;1;0;1;0;0;0;0;0;0
2020.09.01-01:21:23.448;5;3;0;0;0;0;0;0;0;0
2020.09.01-01:31:23.600;1;0;0;1;0;1;0;0;0;0
2020.09.01-01:41:23.708;1;4;0;2;1;0;0;0;0;0
2020.09.01-01:51:23.733;6;1;1;1;0;0;0;0;0;0
2020.09.01-02:48:03.516;4;1;0;0;0;0;0;0;0;0
2020.09.01-02:58:03.598;1;1;0;0;0;0;0;0;0;0
2020.09.01-03:08:03.770;3;1;1;0;0;0;0;0;0;0
2020.09.01-03:18:03.968;1;2;1;0;0;1;0;1;0;0
2020.09.01-03:28:04.127;3;0;2;1;0;1;0;1;0;1
2020.09.01-03:38:04.259;3;3;0;1;1;0;0;0;1;0
2020.09.01-03:48:04.299;4;4;0;0;0;0;0;0;0;0
2020.09.01-03:58:04.318;9;2;3;0;1;0;0;0;0;0
2020.09.01-04:08:04.443;7;7;3;0;0;1;0;3;0;2
2020.09.01-04:18:04.503;5;7;3;0;0;0;1;2;1;0
2020.09.01-04:28:13.199;22;11;3;1;0;0;0;2;0;0
2020.09.01-04:38:13.333;21;6;5;2;0;0;1;3;1;1
2020.09.01-04:48:13.468;20;2;5;2;3;0;1;2;0;2
2020.09.01-04:58:13.497;31;13;9;0;1;0;2;3;1;1
2020.09.01-05:08:13.530;36;15;14;1;0;0;1;2;0;1
2020.09.01-05:18:13.632;44;25;7;3;0;0;3;2;1;0
2020.09.01-05:28:13.821;49;25;14;1;1;1;0;1;0;0
2020.09.01-05:38:13.837;55;21;9;6;8;0;2;10;1;1
2020.09.01-05:48:13.945;43;25;11;6;4;0;3;8;1;0
2020.09.01-05:58:14.018;45;14;5;2;2;0;4;9;1;0
2020.09.01-06:08:14.057;61;32;9;5;2;1;4;6;2;2
2020.09.01-06:18:14.226;77;37;6;1;2;3;7;8;2;3
2020.09.01-06:28:14.368;94;39;10;6;13;1;8;11;2;1
2020.09.01-06:38:14.383;121;53;14;5;7;1;2;12;0;3
