Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.07.06-00:00:00.020;1;8;1;2;0;1;0;0;0;0
2021.07.06-00:10:00.060;4;10;3;4;0;0;0;0;0;0
2021.07.06-00:20:00.247;2;1;2;0;0;1;0;2;0;0
2021.07.06-00:30:00.443;2;7;2;6;2;0;0;0;0;0
2021.07.06-00:40:02.442;7;2;1;1;2;0;0;0;0;0
2021.07.06-00:50:02.554;5;6;1;1;0;0;0;0;0;0
2021.07.06-01:00:02.592;0;1;1;1;0;0;0;0;0;0
2021.07.06-01:10:02.774;5;3;1;7;0;2;0;0;0;0
2021.07.06-01:20:02.878;3;1;2;5;0;0;0;0;0;0
2021.07.06-01:30:03.056;3;2;1;0;2;0;0;0;0;0
2021.07.06-01:40:03.163;2;4;1;0;0;0;0;0;0;0
2021.07.06-01:50:03.310;5;4;1;1;0;1;0;0;0;0
2021.07.06-02:00:03.445;1;4;0;0;0;0;0;0;0;0
2021.07.06-02:10:03.590;1;2;1;1;0;0;1;0;0;0
2021.07.06-02:20:03.643;2;2;2;2;1;0;0;0;0;0
2021.07.06-02:30:03.761;4;3;0;0;0;0;1;0;0;1
2021.07.06-02:40:03.904;2;1;2;1;0;0;0;0;0;0
2021.07.06-02:50:04.023;2;0;0;1;0;0;0;0;0;0
2021.07.06-03:00:04.081;3;6;1;0;5;8;0;3;0;0
2021.07.06-03:10:04.199;8;6;1;0;0;2;0;0;0;0
2021.07.06-03:20:04.288;5;0;0;2;0;0;0;5;0;1
2021.07.06-03:30:04.310;9;1;2;1;0;0;1;1;0;0
2021.07.06-03:40:04.350;3;0;1;0;0;1;1;0;0;0
2021.07.06-03:50:04.507;8;3;0;0;0;0;0;0;0;0
2021.07.06-04:00:04.526;4;3;3;0;1;0;0;0;0;0
2021.07.06-04:10:04.532;9;2;1;0;1;0;1;7;1;0
2021.07.06-04:20:04.671;9;7;4;0;1;0;2;3;0;0
2021.07.06-04:30:04.806;13;4;4;1;4;0;4;4;0;1
