Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.08.22-00:00:00.079;3;9;12;8;2;14;0;0;0;0
2021.08.22-00:10:00.259;4;31;13;20;15;39;0;0;0;0
2021.08.22-00:20:00.443;14;20;0;7;1;13;0;3;0;0
2021.08.22-00:30:00.604;18;13;15;8;7;3;0;0;1;0
2021.08.22-00:40:00.680;6;16;5;11;3;5;0;0;0;0
2021.08.22-00:50:05.917;9;16;3;11;4;1;0;0;0;0
2021.08.22-01:00:06.026;12;22;2;7;5;8;0;0;0;0
2021.08.22-01:10:06.450;8;15;2;7;1;4;0;0;0;0
2021.08.22-01:20:06.454;10;6;4;6;0;7;0;0;0;0
2021.08.22-01:30:06.711;8;9;3;10;1;5;0;0;0;0
2021.08.22-01:40:06.805;3;9;7;8;0;5;0;0;0;0
2021.08.22-01:50:06.870;4;14;6;3;1;8;0;0;0;0
2021.08.22-02:00:06.929;4;6;2;4;0;3;0;0;0;0
2021.08.22-02:10:07.101;11;11;1;6;1;5;0;0;0;0
2021.08.22-02:20:07.112;7;9;2;7;1;4;0;0;0;0
2021.08.22-02:30:07.141;6;11;1;6;1;2;0;0;0;0
2021.08.22-02:40:07.297;5;11;1;6;2;4;0;0;0;0
2021.08.22-02:50:07.339;10;5;1;5;0;1;0;1;0;0
2021.08.22-03:00:07.420;4;4;0;7;0;0;0;0;0;0
2021.08.22-03:10:07.586;0;7;0;8;0;0;0;0;0;0
2021.08.22-03:20:07.669;10;3;2;2;1;4;0;2;0;0
2021.08.22-03:30:07.688;2;7;2;3;1;0;0;2;0;0
2021.08.22-03:40:07.750;5;6;5;2;2;2;4;2;1;0
2021.08.22-03:50:07.830;2;8;0;6;0;1;0;0;0;0
2021.08.22-04:00:07.922;4;2;2;1;0;2;0;0;0;0
2021.08.22-04:10:07.932;4;2;2;4;0;1;0;5;0;0
2021.08.22-04:20:07.953;3;1;1;7;0;3;6;7;6;3
2021.08.22-04:30:08.022;5;3;2;2;0;4;2;3;1;1
2021.08.22-04:40:08.083;2;2;1;3;0;0;2;11;2;0
2021.08.22-04:50:19.541;3;5;2;7;1;3;2;5;2;0
2021.08.22-05:00:19.659;6;4;1;1;0;1;5;1;1;0
2021.08.22-05:10:19.729;3;5;5;3;1;1;1;7;1;2
2021.08.22-05:20:19.788;6;1;3;3;6;1;2;2;0;0
2021.08.22-05:30:19.987;7;5;4;6;0;2;1;2;2;0
2021.08.22-05:40:20.084;5;10;4;6;2;0;5;1;2;1
2021.08.22-05:50:20.280;4;5;3;6;0;0;2;8;0;0
2021.08.22-06:00:20.424;3;4;3;3;1;0;6;9;2;1
2021.08.22-06:10:20.545;9;4;3;3;0;2;7;5;1;1
2021.08.22-06:20:20.644;4;6;2;2;2;1;7;5;3;1
2021.08.22-06:30:20.676;4;3;2;3;4;1;3;3;3;3
2021.08.22-06:40:20.679;4;2;2;3;2;2;4;2;2;0
2021.08.22-06:50:20.802;0;8;1;8;0;2;3;8;0;1
2021.08.22-07:00:20.959;2;8;1;7;2;2;2;1;2;9
2021.08.22-07:10:21.021;0;5;3;5;6;6;3;9;0;2
2021.08.22-07:20:21.054;3;7;7;7;1;6;3;5;2;1
2021.08.22-07:30:21.276;6;7;4;4;0;7;2;4;0;2
2021.08.22-07:40:21.504;1;12;6;6;10;7;4;9;2;1
2021.08.22-07:50:21.558;3;9;5;10;1;3;5;8;0;0
2021.08.22-08:00:21.731;8;8;12;6;10;3;10;10;0;3
2021.08.22-08:10:21.884;3;9;6;7;11;9;4;4;1;2
2021.08.22-08:20:21.931;0;16;3;10;7;4;2;8;0;3
2021.08.22-08:30:22.033;2;13;9;10;8;5;10;2;2;1
2021.08.22-08:40:22.123;11;23;7;10;12;13;1;4;0;1
2021.08.22-08:50:22.379;9;14;7;12;17;12;11;8;2;0
2021.08.22-09:00:22.569;6;14;11;8;13;10;8;5;2;1
2021.08.22-09:10:22.575;15;21;10;4;11;9;4;7;1;2
2021.08.22-09:20:22.724;8;14;12;5;13;7;2;11;1;0
2021.08.22-09:30:23.106;14;37;7;9;11;9;9;9;2;2
2021.08.22-09:40:23.118;9;16;8;17;16;7;3;0;1;0
