Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.05.11-00:00:00.156;0;3;0;0;0;1;0;0;0;0
2021.05.11-00:10:00.325;1;1;0;0;0;0;0;0;0;0
2021.05.11-00:20:00.359;1;1;3;0;0;1;0;2;0;0
2021.05.11-00:30:00.517;1;3;1;0;0;0;0;0;0;0
2021.05.11-00:40:00.616;3;0;0;0;0;0;0;0;0;0
2021.05.11-00:50:00.775;0;3;0;0;0;0;0;0;0;0
2021.05.11-01:00:00.923;1;2;0;1;0;0;0;0;0;0
2021.05.11-01:10:01.082;2;4;0;0;0;0;0;2;0;0
2021.05.11-01:20:01.124;1;1;0;0;0;0;0;1;0;0
2021.05.11-01:30:01.233;0;1;0;1;0;0;0;0;0;0
2021.05.11-01:40:01.324;2;1;0;0;0;0;0;0;0;0
2021.05.11-01:50:01.510;0;3;0;0;0;0;0;0;0;0
2021.05.11-02:00:01.672;2;2;1;0;0;0;0;0;0;0
2021.05.11-02:10:01.711;3;1;0;0;0;0;0;0;0;0
2021.05.11-02:20:01.752;1;0;0;0;0;0;0;0;0;0
2021.05.11-02:30:01.778;2;2;2;0;0;0;0;0;0;0
2021.05.11-02:40:01.863;1;5;0;0;0;0;0;0;0;0
2021.05.11-02:50:01.963;2;1;0;0;0;0;0;0;0;0
2021.05.11-03:00:02.151;0;0;0;0;0;0;1;1;0;0
2021.05.11-03:10:02.232;4;0;0;0;0;0;0;0;0;0
2021.05.11-03:20:02.396;3;0;1;0;0;1;0;1;0;0
2021.05.11-03:30:02.488;4;1;0;0;1;0;0;0;1;0
2021.05.11-03:40:02.536;6;1;1;0;0;0;0;0;0;0
2021.05.11-03:50:02.680;8;3;3;0;1;0;1;4;0;0
2021.05.11-04:00:02.852;4;4;4;0;0;0;0;1;0;0
2021.05.11-04:10:02.897;6;3;2;0;2;0;1;2;0;0
2021.05.11-04:20:02.998;10;4;2;0;0;0;0;4;0;0
2021.05.11-04:30:03.006;14;7;2;0;3;0;1;4;1;0
2021.05.11-04:40:03.155;16;4;3;1;3;1;3;8;1;2
2021.05.11-04:50:03.164;25;6;2;1;5;0;5;9;4;0
2021.05.11-05:00:03.314;20;15;3;0;7;0;5;4;1;0
2021.05.11-05:10:03.723;24;13;7;7;14;0;4;7;5;2
2021.05.11-05:20:03.768;35;7;4;5;9;3;4;4;3;2
2021.05.11-05:30:03.944;52;16;13;5;10;0;11;3;0;0
2021.05.11-05:40:03.994;34;34;8;16;3;0;6;4;2;1
2021.05.11-05:50:04.048;11;25;8;10;2;1;25;22;1;3
2021.05.11-06:00:04.271;14;34;3;6;2;2;31;28;1;1
2021.05.11-06:10:04.389;43;19;1;9;5;1;9;16;3;0
2021.05.11-06:20:04.637;84;27;12;9;9;5;11;14;2;2
2021.05.11-06:30:04.739;95;40;6;13;2;8;6;7;1;1
2021.05.11-06:40:05.680;146;40;18;12;10;7;10;13;2;1
2021.05.11-06:50:05.939;178;61;18;14;12;7;8;16;4;5
2021.05.11-07:00:06.147;188;63;13;17;20;9;16;6;2;0
2021.05.11-07:10:06.150;182;95;13;17;32;14;13;13;4;4
2021.05.11-07:20:06.252;178;103;10;14;33;10;11;9;1;1
2021.05.11-07:30:06.523;197;111;22;18;38;8;17;7;4;2
2021.05.11-07:40:06.652;148;102;14;21;39;11;9;6;5;0
2021.05.11-07:50:06.941;147;106;17;10;39;7;9;14;3;1
2021.05.11-08:00:06.950;159;127;9;10;46;13;25;5;6;2
2021.05.11-08:10:07.131;174;98;12;9;27;6;6;8;7;0
2021.05.11-08:20:07.261;118;112;12;16;42;13;6;10;4;2
2021.05.11-08:30:07.276;136;106;10;15;46;9;11;1;3;1
2021.05.11-08:40:07.311;144;97;15;10;24;6;12;16;1;2
2021.05.11-08:50:07.399;132;104;16;14;56;35;12;6;3;1
2021.05.11-09:00:07.457;134;85;10;12;28;7;15;3;1;1
2021.05.11-09:10:07.700;123;66;12;11;15;10;8;5;0;1
2021.05.11-09:20:07.739;109;72;12;15;16;12;3;6;1;3
2021.05.11-09:30:07.831;118;87;9;20;26;10;5;7;3;1
2021.05.11-09:40:07.902;126;97;14;14;19;6;9;9;2;1
2021.05.11-09:50:07.975;124;92;13;15;9;9;4;7;4;2
2021.05.11-10:00:08.186;104;98;11;8;16;7;14;6;5;3
2021.05.11-10:10:08.368;105;84;6;21;5;4;8;6;0;4
2021.05.11-10:20:08.593;97;92;17;20;14;11;6;7;2;1
2021.05.11-10:30:08.825;123;88;13;13;22;10;11;3;4;0
2021.05.11-10:40:08.953;116;87;16;22;23;8;6;7;4;3
2021.05.11-10:50:09.132;112;79;16;20;16;5;9;1;2;4
2021.05.11-11:00:09.328;99;83;11;12;12;9;12;9;4;1
2021.05.11-11:10:09.489;96;115;20;11;17;4;6;4;0;2
2021.05.11-11:20:09.546;91;88;13;14;19;14;6;7;2;3
2021.05.11-11:30:09.712;87;92;8;28;14;7;5;6;2;1
2021.05.11-11:40:09.806;82;106;21;18;10;8;8;12;3;2
2021.05.11-11:50:09.919;103;105;14;25;12;4;8;6;5;5
2021.05.11-12:00:10.092;122;76;17;21;23;9;4;6;3;2
2021.05.11-12:10:10.150;100;118;15;21;20;4;5;11;2;2
2021.05.11-12:20:10.289;99;113;11;23;12;14;6;11;2;3
2021.05.11-12:30:10.536;92;98;12;28;14;6;7;6;1;0
2021.05.11-12:40:10.801;106;99;10;27;24;16;11;8;2;0
2021.05.11-12:50:10.814;114;114;20;19;23;16;6;11;4;3
2021.05.11-13:00:11.205;94;107;13;19;13;19;8;12;0;0
2021.05.11-13:10:11.374;96;95;17;28;16;7;4;8;3;4
2021.05.11-13:20:11.378;109;107;19;21;8;7;7;12;3;2
2021.05.11-13:30:11.450;91;109;10;21;15;9;5;7;1;1
2021.05.11-13:40:11.551;119;107;15;28;14;8;4;7;1;2
2021.05.11-13:50:11.611;111;100;25;25;10;13;8;13;2;2
2021.05.11-14:00:11.775;98;125;22;33;23;12;7;11;2;3
2021.05.11-14:10:12.009;98;116;15;26;17;14;12;7;3;2
2021.05.11-14:20:12.185;94;131;17;34;24;19;14;14;4;3
2021.05.11-14:30:12.377;108;123;25;31;13;9;10;8;3;2
2021.05.11-14:40:12.608;114;113;15;41;15;16;11;8;3;7
2021.05.11-14:50:12.697;114;92;30;39;16;12;9;11;6;3
2021.05.11-15:00:12.767;115;123;27;29;20;14;11;9;3;2
2021.05.11-15:10:12.927;121;139;18;23;8;14;4;11;3;3
2021.05.11-15:20:13.102;107;120;19;36;16;10;6;16;6;3
2021.05.11-15:30:13.110;107;173;29;29;19;8;12;11;5;3
2021.05.11-15:40:13.181;120;155;15;47;29;26;8;7;3;3
2021.05.11-15:50:13.200;128;159;20;41;27;7;5;11;2;4
2021.05.11-16:00:13.372;134;167;24;35;33;15;16;9;6;4
2021.05.11-16:10:13.522;132;179;17;59;23;7;3;10;2;4
2021.05.11-16:20:13.745;101;183;29;33;30;21;9;9;0;5
