Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.06.16-00:00:00.042;5;8;1;4;0;2;0;0;0;0
2021.06.16-00:10:01.895;5;8;6;3;6;5;0;0;0;0
2021.06.16-00:20:11.786;7;2;1;5;1;5;0;1;0;1
2021.06.16-00:30:26.872;5;3;1;3;0;1;0;0;0;0
2021.06.16-00:40:26.891;6;12;3;2;3;2;0;0;0;0
2021.06.16-00:50:26.893;4;3;0;1;0;1;0;0;0;0
2021.06.16-01:00:27.048;1;2;0;4;0;5;0;0;0;0
2021.06.16-01:10:27.159;5;5;0;5;0;3;0;0;0;0
2021.06.16-01:20:27.313;4;1;2;6;1;3;0;1;0;0
2021.06.16-01:30:27.462;1;3;1;0;0;0;0;0;0;0
2021.06.16-01:40:27.568;1;2;0;5;1;3;0;0;0;0
2021.06.16-01:50:49.612;1;2;0;0;0;0;0;0;0;0
2021.06.16-02:00:49.701;3;2;0;0;0;0;0;0;0;0
2021.06.16-02:10:49.733;2;1;0;1;3;1;0;0;0;0
2021.06.16-02:20:49.883;4;1;1;1;0;0;0;0;0;0
2021.06.16-02:30:49.956;6;3;0;3;0;3;0;0;1;0
2021.06.16-02:40:50.136;2;2;0;2;0;0;0;0;0;0
2021.06.16-02:50:50.159;3;0;1;1;1;0;0;0;0;0
2021.06.16-03:00:50.310;0;1;0;1;1;2;0;0;0;0
2021.06.16-03:10:50.384;2;0;2;1;1;0;0;1;0;0
2021.06.16-03:20:50.463;4;6;0;1;1;0;0;1;0;0
2021.06.16-03:30:50.647;5;0;2;0;0;0;0;0;0;1
2021.06.16-03:40:50.656;3;3;1;5;4;4;0;0;0;0
2021.06.16-03:50:50.765;2;2;0;0;0;1;1;0;0;0
2021.06.16-04:00:50.860;6;4;0;3;0;2;0;0;0;0
2021.06.16-04:10:50.923;9;8;3;0;2;0;2;3;0;2
2021.06.16-04:20:50.988;11;9;2;1;1;0;1;6;2;0
2021.06.16-04:30:51.148;16;4;1;2;6;4;1;2;0;1
2021.06.16-04:40:51.280;25;8;6;2;3;0;4;5;2;1
2021.06.16-04:50:51.285;21;8;9;7;7;2;2;11;3;2
2021.06.16-05:00:51.446;29;18;12;4;13;1;4;1;3;0
2021.06.16-05:10:54.260;25;13;13;3;6;1;5;6;0;3
2021.06.16-05:20:54.326;46;13;17;13;13;3;7;14;3;13
2021.06.16-05:30:54.448;29;26;13;4;4;1;20;8;1;1
2021.06.16-05:40:54.766;20;37;3;6;5;3;18;30;0;0
2021.06.16-05:50:54.820;25;24;8;14;0;2;10;4;1;0
2021.06.16-06:00:54.896;45;18;8;8;5;1;10;2;2;0
2021.06.16-06:10:55.077;58;31;18;10;9;3;3;10;3;0
2021.06.16-06:20:55.199;96;32;18;13;11;7;5;12;1;2
2021.06.16-06:30:55.273;118;35;22;8;15;3;10;5;3;2
2021.06.16-06:40:55.286;144;38;20;23;22;6;4;7;0;3
2021.06.16-06:50:55.344;146;76;31;14;31;2;5;8;4;3
2021.06.16-07:00:55.360;148;59;21;17;41;4;11;10;0;2
2021.06.16-07:10:55.483;167;76;21;16;43;8;9;8;6;0
2021.06.16-07:20:55.752;142;92;35;18;52;7;5;7;4;1
2021.06.16-07:30:55.919;141;96;41;16;59;6;11;9;2;1
2021.06.16-07:40:56.121;148;84;44;32;52;8;9;9;2;0
