Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.05.25-04:17:36.587;11;4;4;0;0;0;0;0;1;0
2020.05.25-13:57:53.801;79;99;7;16;12;5;5;3;1;1
2020.05.25-22:58:02.416;8;8;2;1;2;0;0;2;1;0
2020.05.25-22:28:01.954;7;20;2;2;3;1;0;3;0;0
2020.05.25-11:17:51.654;87;108;8;17;14;2;4;5;0;3
2020.05.25-21:38:01.244;22;24;4;0;1;0;1;1;1;1
2020.05.25-15:27:55.577;122;145;6;6;9;3;3;10;0;2
2020.05.25-12:37:52.692;87;102;12;14;17;6;2;5;1;1
2020.05.25-13:37:53.661;80;98;10;19;6;2;3;3;3;1
2020.05.25-03:47:36.363;6;0;0;0;1;0;0;0;0;0
2020.05.25-03:17:36.114;3;0;0;1;0;0;0;0;0;0
2020.05.25-06:47:38.534;116;52;2;13;7;2;6;2;2;0
2020.05.25-04:57:37.076;21;9;2;2;4;0;3;5;3;1
2020.05.25-18:37:58.723;82;106;6;19;13;3;3;3;1;1
2020.05.25-20:08:00.271;57;46;6;17;12;5;2;3;2;1
2020.05.25-18:07:58.238;75;123;5;21;11;3;7;2;0;1
2020.05.25-14:47:54.556;105;90;10;24;11;9;3;2;1;2
2020.05.25-16:07:56.292;113;147;6;28;25;12;4;3;1;3
2020.05.25-00:40:00.478;2;2;0;1;0;1;0;0;0;0
2020.05.25-18:17:58.432;70;112;9;22;22;0;3;7;1;1
2020.05.25-23:28:02.830;3;6;2;1;0;1;2;0;0;0
2020.05.25-13:27:53.320;99;103;16;15;7;8;11;6;1;0
2020.05.25-09:07:49.456;91;84;8;6;16;9;4;1;0;0
2020.05.25-11:47:52.202;107;94;14;17;6;2;2;8;0;3
2020.05.25-02:57:35.886;2;0;0;0;0;0;0;0;0;0
2020.05.25-10:07:50.386;92;88;15;17;11;4;8;4;0;4
2020.05.25-03:57:36.476;2;4;1;0;0;0;0;0;0;0
2020.05.25-17:17:57.725;96;128;11;18;32;4;3;3;1;1
2020.05.25-00:50:00.612;4;2;2;1;0;0;0;0;0;0
2020.05.25-00:20:00.408;1;2;2;0;0;2;0;0;0;0
2020.05.25-04:27:36.768;18;4;1;0;1;0;2;2;0;0
2020.05.25-15:47:55.992;121;141;16;12;15;4;2;5;1;0
2020.05.25-11:07:51.631;99;106;15;21;14;3;7;2;1;0
2020.05.25-15:07:55.348;91;117;7;21;3;4;5;3;0;2
2020.05.25-20:28:00.297;37;55;11;8;10;0;2;2;1;1
2020.05.25-17:57:58.222;92;105;4;12;23;2;1;6;0;0
2020.05.25-18:27:58.599;74;98;9;19;11;9;4;7;0;2
2020.05.25-19:37:59.945;52;70;11;17;13;5;5;3;1;1
2020.05.25-21:28:01.084;23;27;2;3;0;0;4;3;0;1
2020.05.25-13:17:53.131;114;86;12;22;10;7;2;2;1;1
2020.05.25-09:17:49.626;110;64;8;12;10;6;3;4;1;1
2020.05.25-12:07:52.458;83;91;10;20;16;6;7;2;1;3
2020.05.25-05:47:37.619;45;26;4;11;3;0;3;3;0;1
2020.05.25-04:47:36.896;11;7;4;3;1;0;1;7;0;1
2020.05.25-10:17:50.575;80;85;14;14;13;3;3;0;1;0
2020.05.25-12:57:52.982;113;105;10;14;13;5;5;6;0;3
2020.05.25-11:37:51.936;89;90;9;21;13;4;4;3;2;1
2020.05.25-00:10:00.262;1;5;7;0;2;0;0;0;0;0
2020.05.25-11:27:51.853;88;94;11;16;14;7;7;2;1;2
2020.05.25-15:37:55.825;102;135;14;17;9;3;2;3;2;1
2020.05.25-19:27:59.745;63;83;18;19;10;10;1;4;0;1
2020.05.25-01:00:00.666;2;5;0;0;4;0;1;0;0;0
2020.05.25-08:37:49.229;103;72;12;10;16;5;6;4;3;1
2020.05.25-08:17:48.941;126;71;4;11;27;2;2;0;1;1
2020.05.25-20:38:00.307;41;42;5;7;16;1;1;2;2;0
2020.05.25-10:27:50.663;90;88;13;9;14;3;4;3;0;2
2020.05.25-23:18:02.737;8;4;1;0;1;0;1;0;0;0
2020.05.25-15:57:56.162;106;123;13;17;25;8;3;5;0;1
2020.05.25-01:31:05.782;2;0;0;0;0;1;0;0;0;0
2020.05.25-03:37:36.261;8;4;1;0;1;0;0;0;0;0
