Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.06.08-00:00:00.244;4;6;1;6;1;0;0;0;0;0
2020.06.08-00:10:00.297;3;6;1;0;0;1;0;0;0;0
2020.06.08-00:20:00.486;3;6;1;1;0;1;0;1;0;0
2020.06.08-00:30:00.641;4;2;0;1;0;0;0;0;0;0
2020.06.08-00:40:00.808;3;2;0;2;0;0;0;0;0;0
2020.06.08-00:50:00.888;0;3;2;2;1;2;0;0;0;0
2020.06.08-01:00:01.025;6;2;0;1;0;0;0;0;0;0
2020.06.08-01:10:01.043;1;0;1;0;2;0;0;0;0;0
2020.06.08-01:20:01.197;1;2;0;0;0;0;0;0;0;0
2020.06.08-01:30:01.391;0;2;1;0;0;0;0;0;0;0
2020.06.08-01:40:01.536;0;0;1;3;0;1;0;0;0;0
2020.06.08-01:50:01.607;2;0;1;0;0;0;0;0;0;0
2020.06.08-02:00:01.764;0;1;0;0;0;0;0;0;0;0
2020.06.08-02:23:38.545;4;1;1;0;0;0;0;0;0;0
2020.06.08-02:33:38.642;1;0;1;1;1;0;0;0;0;0
2020.06.08-02:43:38.722;0;0;0;0;0;0;0;0;0;0
2020.06.08-02:53:38.895;2;1;0;0;0;0;0;0;0;0
2020.06.08-03:03:39.010;2;3;0;0;0;0;0;0;0;0
2020.06.08-03:13:39.134;2;2;1;0;0;0;0;0;0;0
2020.06.08-03:23:39.168;5;5;0;0;0;0;0;3;0;1
2020.06.08-03:33:39.193;7;1;1;0;0;0;1;0;0;0
2020.06.08-03:43:39.341;5;3;1;1;0;0;0;0;0;0
2020.06.08-03:53:39.508;6;2;0;3;0;0;0;0;0;0
2020.06.08-04:03:39.683;6;3;1;0;1;0;0;1;0;0
2020.06.08-04:13:39.765;4;3;2;0;2;0;2;4;0;0
2020.06.08-04:23:39.953;14;1;2;0;0;0;1;5;0;0
2020.06.08-04:33:39.977;20;5;0;0;4;0;5;1;2;1
2020.06.08-04:43:40.122;26;5;4;4;3;0;1;3;1;1
2020.06.08-04:53:40.321;14;11;1;1;4;0;0;4;0;0
2020.06.08-05:03:40.429;30;11;3;0;6;0;4;0;0;0
2020.06.08-05:13:40.871;32;11;6;3;13;0;3;3;0;5
2020.06.08-05:23:40.907;40;14;5;4;9;0;2;4;0;0
2020.06.08-05:33:40.948;51;16;8;5;8;0;2;1;2;2
2020.06.08-05:43:40.995;40;15;0;6;4;0;1;2;0;0
2020.06.08-05:53:41.031;36;19;3;3;7;0;3;2;0;0
2020.06.08-06:03:41.116;49;16;9;6;6;1;2;0;2;1
2020.06.08-06:13:41.444;77;15;8;12;9;0;2;5;1;3
2020.06.08-06:23:41.498;78;36;7;6;12;2;4;5;0;1
2020.06.08-06:33:41.803;107;39;11;6;10;2;2;0;2;0
2020.06.08-06:43:41.811;126;47;7;12;18;0;3;5;0;1
2020.06.08-06:53:41.900;135;37;9;10;9;1;2;6;2;1
2020.06.08-07:03:42.028;148;61;5;17;21;0;2;2;0;0
2020.06.08-07:13:42.036;173;76;14;12;30;1;5;4;1;1
2020.06.08-07:23:42.053;197;86;23;13;37;0;9;4;1;0
