Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.12.30-00:00:00.006;2;3;0;0;0;0;0;0;0;0
2020.12.30-00:10:00.104;3;3;0;0;0;0;0;0;0;0
2020.12.30-00:20:00.285;2;0;0;0;0;0;0;1;0;1
2020.12.30-00:30:00.318;0;5;0;0;0;0;0;0;0;0
2020.12.30-00:40:00.503;2;1;0;0;0;0;0;0;0;0
2020.12.30-00:50:00.539;2;1;0;0;0;0;0;0;0;0
2020.12.30-01:00:00.602;0;1;0;0;0;0;0;0;0;0
2020.12.30-01:10:00.669;0;0;0;0;0;0;0;0;0;0
2020.12.30-01:20:00.779;0;2;0;0;0;0;0;1;0;0
2020.12.30-01:30:00.808;1;1;0;0;0;0;0;0;0;0
2020.12.30-01:40:00.816;1;0;0;0;0;0;0;0;0;0
2020.12.30-01:50:00.886;2;3;0;0;0;0;0;0;0;0
2020.12.30-02:00:01.050;2;0;0;0;0;0;0;0;0;0
2020.12.30-02:10:01.241;0;2;0;0;0;0;0;0;0;0
2020.12.30-02:20:01.338;1;0;0;0;0;0;0;0;0;0
2020.12.30-02:30:01.345;5;1;0;0;0;0;0;0;0;0
2020.12.30-02:40:01.377;0;0;0;0;0;0;0;0;0;0
2020.12.30-02:50:01.423;0;4;0;0;0;0;0;0;0;0
2020.12.30-03:00:01.567;7;0;0;0;0;0;0;1;0;0
2020.12.30-03:10:01.596;4;2;0;0;1;0;0;4;0;0
2020.12.30-03:20:25.389;3;1;0;0;0;0;0;2;0;0
2020.12.30-03:30:25.561;3;2;0;0;0;0;0;0;0;0
2020.12.30-03:40:25.689;3;1;0;0;0;0;0;0;0;0
2020.12.30-03:50:25.749;1;2;1;0;0;0;1;0;0;0
2020.12.30-04:00:25.852;3;3;0;0;0;0;0;0;0;0
2020.12.30-04:10:26.022;3;2;0;0;1;0;0;3;0;0
2020.12.30-04:20:26.060;10;0;0;0;0;0;1;2;1;0
2020.12.30-04:30:26.192;11;4;0;3;0;0;3;4;0;0
2020.12.30-04:40:26.221;11;5;0;0;1;0;4;4;0;0
2020.12.30-04:50:26.272;14;3;0;1;1;0;1;3;0;1
2020.12.30-05:00:26.324;27;6;3;2;2;0;2;4;0;0
2020.12.30-05:10:26.539;12;10;2;1;2;0;2;11;0;2
2020.12.30-05:20:26.664;37;12;1;3;1;0;1;5;1;1
2020.12.30-05:30:26.775;31;19;2;1;1;0;6;6;2;0
2020.12.30-05:40:26.821;24;7;3;0;0;0;4;2;1;0
2020.12.30-05:50:26.826;26;10;0;1;2;0;5;2;1;0
2020.12.30-06:00:27.004;26;12;0;0;1;0;3;2;0;0
2020.12.30-06:10:27.005;27;8;3;0;3;0;4;5;0;0
2020.12.30-06:20:27.048;43;15;5;0;1;0;2;6;1;0
2020.12.30-06:30:27.188;60;14;2;0;1;0;5;4;0;0
2020.12.30-06:40:27.310;55;25;4;1;1;0;4;6;2;0
2020.12.30-06:50:27.317;71;28;2;1;1;0;4;4;4;0
2020.12.30-07:00:27.368;58;24;1;4;6;0;4;4;0;0
2020.12.30-07:10:27.593;63;28;4;2;14;1;6;9;2;1
2020.12.30-07:20:27.650;65;38;1;1;6;0;8;9;1;1
2020.12.30-07:30:27.714;80;35;5;1;11;4;5;3;3;3
2020.12.30-07:40:27.818;72;35;4;2;12;2;7;7;4;2
2020.12.30-07:50:27.857;94;49;2;2;7;0;3;14;3;1
2020.12.30-08:00:27.929;78;39;4;2;3;0;8;13;1;4
2020.12.30-08:10:28.107;83;44;2;2;2;1;2;8;4;2
2020.12.30-08:20:28.162;79;53;2;1;4;3;7;8;3;1
2020.12.30-08:30:28.171;70;47;5;2;4;1;8;7;0;2
2020.12.30-08:40:28.697;102;64;6;3;6;2;5;9;2;3
2020.12.30-08:50:28.935;117;46;4;3;2;2;11;6;4;0
2020.12.30-09:00:29.034;77;68;6;8;7;1;4;3;2;3
2020.12.30-09:10:29.178;100;65;6;6;3;0;13;10;0;4
2020.12.30-09:20:29.255;114;88;6;8;0;1;9;2;2;3
2020.12.30-09:30:29.607;99;51;10;7;5;0;5;4;2;1
