Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.08.14-00:00:00.155;0;6;1;6;1;1;0;0;0;0
2021.08.14-00:10:00.273;5;34;15;28;2;22;0;0;0;0
2021.08.14-00:20:00.423;8;18;8;9;3;15;0;3;1;1
2021.08.14-00:30:00.575;11;14;1;8;0;6;0;0;0;0
2021.08.14-00:40:00.626;4;7;3;4;2;4;0;1;0;0
2021.08.14-00:50:00.801;2;10;6;7;3;2;0;0;0;0
2021.08.14-01:00:01.003;4;6;4;6;1;5;0;0;0;0
2021.08.14-01:10:01.049;9;7;1;9;0;5;0;0;0;0
2021.08.14-01:20:01.138;4;8;4;8;0;3;0;0;0;0
2021.08.14-01:30:39.505;5;3;6;3;3;9;0;0;0;0
2021.08.14-01:40:39.509;2;4;5;8;0;1;0;0;0;0
2021.08.14-01:50:39.600;2;5;9;6;3;1;0;0;0;0
2021.08.14-02:00:39.731;1;8;4;2;0;1;0;0;0;0
2021.08.14-02:10:39.805;4;13;3;7;0;1;0;0;0;0
2021.08.14-02:20:39.974;3;5;1;11;2;7;0;0;0;0
2021.08.14-02:30:40.074;5;7;5;3;1;1;0;0;0;0
2021.08.14-02:40:40.169;5;4;0;3;0;4;0;1;0;0
2021.08.14-02:50:49.029;2;4;3;9;0;4;0;0;0;0
2021.08.14-03:00:49.215;1;3;2;9;3;1;0;0;0;0
2021.08.14-03:10:49.327;7;3;1;3;0;1;0;0;0;0
2021.08.14-03:20:49.387;2;4;4;11;2;4;0;4;0;0
2021.08.14-03:30:49.511;3;7;3;4;0;2;0;2;0;1
2021.08.14-03:40:49.581;4;3;2;0;0;0;1;0;0;0
2021.08.14-03:50:49.715;3;4;0;3;1;0;2;0;0;0
2021.08.14-04:00:49.869;3;2;4;5;3;0;0;0;0;0
2021.08.14-04:11:14.136;2;8;2;3;4;0;0;5;0;0
2021.08.14-04:21:14.289;2;1;0;2;2;1;0;1;0;1
2021.08.14-04:31:14.353;3;6;5;0;0;0;1;2;1;1
2021.08.14-04:41:14.537;0;3;7;1;1;0;6;7;3;3
2021.08.14-04:51:49.097;1;2;1;6;0;3;4;9;1;2
2021.08.14-05:01:49.134;4;3;3;0;0;1;7;4;1;0
2021.08.14-05:11:49.247;6;6;6;5;2;0;2;3;0;1
2021.08.14-05:21:49.434;3;3;4;3;8;0;6;10;1;1
2021.08.14-05:31:49.826;9;3;3;9;4;4;1;2;1;0
2021.08.14-05:41:49.947;4;5;6;5;1;2;2;4;1;2
2021.08.14-05:51:50.020;6;4;8;3;9;3;0;7;2;0
2021.08.14-06:01:50.101;1;8;5;3;3;0;7;4;3;0
2021.08.14-06:11:50.271;4;7;3;5;7;0;4;5;2;3
2021.08.14-06:21:50.448;6;2;4;5;1;0;3;6;1;2
2021.08.14-06:31:50.511;4;8;7;7;4;3;13;8;1;0
2021.08.14-06:41:50.548;8;11;0;4;5;2;6;3;0;0
2021.08.14-06:51:50.840;3;7;7;13;1;8;5;7;0;2
2021.08.14-07:01:51.047;2;11;5;6;7;2;2;3;1;2
2021.08.14-07:11:51.159;2;14;10;9;6;5;1;6;0;2
2021.08.14-07:21:51.220;3;17;11;7;9;8;7;8;1;3
2021.08.14-07:31:51.221;9;13;5;13;3;5;7;5;0;1
2021.08.14-07:41:51.238;5;19;7;12;5;9;7;5;2;2
2021.08.14-07:51:51.395;14;16;4;6;7;5;0;3;0;1
2021.08.14-08:01:51.424;19;23;5;7;7;4;8;11;3;1
2021.08.14-08:11:51.589;5;11;9;9;16;8;6;4;1;1
2021.08.14-08:21:51.626;8;19;9;6;14;3;6;10;3;3
2021.08.14-08:31:51.679;11;17;9;11;15;8;8;2;2;0
2021.08.14-08:41:51.929;20;35;11;20;16;11;7;6;0;1
2021.08.14-08:51:52.006;18;38;7;14;12;16;1;6;0;0
2021.08.14-09:01:52.179;7;33;3;11;7;18;1;4;3;0
2021.08.14-09:11:52.203;7;30;9;15;20;7;5;8;1;3
2021.08.14-09:21:52.220;9;36;21;17;12;13;3;8;3;3
2021.08.14-09:31:52.313;22;38;7;21;15;14;5;3;2;0
2021.08.14-09:41:52.625;17;34;12;10;21;12;7;9;1;1
2021.08.14-09:51:52.764;8;29;5;12;13;31;3;1;2;1
2021.08.14-10:01:52.853;16;27;11;17;6;11;12;12;4;6
2021.08.14-10:11:52.947;11;41;14;22;20;12;5;8;1;0
2021.08.14-10:21:53.187;11;27;16;18;24;24;5;10;2;1
2021.08.14-10:31:53.315;8;29;9;16;13;9;12;6;4;1
2021.08.14-10:41:53.610;10;33;7;13;7;14;2;3;2;0
2021.08.14-10:51:53.846;14;36;20;20;24;18;3;7;2;3
2021.08.14-11:01:53.848;16;31;8;12;11;14;5;1;2;0
2021.08.14-11:11:54.199;26;45;16;13;19;10;5;10;2;1
2021.08.14-11:21:54.337;15;42;12;9;14;8;7;10;1;0
2021.08.14-11:31:54.398;12;36;13;16;7;15;7;4;2;0
2021.08.14-11:41:54.555;14;40;10;17;7;10;9;2;2;2
2021.08.14-11:51:54.657;13;37;7;16;11;14;1;5;0;2
2021.08.14-12:01:54.984;12;46;15;14;8;12;9;12;5;8
2021.08.14-12:11:55.089;19;47;15;17;20;5;1;9;2;1
2021.08.14-12:21:55.096;21;59;20;16;11;17;5;13;2;7
2021.08.14-12:31:55.157;10;39;10;22;11;24;5;4;3;0
2021.08.14-12:41:55.317;22;36;18;11;19;28;12;12;4;1
2021.08.14-12:51:55.505;8;42;6;18;18;16;2;8;1;2
2021.08.14-13:01:55.595;12;36;7;26;10;18;10;7;0;1
2021.08.14-13:11:55.791;12;37;7;12;8;16;5;6;2;3
2021.08.14-13:21:56.058;13;38;10;14;8;23;4;8;0;2
2021.08.14-13:31:56.127;15;31;16;17;15;25;16;5;2;0
2021.08.14-13:41:56.226;19;31;10;10;13;12;5;2;0;0
2021.08.14-13:51:56.281;11;33;9;11;8;10;1;5;2;4
2021.08.14-14:01:56.414;18;38;8;10;12;27;3;11;2;5
2021.08.14-14:11:56.535;10;30;15;22;7;23;4;3;1;1
2021.08.14-14:21:56.645;9;31;15;9;3;18;15;20;1;0
2021.08.14-14:31:56.886;15;20;14;11;8;21;4;3;2;1
2021.08.14-14:41:56.964;20;18;9;15;5;19;7;9;2;1
2021.08.14-14:51:56.976;7;34;19;12;7;17;10;9;1;3
2021.08.14-15:01:57.148;9;30;11;15;7;11;2;3;0;1
2021.08.14-15:11:57.315;9;25;15;12;20;23;6;7;2;1
2021.08.14-15:21:57.400;5;45;15;9;13;22;8;10;1;3
2021.08.14-15:31:57.402;8;27;18;18;15;23;2;3;2;2
2021.08.14-15:41:57.445;8;36;13;14;15;19;4;4;1;2
2021.08.14-15:51:57.495;15;24;22;21;26;13;0;5;0;1
2021.08.14-16:01:57.684;7;32;16;13;18;28;6;0;0;0
2021.08.14-16:11:57.818;11;30;28;10;27;28;3;4;1;1
2021.08.14-16:21:57.944;14;21;23;22;29;19;7;9;3;3
2021.08.14-16:31:58.088;15;41;8;12;16;28;3;4;3;2
2021.08.14-16:41:58.238;11;27;22;18;14;9;5;5;2;2
2021.08.14-16:51:58.292;12;23;27;15;25;27;2;5;2;1
2021.08.14-17:01:58.348;25;24;17;17;19;21;5;2;3;0
2021.08.14-17:11:58.401;17;18;20;21;15;13;4;1;3;1
2021.08.14-17:21:58.630;13;26;36;13;17;5;2;8;5;4
2021.08.14-17:31:58.689;11;22;17;17;7;11;9;3;1;2
2021.08.14-17:41:58.875;17;22;20;16;14;9;8;5;1;1
2021.08.14-17:51:59.216;10;34;22;14;17;5;4;6;0;1
2021.08.14-18:01:59.537;6;35;28;10;16;15;4;4;0;0
2021.08.14-18:11:59.582;21;29;31;17;17;7;4;3;1;1
2021.08.14-18:21:59.918;17;46;34;14;18;4;8;9;2;2
2021.08.14-18:32:00.091;29;34;42;13;30;29;2;7;2;1
2021.08.14-18:42:00.286;25;42;35;19;43;17;3;4;1;1
2021.08.14-18:52:00.371;10;29;35;22;69;12;0;8;3;3
2021.08.14-19:02:00.613;24;26;34;23;28;13;9;9;0;0
2021.08.14-19:12:00.702;11;22;38;25;38;18;5;4;0;1
2021.08.14-19:22:00.723;16;19;26;28;41;34;1;6;1;2
2021.08.14-19:32:00.929;28;44;18;19;39;18;1;4;1;0
2021.08.14-19:42:01.129;9;30;27;19;61;39;2;4;2;0
2021.08.14-19:52:01.291;32;30;36;22;66;23;6;15;4;0
2021.08.14-20:02:01.481;11;34;32;13;27;20;6;9;1;0
