Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.05.27-11:48:47.129;98;106;12;11;9;1;3;3;3;0
2020.05.27-17:28:52.033;113;122;12;26;16;8;2;2;1;3
2020.05.27-23:18:58.454;9;7;1;2;2;0;1;0;0;0
2020.05.27-12:58:48.267;92;94;21;14;18;1;2;2;0;1
2020.05.27-10:48:45.995;83;97;13;11;17;6;4;5;2;2
2020.05.27-06:38:42.182;132;35;6;12;14;1;6;3;2;2
2020.05.27-16:58:51.624;94;163;15;25;25;2;3;5;1;1
2020.05.27-01:20:01.240;3;2;1;2;0;0;0;0;0;0
2020.05.27-16:48:51.559;104;129;12;20;13;5;3;1;0;0
2020.05.27-01:40:01.463;0;1;0;0;0;0;0;0;0;0
2020.05.27-14:08:49.144;90;87;8;19;12;4;5;4;0;1
2020.05.27-07:28:42.981;138;72;22;12;35;0;9;7;0;1
2020.05.27-11:28:46.777;81;75;6;10;10;5;2;4;0;1
2020.05.27-03:38:40.177;5;0;2;1;0;2;1;0;0;0
2020.05.27-22:18:57.938;10;22;2;6;1;0;0;1;0;0
2020.05.27-18:58:53.266;62;87;9;20;13;10;0;5;0;1
2020.05.27-13:38:48.861;112;117;9;14;11;4;5;4;1;0
2020.05.27-12:38:47.918;89;101;11;13;15;5;4;2;1;0
2020.05.27-04:58:40.996;22;7;0;1;6;0;2;2;1;0
2020.05.27-17:48:52.338;90;118;15;21;17;6;8;2;0;0
2020.05.27-05:38:41.389;57;15;1;6;2;3;2;1;1;2
2020.05.27-01:30:01.273;3;4;0;1;0;2;0;0;0;0
2020.05.27-17:08:51.681;94;170;10;17;18;4;3;2;0;0
2020.05.27-18:48:53.249;65;82;7;15;16;5;3;2;1;0
2020.05.27-00:20:00.462;2;9;2;1;1;0;0;2;0;0
2020.05.27-23:08:58.415;5;14;3;3;1;1;1;3;0;3
2020.05.27-22:38:58.101;15;16;5;1;1;1;0;3;0;2
2020.05.27-21:08:54.988;24;37;13;4;2;1;0;5;0;0
2020.05.27-02:48:39.708;1;3;0;0;0;0;0;0;0;0
2020.05.27-06:28:42.015;91;32;7;9;11;1;6;3;0;0
2020.05.27-09:08:44.467;116;68;14;14;12;1;5;3;1;1
2020.05.27-20:28:54.389;30;40;6;4;20;6;0;2;1;0
2020.05.27-21:28:57.384;32;24;8;3;5;0;1;2;0;0
2020.05.27-04:18:40.675;6;2;3;2;1;0;0;0;1;0
2020.05.27-00:50:00.841;2;7;0;5;1;0;0;0;0;0
2020.05.27-04:38:40.873;24;4;0;3;1;2;4;2;1;1
2020.05.27-18:18:52.862;95;109;12;12;24;3;1;5;1;0
2020.05.27-19:18:53.502;63;108;9;12;13;3;0;5;1;0
2020.05.27-20:58:54.899;32;32;11;2;6;1;0;3;1;0
2020.05.27-13:28:48.630;101;86;11;9;13;2;4;3;1;2
2020.05.27-07:58:43.550;113;87;10;17;23;3;1;1;0;1
2020.05.27-14:18:49.186;73;99;8;19;9;3;7;6;1;1
2020.05.27-10:58:46.214;81;108;6;16;9;2;4;7;0;1
2020.05.27-13:48:48.954;93;110;14;17;16;1;4;2;1;1
2020.05.27-16:28:51.243;117;162;9;19;28;4;3;2;0;0
2020.05.27-15:18:50.180;101;98;16;29;12;8;1;3;2;2
2020.05.27-23:29:47.323;2;10;2;0;1;1;0;0;0;0
2020.05.27-12:48:48.045;122;106;11;18;15;4;4;1;0;2
2020.05.27-18:08:52.686;81;119;8;17;17;4;6;3;1;2
2020.05.27-05:48:41.500;34;28;4;5;5;1;0;3;0;2
2020.05.27-17:58:52.505;95;178;9;18;23;3;3;3;0;0
2020.05.27-14:28:49.355;106;92;11;15;15;2;10;5;0;2
2020.05.27-21:18:55.021;30;30;8;2;3;0;0;5;1;0
2020.05.27-01:50:01.543;2;1;0;1;0;0;0;0;0;0
2020.05.27-19:48:54.001;64;61;7;6;28;8;1;2;1;0
2020.05.27-08:08:43.552;105;79;11;7;20;3;2;4;1;0
2020.05.27-22:28:58.001;15;27;6;2;0;1;3;0;1;0
2020.05.27-07:38:43.038;154;90;10;14;30;1;1;4;2;1
2020.05.27-05:58:41.574;39;15;2;3;7;1;0;6;1;3
2020.05.27-01:10:01.068;4;1;0;0;0;0;0;0;0;0
2020.05.27-09:58:45.225;74;85;15;11;4;4;3;6;0;3
2020.05.27-07:08:42.638;144;61;9;6;23;2;9;4;1;3
2020.05.27-04:28:40.695;17;4;1;1;2;0;0;4;0;1
2020.05.27-11:18:46.459;82;106;16;11;9;10;3;2;0;0
2020.05.27-04:08:40.512;7;5;1;0;1;0;0;5;0;1
2020.05.27-22:08:57.761;15;32;7;3;1;0;1;5;0;1
2020.05.27-04:48:40.960;14;10;4;2;5;0;4;4;1;1
2020.05.27-18:38:53.143;66;108;7;17;12;3;1;5;2;4
2020.05.27-00:10:00.325;1;3;1;0;1;0;0;0;0;0
2020.05.27-03:08:39.965;0;3;0;0;0;1;0;0;0;0
2020.05.27-12:28:47.886;108;101;10;16;10;5;8;3;1;1
2020.05.27-20:38:54.570;35;39;5;4;19;3;1;2;0;0
2020.05.27-05:18:41.241;45;12;1;4;7;0;2;4;1;0
2020.05.27-20:08:54.217;47;55;11;12;18;3;3;2;1;2
2020.05.27-00:40:00.799;2;1;0;2;0;1;0;0;0;0
2020.05.27-22:58:58.382;13;9;2;0;1;1;2;2;0;0
2020.05.27-21:58:57.659;20;38;9;2;4;0;1;5;0;0
2020.05.27-10:08:45.614;81;68;9;13;5;6;7;4;4;1
2020.05.27-15:58:50.739;108;116;19;30;28;7;3;7;0;1
2020.05.27-11:58:47.165;91;97;16;16;13;5;3;4;1;4
2020.05.27-18:28:52.985;66;103;8;18;23;9;2;2;0;1
2020.05.27-14:58:49.803;89;110;5;25;9;4;6;3;0;0
2020.05.27-23:39:47.429;4;7;1;1;2;0;4;0;1;0
2020.05.27-09:48:45.067;130;102;9;14;10;4;9;3;2;0
2020.05.27-08:38:44.051;126;63;9;12;13;4;13;15;4;2
2020.05.27-06:08:41.705;45;19;2;3;6;1;3;3;0;0
