Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.08.18-00:00:00.162;1;1;2;2;0;0;0;0;0;0
2021.08.18-00:10:11.902;3;4;0;1;0;1;0;0;0;0
2021.08.18-00:20:12.011;2;4;2;7;0;2;1;0;0;0
2021.08.18-00:30:12.126;0;5;1;0;0;2;0;0;0;0
2021.08.18-00:40:12.276;2;7;1;2;1;4;0;0;0;0
2021.08.18-00:50:28.205;1;7;3;2;0;0;0;0;0;0
2021.08.18-01:00:28.287;3;3;3;4;0;2;0;0;0;0
2021.08.18-01:10:28.481;1;3;0;2;0;1;1;0;0;0
2021.08.18-01:20:28.596;3;4;6;1;0;1;0;0;0;0
2021.08.18-01:30:28.772;3;0;1;2;0;1;0;0;0;0
2021.08.18-01:40:28.811;0;2;1;1;0;0;0;0;0;0
2021.08.18-01:50:28.931;1;2;0;2;0;2;0;0;0;0
2021.08.18-02:00:29.054;1;1;1;0;0;0;0;0;0;0
2021.08.18-02:10:29.155;1;3;0;2;0;0;0;1;0;0
2021.08.18-02:20:29.387;0;2;10;0;1;0;0;0;0;0
2021.08.18-02:30:29.537;0;1;1;0;0;0;0;0;0;0
2021.08.18-02:40:29.705;0;0;0;0;0;0;0;0;0;0
2021.08.18-02:50:29.811;1;3;0;0;0;1;0;0;0;0
2021.08.18-03:00:30.023;4;1;2;0;0;0;0;1;0;0
2021.08.18-03:10:30.204;0;0;0;3;0;1;0;1;0;0
2021.08.18-03:20:30.330;1;0;1;1;0;0;0;5;0;0
2021.08.18-03:30:30.492;1;0;1;0;0;0;0;1;0;0
2021.08.18-03:40:30.510;0;0;1;0;0;0;1;1;2;0
2021.08.18-03:50:30.556;0;2;4;1;0;0;0;0;1;0
2021.08.18-04:00:30.705;1;0;0;2;0;0;0;0;0;0
2021.08.18-04:10:30.776;2;3;1;3;0;0;0;3;0;0
