Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.07.04-00:00:00.095;6;7;4;5;6;7;0;0;0;0
2021.07.04-00:10:22.960;12;24;4;7;3;3;0;0;0;0
2021.07.04-00:20:23.119;18;20;7;8;6;9;0;1;0;0
2021.07.04-00:30:23.220;22;19;1;3;3;1;0;0;0;0
2021.07.04-00:40:23.309;16;12;13;6;7;1;1;1;0;0
2021.07.04-00:50:23.362;5;20;1;7;0;3;0;0;0;0
2021.07.04-01:00:23.388;11;11;3;8;3;4;0;0;0;0
2021.07.04-01:10:23.448;12;14;5;8;2;3;0;1;0;0
2021.07.04-01:20:23.631;14;14;5;6;1;3;0;0;0;0
2021.07.04-01:30:23.690;9;13;4;7;2;3;0;0;0;0
2021.07.04-01:40:23.889;9;6;1;3;1;4;0;0;0;0
2021.07.04-01:50:23.944;7;9;3;5;6;2;0;0;0;0
2021.07.04-02:00:24.163;7;11;4;6;2;2;0;0;0;0
2021.07.04-02:10:24.265;10;4;0;5;4;15;0;0;0;0
2021.07.04-02:20:24.429;5;14;4;3;0;2;0;0;0;0
2021.07.04-02:30:24.445;9;7;2;5;4;4;0;0;0;0
2021.07.04-02:40:24.556;9;2;5;4;4;0;0;0;0;0
2021.07.04-02:50:24.746;2;4;1;2;0;3;0;0;0;0
2021.07.04-03:00:24.854;6;5;3;0;2;2;0;0;0;0
2021.07.04-03:10:24.898;7;6;3;5;2;5;0;0;0;0
2021.07.04-03:20:24.962;3;8;0;1;2;0;1;6;0;1
2021.07.04-03:30:25.012;11;5;2;6;0;2;0;1;0;0
2021.07.04-03:40:25.071;8;10;2;2;2;4;0;0;0;0
2021.07.04-03:50:25.255;12;4;1;5;0;4;1;1;0;0
