Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.12.16-00:00:00.087;0;2;1;0;0;1;0;0;0;0
2020.12.16-00:10:00.194;0;4;0;0;0;0;0;0;0;0
2020.12.16-00:20:00.327;0;1;0;0;0;0;0;1;0;0
2020.12.16-00:30:00.399;0;0;1;0;0;0;0;1;0;0
2020.12.16-00:40:00.540;1;0;0;0;0;0;0;0;0;0
2020.12.16-00:50:00.548;2;0;0;0;0;0;0;0;0;0
2020.12.16-01:00:00.624;3;1;0;0;0;0;0;0;0;0
2020.12.16-01:10:00.798;0;0;0;0;0;0;0;0;0;0
2020.12.16-01:20:00.904;1;2;0;0;0;0;0;0;0;0
2020.12.16-01:30:01.029;0;2;0;0;0;0;0;0;0;0
2020.12.16-01:40:01.217;2;3;0;0;0;0;0;2;0;0
2020.12.16-01:50:01.393;0;0;1;0;0;0;0;0;0;0
2020.12.16-02:00:01.436;0;4;0;0;0;0;0;0;0;0
2020.12.16-02:10:01.618;3;2;0;0;0;0;0;0;0;0
2020.12.16-02:20:01.778;0;2;0;0;0;0;0;0;0;0
2020.12.16-02:30:01.858;4;0;0;0;0;1;0;0;0;0
2020.12.16-02:40:01.894;3;1;0;0;0;0;0;0;0;0
2020.12.16-02:50:01.982;2;1;0;0;0;0;0;0;0;0
2020.12.16-03:00:02.129;1;0;0;0;0;0;0;0;0;0
2020.12.16-03:10:02.138;3;1;0;0;1;0;0;0;0;0
2020.12.16-03:20:02.165;0;1;0;0;0;0;1;1;0;0
2020.12.16-03:30:02.254;5;0;0;0;1;0;0;0;2;0
2020.12.16-03:40:02.262;3;0;0;0;0;0;1;0;0;0
2020.12.16-03:50:02.411;2;2;1;0;0;0;0;0;0;0
2020.12.16-04:00:02.498;0;3;1;0;0;0;0;0;0;0
2020.12.16-04:10:02.663;3;3;2;0;0;0;1;3;0;0
2020.12.16-04:20:02.686;11;4;2;0;0;0;0;0;1;1
2020.12.16-04:30:02.729;11;5;3;0;2;0;1;5;1;0
2020.12.16-04:40:03.184;17;3;6;4;1;0;6;3;0;2
2020.12.16-04:50:03.363;22;12;3;2;3;2;2;2;0;2
2020.12.16-05:00:03.406;29;5;6;2;1;0;6;2;0;0
2020.12.16-05:10:03.538;50;17;7;2;2;0;2;3;1;0
2020.12.16-05:20:03.739;30;13;6;3;2;0;2;8;1;3
2020.12.16-05:30:03.863;40;14;8;2;3;1;5;4;0;0
2020.12.16-05:40:04.003;49;13;5;3;4;1;5;4;0;1
2020.12.16-05:50:04.069;46;27;3;2;1;0;4;4;0;2
2020.12.16-06:00:04.229;38;17;10;1;0;1;7;4;1;0
2020.12.16-06:10:04.401;67;34;3;1;1;0;3;4;1;3
2020.12.16-06:20:04.554;105;38;8;5;1;0;5;3;0;2
2020.12.16-06:30:04.717;85;38;2;5;6;0;9;3;3;0
2020.12.16-06:40:05.047;131;46;12;5;8;1;6;5;0;3
2020.12.16-06:50:05.216;127;62;8;9;10;1;3;7;2;1
2020.12.16-07:00:05.304;132;54;13;4;21;1;10;4;5;1
2020.12.16-07:10:05.604;158;55;4;7;25;3;5;13;5;5
2020.12.16-07:20:05.636;158;77;8;3;39;4;7;7;7;0
2020.12.16-07:30:05.831;162;88;6;8;22;3;13;2;4;1
2020.12.16-07:40:06.046;157;88;16;8;35;2;13;13;8;3
2020.12.16-07:50:06.190;152;113;5;13;29;5;6;7;3;2
2020.12.16-08:00:06.242;123;89;9;10;30;2;14;11;1;1
2020.12.16-08:10:06.325;133;85;7;9;25;7;11;10;4;3
2020.12.16-08:20:06.529;112;69;5;10;21;5;4;9;2;0
2020.12.16-08:30:06.781;125;85;6;9;21;3;8;5;5;1
2020.12.16-08:40:07.100;132;84;2;8;18;6;7;8;1;2
2020.12.16-08:50:07.115;153;98;6;9;11;7;6;8;0;3
2020.12.16-09:00:07.345;133;90;5;10;16;1;7;3;2;0
2020.12.16-09:10:07.683;100;86;8;10;12;8;6;5;2;2
2020.12.16-09:20:07.755;128;79;10;9;16;2;7;6;0;1
2020.12.16-09:30:07.856;135;111;8;10;15;9;11;1;0;0
2020.12.16-09:40:08.062;112;97;6;11;13;4;6;4;2;4
2020.12.16-09:50:08.368;123;94;7;21;9;3;4;6;1;0
2020.12.16-10:00:08.463;97;84;3;7;7;6;5;4;0;3
2020.12.16-10:10:08.527;124;87;7;8;9;10;8;7;2;1
2020.12.16-10:20:08.595;118;105;7;11;11;9;6;4;1;2
2020.12.16-10:30:08.657;122;88;8;6;11;5;7;4;1;0
2020.12.16-10:40:08.801;115;90;3;13;18;1;6;8;2;1
2020.12.16-10:50:08.878;114;84;6;4;10;8;5;3;0;1
2020.12.16-11:00:09.075;101;107;2;11;8;3;10;6;2;2
2020.12.16-11:10:09.080;104;102;3;11;11;6;8;5;1;3
2020.12.16-11:20:09.281;134;90;7;10;17;5;9;7;3;2
2020.12.16-11:30:09.299;105;101;4;7;10;7;6;3;1;1
2020.12.16-11:40:09.568;125;99;8;3;13;3;9;9;1;2
2020.12.16-11:50:09.616;112;111;2;10;13;7;9;6;0;0
2020.12.16-12:00:09.822;103;133;4;6;12;7;5;2;1;3
2020.12.16-12:10:09.988;90;122;3;12;11;12;5;9;2;3
2020.12.16-12:20:10.227;94;120;2;16;14;9;5;7;0;2
2020.12.16-12:30:10.372;97;121;3;17;10;6;3;1;2;1
2020.12.16-12:40:10.465;110;125;5;12;11;9;7;5;2;1
2020.12.16-12:50:10.689;131;111;9;14;19;4;3;8;1;5
2020.12.16-13:00:10.820;112;105;4;7;7;4;9;3;1;1
2020.12.16-13:10:10.941;101;95;5;15;7;6;2;6;0;0
2020.12.16-13:20:11.028;89;102;2;14;8;10;5;8;4;0
2020.12.16-13:30:11.150;92;98;5;8;22;7;6;4;2;3
2020.12.16-13:40:11.420;127;102;3;13;12;8;9;9;1;1
2020.12.16-13:50:11.484;88;119;7;11;20;5;5;8;3;4
2020.12.16-14:00:11.546;114;89;6;14;15;9;4;1;2;2
2020.12.16-14:10:11.679;93;118;11;13;16;6;4;8;3;2
2020.12.16-14:20:11.846;86;127;8;8;18;7;5;8;2;2
2020.12.16-14:30:11.957;114;120;5;10;14;5;18;7;3;1
2020.12.16-14:40:12.042;107;119;6;22;12;5;3;9;1;3
2020.12.16-14:50:12.235;101;138;8;20;11;5;9;6;1;2
2020.12.16-15:00:12.428;109;119;6;12;23;8;5;7;3;3
2020.12.16-15:10:12.506;137;135;8;12;13;8;7;11;2;3
2020.12.16-15:20:12.576;100;125;2;22;14;3;9;7;1;2
2020.12.16-15:30:12.582;122;157;3;9;26;15;8;3;6;2
2020.12.16-15:40:12.655;115;158;2;5;22;9;5;9;2;2
2020.12.16-15:50:12.695;104;126;5;20;24;7;5;8;2;1
2020.12.16-16:00:12.843;122;153;5;8;19;13;2;6;2;2
2020.12.16-16:10:13.744;97;202;10;19;12;11;3;3;1;1
2020.12.16-16:20:13.762;149;236;13;10;12;6;7;4;3;2
2020.12.16-16:30:14.043;116;247;10;4;6;1;5;2;1;1
2020.12.16-16:40:14.315;141;228;18;12;10;6;3;6;1;1
2020.12.16-16:50:14.429;132;232;10;21;5;6;3;4;1;1
2020.12.16-17:00:14.713;132;220;16;5;7;6;2;7;3;0
2020.12.16-17:10:14.929;136;190;12;11;11;1;7;8;1;1
2020.12.16-17:20:14.959;122;178;13;10;5;1;1;7;2;0
2020.12.16-17:30:15.230;128;202;9;3;9;7;6;1;1;0
2020.12.16-17:40:15.336;112;185;7;7;9;1;5;9;0;5
2020.12.16-17:50:15.528;99;182;9;14;3;1;2;3;3;2
2020.12.16-18:00:15.594;81;149;10;5;1;3;7;2;2;1
2020.12.16-18:10:15.868;79;185;7;11;4;5;2;1;1;1
2020.12.16-18:20:16.045;79;155;2;7;3;1;3;3;1;0
2020.12.16-18:30:16.216;73;131;5;3;6;3;4;4;1;0
2020.12.16-18:40:16.245;68;144;10;6;4;2;4;4;0;1
2020.12.16-18:50:16.270;74;120;4;6;4;2;3;2;1;0
2020.12.16-19:00:16.310;75;147;8;3;7;2;0;3;0;1
2020.12.16-19:10:16.341;85;140;9;5;9;1;1;1;2;0
2020.12.16-19:20:16.390;67;99;5;9;2;1;1;5;3;1
2020.12.16-19:30:16.421;60;112;2;3;2;2;5;2;1;1
2020.12.16-19:40:16.667;61;76;7;3;5;1;1;1;0;1
2020.12.16-19:50:16.668;62;96;2;5;2;0;2;4;1;0
2020.12.16-20:00:16.733;28;36;2;3;0;2;4;3;0;2
2020.12.16-20:10:16.867;11;14;2;2;0;1;0;1;0;1
2020.12.16-20:20:16.975;14;17;0;1;0;0;1;2;1;2
2020.12.16-20:30:16.988;15;14;0;1;0;0;4;1;0;2
2020.12.16-20:40:16.994;7;21;0;2;0;0;0;2;0;0
2020.12.16-20:50:17.045;7;15;2;1;0;0;1;3;0;0
2020.12.16-21:00:17.101;10;14;2;2;1;0;4;3;1;1
2020.12.16-21:10:17.166;13;9;4;2;1;0;4;2;0;0
2020.12.16-21:20:17.270;7;7;2;1;0;0;2;5;0;0
2020.12.16-21:30:17.324;12;9;0;0;0;0;3;3;0;0
2020.12.16-21:40:17.436;4;17;0;0;0;0;1;4;0;0
2020.12.16-21:50:17.551;7;6;1;0;1;1;0;2;2;4
2020.12.16-22:00:17.556;1;14;0;1;1;0;3;5;1;0
2020.12.16-22:10:17.570;8;13;3;0;1;0;2;3;2;1
2020.12.16-22:20:17.627;6;10;4;1;0;0;0;6;0;0
2020.12.16-22:30:17.717;4;5;1;0;1;1;5;2;2;2
2020.12.16-22:40:17.852;1;2;0;0;1;0;0;2;0;0
2020.12.16-22:50:17.980;3;8;0;0;0;0;4;1;0;0
2020.12.16-23:00:18.141;3;7;0;0;0;0;1;0;2;1
2020.12.16-23:10:18.162;2;3;0;0;0;0;1;4;0;1
2020.12.16-23:20:18.227;4;2;1;0;0;0;3;0;1;0
2020.12.16-23:30:18.373;2;2;1;1;0;0;2;0;0;0
2020.12.16-23:40:18.517;2;7;0;0;0;0;1;0;1;0
2020.12.16-23:50:18.530;5;1;1;0;0;0;0;0;0;0
