Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.01.30-00:00:00.031;2;5;0;0;0;0;0;0;0;0
2021.01.30-00:10:00.094;3;6;1;0;0;1;0;0;0;0
2021.01.30-00:20:00.200;3;1;0;0;0;0;0;1;0;0
2021.01.30-00:30:00.339;6;3;0;0;0;0;0;0;0;0
2021.01.30-00:40:00.450;1;3;0;0;0;0;0;0;0;0
2021.01.30-00:50:00.519;3;2;0;0;0;0;0;1;0;1
2021.01.30-01:00:00.681;1;0;1;0;0;0;0;0;0;0
2021.01.30-01:10:00.706;1;1;0;0;0;0;0;0;0;0
2021.01.30-01:20:00.804;2;4;0;0;0;0;0;0;0;0
2021.01.30-01:30:00.811;1;4;0;0;0;0;0;0;0;0
2021.01.30-01:40:00.836;5;2;0;0;0;0;0;0;0;0
2021.01.30-01:50:01.032;1;0;0;0;0;0;0;0;0;0
2021.01.30-02:00:01.111;0;0;0;0;0;0;0;0;0;0
2021.01.30-02:10:01.213;2;0;0;0;0;0;0;0;0;0
2021.01.30-02:20:01.284;3;2;0;0;0;0;0;0;0;0
2021.01.30-02:30:01.338;2;6;0;0;0;0;0;0;0;0
2021.01.30-02:40:01.358;3;2;0;0;0;0;0;0;0;0
2021.01.30-02:50:01.454;0;4;0;0;0;0;0;0;0;0
2021.01.30-03:00:01.519;4;0;0;0;0;0;0;0;0;0
2021.01.30-03:10:01.711;2;1;0;0;0;0;0;0;0;0
2021.01.30-03:20:01.908;1;0;0;0;0;0;0;1;0;0
2021.01.30-03:30:02.078;2;0;0;0;0;0;2;0;0;0
2021.01.30-03:40:02.164;5;1;0;0;0;0;1;0;0;0
2021.01.30-03:50:02.232;3;0;0;0;0;0;0;1;0;0
2021.01.30-04:00:02.329;4;4;0;0;0;0;0;0;0;0
2021.01.30-04:10:02.439;2;5;0;0;0;0;0;1;0;0
2021.01.30-04:20:02.662;5;1;0;0;0;0;0;1;0;0
2021.01.30-04:30:02.775;7;1;0;0;0;0;0;2;0;1
2021.01.30-04:40:02.776;9;4;1;0;0;0;1;3;1;0
2021.01.30-04:50:02.899;17;4;0;0;0;0;1;4;0;2
2021.01.30-05:00:03.028;12;5;0;0;0;0;2;1;0;1
2021.01.30-05:10:03.178;20;7;1;0;1;0;0;3;0;1
2021.01.30-05:20:03.223;29;2;0;0;0;0;2;0;1;0
2021.01.30-05:30:03.280;22;13;1;0;0;0;1;1;0;1
2021.01.30-05:40:03.425;16;10;2;0;1;0;1;0;0;0
2021.01.30-05:50:03.486;29;11;3;2;0;0;1;3;0;0
2021.01.30-06:00:03.525;22;8;0;0;1;0;2;0;0;0
2021.01.30-06:10:03.697;26;15;0;0;0;0;2;1;1;0
2021.01.30-06:20:03.825;38;20;2;1;2;0;1;3;1;0
2021.01.30-06:30:03.841;37;17;2;6;2;0;2;1;1;0
2021.01.30-06:40:04.114;22;21;1;2;1;0;0;1;1;0
2021.01.30-06:50:04.199;34;24;3;3;2;0;2;6;1;0
2021.01.30-07:00:04.407;30;19;1;0;1;1;1;3;2;0
2021.01.30-07:10:04.606;46;34;5;1;3;1;1;3;1;3
2021.01.30-07:20:04.665;42;27;1;4;3;0;2;7;1;0
2021.01.30-07:30:04.775;69;27;3;0;4;0;2;2;1;0
2021.01.30-07:40:04.945;77;27;7;5;4;0;3;3;4;1
2021.01.30-07:50:05.025;74;48;5;7;11;1;2;5;2;2
2021.01.30-08:00:05.054;83;31;3;2;7;1;5;4;3;1
2021.01.30-08:10:05.190;63;40;6;2;6;2;2;3;0;4
2021.01.30-08:20:05.409;74;51;9;0;8;2;4;5;3;1
2021.01.30-08:30:05.555;97;52;6;2;5;3;5;4;2;1
2021.01.30-08:40:05.709;123;58;5;3;9;2;7;8;0;4
2021.01.30-08:50:05.894;127;70;7;6;7;1;0;2;2;1
2021.01.30-09:00:05.952;117;62;8;5;11;0;4;7;2;3
2021.01.30-09:10:06.159;111;66;9;3;11;7;3;3;1;0
2021.01.30-09:20:06.281;132;72;12;6;13;1;2;6;0;2
2021.01.30-09:30:06.541;125;71;14;9;10;3;5;1;2;0
2021.01.30-09:40:06.685;115;98;9;0;12;4;2;3;1;0
2021.01.30-09:50:06.838;135;90;11;2;19;5;2;2;2;2
2021.01.30-10:00:06.882;130;92;4;7;3;6;4;3;1;4
2021.01.30-10:10:06.888;110;86;7;5;14;7;2;2;1;1
2021.01.30-10:20:07.137;126;93;5;9;16;6;6;3;1;2
2021.01.30-10:30:07.141;143;107;9;12;11;13;4;2;4;2
2021.01.30-10:40:07.343;124;126;9;8;22;7;3;5;2;0
2021.01.30-10:50:07.531;105;121;7;8;16;7;5;6;1;0
2021.01.30-11:00:07.625;101;125;7;8;14;22;4;4;2;2
2021.01.30-11:10:07.648;89;121;7;9;17;13;0;6;1;1
2021.01.30-11:20:07.893;111;117;4;10;9;12;3;9;3;1
2021.01.30-11:30:08.082;114;127;5;9;18;8;16;4;0;1
2021.01.30-11:40:08.233;96;131;7;5;7;11;4;5;2;0
2021.01.30-11:50:08.416;98;118;8;14;11;5;5;2;1;1
2021.01.30-12:00:08.685;89;118;1;10;14;10;8;4;1;3
2021.01.30-12:10:08.883;82;141;9;14;5;5;2;3;0;0
2021.01.30-12:20:09.071;89;116;5;8;12;7;3;7;1;1
2021.01.30-12:30:09.264;103;105;4;7;15;15;4;1;2;2
2021.01.30-12:40:09.297;82;107;8;7;13;10;2;5;1;1
2021.01.30-12:50:09.417;104;106;5;3;10;11;8;7;3;4
2021.01.30-13:00:09.521;88;108;8;0;3;7;5;2;2;1
2021.01.30-13:10:09.603;74;104;10;10;7;13;2;5;0;0
2021.01.30-13:20:09.833;87;92;7;4;13;15;1;7;0;1
2021.01.30-13:30:09.848;98;96;10;5;15;10;2;3;1;1
2021.01.30-13:40:10.037;105;102;6;8;10;14;3;6;0;1
2021.01.30-13:50:10.214;87;95;4;9;20;23;5;2;2;0
