Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.01.03-00:14:21.789;2;0;0;0;0;0;0;0;0;0
2021.01.03-00:32:30.544;0;1;0;0;0;0;0;0;0;0
2021.01.03-00:42:30.599;0;0;0;0;0;0;0;0;0;0
2021.01.03-00:52:30.761;0;1;0;0;0;0;0;0;0;0
2021.01.03-01:02:30.782;2;3;0;0;0;0;0;0;0;0
2021.01.03-01:12:30.909;0;1;0;0;0;0;0;0;0;0
2021.01.03-01:22:30.913;1;1;0;0;0;0;0;0;0;0
2021.01.03-01:32:31.108;0;3;0;0;0;0;0;0;0;0
2021.01.03-01:42:31.229;0;0;0;0;0;0;0;0;0;0
2021.01.03-01:52:31.244;2;1;0;0;0;0;0;0;0;0
2021.01.03-02:02:31.273;0;1;0;0;0;0;0;0;0;0
2021.01.03-02:12:31.322;0;0;0;0;0;0;0;0;0;0
2021.01.03-02:22:31.367;2;0;0;0;0;0;0;0;0;0
2021.01.03-02:32:31.490;0;1;0;0;0;0;0;0;0;0
2021.01.03-02:42:31.640;0;2;0;0;0;0;0;0;0;0
2021.01.03-02:52:31.681;2;1;0;0;0;0;0;0;0;0
2021.01.03-03:02:31.716;3;0;0;0;0;0;0;1;0;0
2021.01.03-03:12:31.736;2;2;0;0;0;0;0;0;0;0
2021.01.03-03:22:31.872;0;0;0;1;0;0;0;5;0;0
2021.01.03-03:32:32.080;3;0;0;0;0;0;0;0;0;0
2021.01.03-03:42:32.098;2;0;0;0;0;0;1;0;0;0
2021.01.03-03:52:32.257;2;1;0;0;0;0;0;0;0;0
2021.01.03-04:02:32.290;3;2;1;0;0;0;0;1;0;0
2021.01.03-04:12:32.301;0;1;1;0;0;0;0;3;1;1
2021.01.03-04:22:32.427;4;1;0;0;0;0;2;2;0;0
2021.01.03-04:32:32.520;6;3;0;0;0;0;2;0;0;0
2021.01.03-04:42:32.584;3;6;0;0;0;0;0;5;0;2
2021.01.03-04:52:32.590;7;0;1;0;1;0;1;2;0;1
2021.01.03-05:02:32.722;9;3;0;0;0;0;3;0;0;0
2021.01.03-05:12:32.914;11;2;0;1;1;0;1;4;3;0
2021.01.03-05:22:33.030;11;6;1;1;0;0;3;0;1;0
2021.01.03-05:32:33.147;6;11;3;1;0;0;1;2;0;0
2021.01.03-05:42:33.204;15;7;1;0;3;0;0;1;1;0
2021.01.03-05:52:33.257;11;2;4;4;2;0;2;3;0;3
2021.01.03-06:02:33.421;12;6;1;0;3;0;3;0;0;0
2021.01.03-06:12:33.523;13;13;0;0;3;0;1;3;1;0
2021.01.03-06:22:33.532;17;12;0;0;0;0;5;4;1;1
2021.01.03-06:32:33.535;13;11;2;0;1;0;3;1;1;0
2021.01.03-06:42:33.567;15;2;2;2;2;0;1;2;0;0
2021.01.03-06:52:33.715;10;11;1;1;1;0;1;7;2;2
2021.01.03-07:02:33.752;11;7;0;1;2;1;4;3;2;0
2021.01.03-07:12:33.905;7;7;0;0;4;1;3;0;2;0
2021.01.03-07:22:45.845;18;12;1;1;4;3;2;3;1;2
2021.01.03-07:32:45.962;25;8;0;0;2;2;4;2;4;0
2021.01.03-07:42:46.084;20;18;3;3;4;2;0;8;3;1
2021.01.03-07:52:46.228;23;8;2;3;4;2;4;6;3;2
2021.01.03-08:02:46.361;20;20;4;0;5;2;2;1;1;2
2021.01.03-08:12:46.380;25;17;0;5;4;0;3;5;0;3
2021.01.03-08:22:46.511;31;12;2;2;9;0;1;4;0;1
2021.01.03-08:32:46.581;32;16;1;2;6;2;2;3;3;1
2021.01.03-08:42:46.696;45;21;2;4;9;2;3;7;0;0
2021.01.03-08:52:46.874;38;18;1;4;3;1;3;3;5;2
2021.01.03-09:02:46.906;34;35;2;3;5;5;2;4;1;0
2021.01.03-09:12:47.119;47;36;3;3;8;2;3;3;1;3
2021.01.03-09:22:47.137;39;22;3;6;9;3;2;7;0;0
2021.01.03-09:32:47.622;48;45;2;1;12;6;2;1;1;0
2021.01.03-09:42:47.715;59;37;3;3;10;3;1;7;3;2
2021.01.03-09:52:47.784;74;45;1;2;13;2;4;4;0;1
2021.01.03-10:02:47.814;67;46;2;5;5;2;6;4;1;1
2021.01.03-10:12:47.824;56;36;1;5;6;4;0;4;2;1
2021.01.03-10:22:48.022;72;46;2;4;11;1;4;5;3;2
2021.01.03-10:32:48.132;63;48;2;7;5;5;4;0;0;0
2021.01.03-10:42:48.235;71;60;1;7;1;1;0;5;1;1
2021.01.03-10:52:48.341;56;48;2;4;6;6;4;6;3;0
2021.01.03-11:02:48.477;63;55;5;11;8;5;2;4;1;1
2021.01.03-11:12:48.655;57;44;4;5;15;12;1;2;1;1
2021.01.03-11:22:48.784;66;71;5;11;8;5;2;6;0;1
2021.01.03-11:32:48.903;66;57;0;8;5;9;2;1;3;0
2021.01.03-11:42:48.989;76;91;4;7;11;17;1;7;1;1
2021.01.03-11:52:49.090;66;84;1;6;15;11;3;6;0;1
2021.01.03-12:02:49.272;64;67;2;5;13;3;5;3;2;0
2021.01.03-12:12:49.415;80;64;2;6;4;5;3;4;0;1
2021.01.03-12:22:49.485;79;79;2;12;8;8;3;3;1;2
2021.01.03-12:32:49.544;63;77;2;11;3;4;1;1;2;0
2021.01.03-12:42:49.686;60;72;1;4;12;1;2;5;1;2
2021.01.03-12:52:49.842;62;65;1;10;4;5;3;3;1;0
2021.01.03-13:02:49.974;61;53;4;4;11;5;4;5;0;1
2021.01.03-13:12:50.066;45;52;3;6;7;6;3;3;0;0
2021.01.03-13:22:50.247;54;56;5;3;15;5;4;2;2;0
2021.01.03-13:32:50.374;64;51;6;5;5;3;5;0;0;0
2021.01.03-13:42:50.448;52;61;10;5;11;10;2;8;0;1
2021.01.03-13:52:50.700;70;57;4;8;9;10;4;6;2;2
2021.01.03-14:02:50.968;64;67;4;10;13;12;5;2;1;0
2021.01.03-14:12:50.994;61;73;9;6;19;8;5;3;1;2
2021.01.03-14:22:51.074;57;69;6;7;16;14;3;0;0;1
2021.01.03-14:32:51.321;62;73;5;9;9;11;1;0;1;1
2021.01.03-14:42:52.066;64;68;8;9;15;16;1;5;1;4
2021.01.03-14:52:52.097;62;54;4;7;14;12;5;7;2;3
2021.01.03-15:02:52.286;80;59;4;11;18;8;2;1;1;1
2021.01.03-15:12:52.294;82;75;5;10;22;18;0;5;2;1
2021.01.03-15:22:52.406;72;67;4;11;17;14;2;3;0;3
