Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.04.15-09:36:23.898;90;64;10;8;5;1;11;2;1;0
2020.04.15-21:46:46.843;4;21;0;0;0;0;1;1;0;1
2020.04.15-19:36:31.832;36;38;2;4;11;1;4;3;1;2
2020.04.15-05:13:48.047;33;13;10;2;8;0;0;5;0;0
2020.04.15-21:06:46.410;16;18;2;4;2;0;2;4;1;4
2020.04.15-08:13:50.543;78;52;0;5;12;5;0;7;0;4
2020.04.15-18:56:31.297;51;51;4;11;17;1;5;2;0;2
2020.04.15-13:56:27.639;78;98;6;8;9;4;9;6;3;1
2020.04.15-12:36:25.938;85;94;6;15;7;2;3;4;4;2
2020.04.15-15:46:28.664;65;107;12;11;13;8;2;3;1;0
2020.04.15-00:20:00.317;1;5;0;0;0;0;0;1;0;0
2020.04.15-10:56:24.900;60;65;2;9;1;1;6;11;2;1
2020.04.15-11:56:25.623;79;93;11;11;8;1;5;7;3;2
2020.04.15-13:26:27.070;68;87;4;9;10;7;4;3;3;1
2020.04.15-16:36:29.151;70;119;8;22;15;14;4;4;1;1
2020.04.15-14:16:27.793;82;89;16;6;6;5;5;1;1;0
2020.04.15-03:43:47.128;8;2;1;0;0;0;0;0;0;0
2020.04.15-02:00:01.125;0;1;0;0;0;0;0;0;0;0
2020.04.15-22:26:47.319;8;5;0;2;0;0;4;1;1;0
2020.04.15-20:56:32.899;16;24;7;3;4;1;3;6;2;0
2020.04.15-06:43:48.884;47;38;4;9;4;3;2;6;0;1
2020.04.15-06:53:49.069;44;37;5;4;6;3;6;9;1;1
2020.04.15-06:13:48.590;44;18;9;6;5;2;1;1;1;1
2020.04.15-11:36:25.360;84;79;8;7;9;2;2;2;4;3
2020.04.15-03:03:46.635;2;0;0;0;0;0;0;0;0;0
2020.04.15-16:56:29.592;81;102;6;16;13;9;6;4;1;1
2020.04.15-07:03:49.339;57;47;9;4;2;1;3;0;0;0
2020.04.15-22:46:47.484;7;6;1;2;0;0;1;0;0;0
2020.04.15-07:23:49.719;88;51;5;5;8;5;4;5;0;2
2020.04.15-04:53:47.852;18;8;3;0;0;1;0;2;1;0
2020.04.15-01:40:00.847;0;1;0;0;0;1;0;0;0;0
2020.04.15-19:26:31.802;50;48;3;13;9;4;2;4;1;3
2020.04.15-00:50:00.550;1;1;0;0;0;0;0;0;0;0
2020.04.15-18:06:30.779;60;70;19;6;8;2;2;3;2;3
2020.04.15-20:16:32.148;35;48;15;2;3;1;1;0;1;0
2020.04.15-17:16:29.905;55;84;18;28;10;12;1;5;1;2
2020.04.15-17:26:30.069;57;78;12;19;5;1;1;4;1;2
2020.04.15-09:26:23.895;74;69;6;8;9;2;1;4;2;2
2020.04.15-00:10:00.133;0;1;1;0;0;1;0;0;0;0
2020.04.15-14:36:27.911;69;115;8;19;5;7;9;2;2;4
2020.04.15-12:46:26.274;75;84;7;11;2;6;0;2;0;0
2020.04.15-11:46:25.619;81;87;10;15;8;2;0;3;0;1
2020.04.15-03:33:46.965;7;0;0;0;0;0;0;0;1;0
2020.04.15-20:26:32.428;25;32;5;3;2;2;1;4;1;1
2020.04.15-17:46:30.556;52;86;19;11;15;5;0;5;1;2
2020.04.15-00:40:00.474;0;1;0;0;0;0;0;0;0;0
2020.04.15-11:26:25.297;80;74;9;4;6;7;10;5;0;1
2020.04.15-07:13:49.535;91;54;8;12;6;7;8;5;1;0
2020.04.15-15:26:28.479;63;126;7;21;8;4;4;6;0;0
2020.04.15-23:16:47.800;2;4;0;0;1;0;1;0;1;0
2020.04.15-14:26:27.871;83;109;11;20;5;7;3;7;1;0
2020.04.15-22:06:47.003;5;22;2;2;0;0;1;3;0;1
2020.04.15-22:16:47.148;10;15;4;2;0;1;0;2;1;1
2020.04.15-19:16:31.757;45;56;10;4;14;0;1;3;1;1
2020.04.15-23:46:48.179;0;1;2;0;1;0;0;0;0;0
2020.04.15-06:03:48.558;38;14;10;6;11;2;3;1;1;1
2020.04.15-16:26:29.145;82;96;13;20;11;7;2;4;1;1
2020.04.15-00:30:00.453;6;1;0;0;0;0;0;0;0;0
2020.04.15-10:16:24.610;73;100;10;13;10;2;2;3;0;0
2020.04.15-03:13:46.780;0;0;0;0;0;0;0;0;0;0
2020.04.15-21:16:46.444;18;18;2;2;2;0;0;0;1;0
2020.04.15-18:16:30.831;46;71;7;13;16;8;0;1;0;0
2020.04.15-23:56:48.221;1;0;0;0;0;0;0;0;0;0
2020.04.15-14:06:27.783;67;106;4;11;5;8;9;3;1;1
2020.04.15-17:06:29.667;60;101;16;12;12;8;6;1;0;2
2020.04.15-15:06:28.288;59;104;4;23;6;7;3;4;0;0
2020.04.15-01:20:00.613;1;1;0;0;1;0;0;0;0;0
2020.04.15-12:56:26.637;88;80;17;10;6;3;12;6;1;1
2020.04.15-01:10:00.597;1;2;0;0;0;0;0;0;0;0
2020.04.15-14:46:27.930;67;92;6;23;8;5;4;2;0;1
