Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.01.29-00:00:00.125;2;3;0;0;0;0;0;0;0;0
2021.01.29-00:10:00.254;1;5;0;1;0;0;0;0;0;0
2021.01.29-00:20:00.367;1;3;0;0;0;0;0;3;0;0
2021.01.29-00:30:00.400;1;1;0;0;0;0;0;0;0;0
2021.01.29-00:40:00.557;1;2;0;0;0;0;0;0;0;0
2021.01.29-00:50:00.673;2;0;0;0;0;0;0;0;0;0
2021.01.29-01:00:00.864;0;4;0;0;0;0;0;0;0;0
2021.01.29-01:10:00.892;1;0;0;0;0;0;0;0;0;0
2021.01.29-01:20:01.048;1;1;0;0;0;0;0;0;0;0
2021.01.29-01:30:01.216;2;0;0;0;0;0;0;1;0;0
2021.01.29-01:40:01.314;2;2;0;0;0;0;0;0;0;0
2021.01.29-01:50:01.479;0;0;0;0;0;0;0;0;0;0
2021.01.29-02:00:01.629;0;0;0;0;0;0;0;0;0;0
2021.01.29-02:10:01.739;4;0;0;0;0;0;0;0;0;0
2021.01.29-02:20:01.793;2;1;0;0;0;0;0;0;0;0
2021.01.29-02:30:01.980;1;3;0;0;0;0;0;0;0;0
2021.01.29-02:40:02.021;1;1;0;0;0;0;0;0;0;0
2021.01.29-02:50:02.152;2;4;0;0;1;0;0;0;0;0
2021.01.29-03:00:02.360;1;4;0;0;0;0;0;1;0;0
2021.01.29-03:10:02.517;4;1;0;0;0;0;0;1;0;0
2021.01.29-03:20:02.556;5;2;0;0;0;0;1;4;0;0
2021.01.29-03:30:02.559;5;0;0;0;0;0;1;1;0;0
2021.01.29-03:40:02.737;4;0;0;0;0;0;4;0;0;0
2021.01.29-03:50:02.877;3;0;0;0;0;0;0;0;0;0
2021.01.29-04:00:03.065;3;1;0;0;1;0;0;0;0;0
2021.01.29-04:10:03.070;11;2;0;0;0;0;0;5;0;0
2021.01.29-04:20:03.162;9;4;1;0;2;0;2;4;0;0
2021.01.29-04:30:03.190;9;6;0;0;3;0;1;3;0;1
2021.01.29-04:40:03.244;14;4;1;2;1;0;0;4;0;0
2021.01.29-04:50:03.275;25;9;0;2;1;0;4;5;0;0
2021.01.29-05:00:03.539;15;10;2;0;4;0;4;3;0;0
2021.01.29-05:10:03.621;38;15;7;0;1;0;4;5;0;0
2021.01.29-05:20:03.794;33;15;5;0;2;0;1;6;0;0
2021.01.29-05:30:03.926;58;30;2;3;4;0;3;3;0;0
2021.01.29-05:40:04.056;56;20;7;1;1;0;5;7;0;1
2021.01.29-05:50:04.254;43;22;2;3;2;0;4;3;0;0
2021.01.29-06:00:04.335;50;18;2;1;1;0;2;9;1;0
2021.01.29-06:10:04.458;57;28;9;1;2;0;2;4;0;1
2021.01.29-06:20:04.652;80;33;8;4;1;0;5;7;2;0
2021.01.29-06:30:04.726;91;42;4;2;0;0;4;2;0;0
2021.01.29-06:40:04.727;116;37;6;5;2;1;5;7;2;0
2021.01.29-06:50:04.869;166;61;5;8;14;1;7;3;4;1
2021.01.29-07:00:05.075;169;71;11;9;20;6;12;8;4;0
2021.01.29-07:10:05.168;176;78;14;3;20;4;4;11;2;2
2021.01.29-07:20:05.206;187;83;19;7;33;7;7;9;3;2
2021.01.29-07:30:05.331;148;99;15;10;14;6;13;2;6;1
2021.01.29-07:40:05.345;166;99;15;8;23;6;5;9;2;2
2021.01.29-07:50:05.445;176;109;14;9;23;3;6;10;3;3
2021.01.29-08:00:05.766;143;85;6;12;7;3;10;13;2;0
2021.01.29-08:10:06.195;115;76;13;8;16;3;8;9;2;6
2021.01.29-08:20:06.399;111;78;9;9;13;11;6;6;2;1
2021.01.29-08:30:06.416;119;64;8;5;5;4;7;4;0;3
2021.01.29-08:40:06.504;122;92;11;11;17;6;8;7;3;0
2021.01.29-08:50:06.775;128;99;10;9;10;3;7;3;1;1
2021.01.29-09:00:06.803;99;72;8;12;16;0;7;6;2;4
2021.01.29-09:10:06.975;116;71;7;5;12;6;5;5;0;5
2021.01.29-09:20:07.257;129;68;7;9;19;3;10;2;0;1
2021.01.29-09:30:07.274;149;96;8;8;6;6;6;3;0;3
2021.01.29-09:40:07.346;105;89;11;5;10;5;8;8;1;2
2021.01.29-09:50:07.572;121;68;13;7;13;5;5;4;0;1
2021.01.29-10:00:07.776;92;87;10;3;13;2;6;9;1;0
2021.01.29-10:10:07.878;109;69;4;9;5;2;5;8;0;1
2021.01.29-10:20:08.045;113;107;7;5;11;3;5;6;2;2
2021.01.29-10:30:08.088;82;76;7;4;15;6;2;4;4;1
2021.01.29-10:40:08.317;115;110;7;17;7;8;5;4;1;4
2021.01.29-10:50:08.381;125;97;3;21;16;3;7;6;0;3
2021.01.29-11:00:08.603;109;109;5;7;6;2;9;9;3;2
2021.01.29-11:10:08.674;87;105;2;9;12;4;8;13;2;3
2021.01.29-11:20:08.848;82;91;6;11;15;2;6;6;0;1
2021.01.29-11:30:09.055;85;91;5;7;11;14;6;6;1;4
2021.01.29-11:40:09.123;97;100;10;11;8;5;5;6;5;1
2021.01.29-11:50:09.234;94;104;11;8;14;10;10;11;2;2
2021.01.29-12:00:09.410;99;115;6;11;15;13;12;13;2;0
2021.01.29-12:10:09.614;90;117;7;7;9;4;4;4;2;1
2021.01.29-12:20:09.762;99;106;6;5;14;5;3;5;1;5
2021.01.29-12:30:09.869;108;117;5;21;13;5;5;3;1;1
2021.01.29-12:40:10.117;142;108;12;9;9;12;9;6;2;3
2021.01.29-12:50:10.237;122;110;7;10;19;3;6;5;0;1
2021.01.29-13:00:10.475;99;122;15;15;13;4;6;3;2;2
2021.01.29-13:10:10.523;108;118;4;13;13;10;2;6;2;2
2021.01.29-13:20:10.581;113;121;6;8;6;7;5;9;2;4
2021.01.29-13:30:10.768;106;106;10;15;18;7;7;6;3;1
2021.01.29-13:40:10.935;131;125;4;20;18;10;8;8;1;2
2021.01.29-13:50:11.212;142;133;7;23;8;3;6;8;1;2
2021.01.29-14:00:11.536;123;120;3;12;10;10;16;5;3;1
2021.01.29-14:10:11.764;125;139;13;21;7;7;6;15;0;4
2021.01.29-14:20:11.915;108;122;4;11;4;6;12;8;3;2
2021.01.29-14:30:12.094;91;124;6;9;5;12;9;6;1;1
2021.01.29-14:40:12.336;109;134;5;8;6;2;8;13;2;3
2021.01.29-14:50:12.589;97;145;5;13;8;7;9;7;2;1
2021.01.29-15:00:12.799;104;143;3;10;10;15;7;11;4;3
2021.01.29-15:10:12.815;137;147;4;12;13;4;5;7;0;4
2021.01.29-15:20:12.878;122;129;0;10;11;1;6;7;4;7
2021.01.29-15:30:13.021;103;139;4;14;6;2;8;6;1;2
2021.01.29-15:40:13.166;130;153;5;9;8;5;13;18;2;3
2021.01.29-15:50:13.250;129;138;4;10;8;2;3;12;0;3
2021.01.29-16:00:13.378;104;146;1;9;9;1;14;13;5;2
2021.01.29-16:10:13.619;113;179;7;8;12;3;11;11;2;1
2021.01.29-16:20:13.638;118;178;0;15;12;0;8;8;4;1
2021.01.29-16:30:13.871;135;167;3;12;10;0;6;5;2;2
2021.01.29-16:40:13.884;106;155;1;6;12;3;2;6;1;1
2021.01.29-16:50:14.032;119;154;1;6;11;1;0;4;3;1
2021.01.29-17:00:14.322;135;148;3;9;2;1;2;2;0;0
2021.01.29-17:10:14.366;148;152;2;6;6;0;2;5;0;1
2021.01.29-17:20:14.567;112;133;4;3;8;0;3;5;0;0
2021.01.29-17:30:14.811;109;155;2;1;2;1;10;4;1;0
2021.01.29-17:40:15.055;144;174;5;2;1;0;3;6;1;0
2021.01.29-17:50:15.057;91;147;2;2;4;0;3;5;2;0
2021.01.29-18:00:15.213;84;164;4;4;2;0;6;4;1;1
2021.01.29-18:10:16.153;102;152;3;1;2;3;3;4;1;0
2021.01.29-18:20:16.202;88;122;5;5;3;1;1;3;1;1
2021.01.29-18:30:16.245;82;137;0;4;3;2;2;2;2;0
2021.01.29-18:40:16.330;67;136;3;4;3;1;2;3;1;3
2021.01.29-18:50:16.385;79;108;5;0;4;3;1;3;0;0
2021.01.29-19:00:16.518;61;146;7;4;2;1;1;5;0;1
2021.01.29-19:10:16.648;62;114;5;6;2;1;1;2;0;1
2021.01.29-19:20:16.814;65;117;2;1;3;1;2;4;0;0
2021.01.29-19:30:17.074;67;94;3;1;0;0;2;3;2;0
2021.01.29-19:40:17.097;51;100;3;4;0;0;4;3;1;1
2021.01.29-19:50:17.229;58;69;4;5;1;0;5;5;1;0
2021.01.29-20:00:17.353;37;49;7;0;1;0;4;0;0;0
2021.01.29-20:10:17.355;27;27;1;1;1;1;2;2;1;0
2021.01.29-20:20:17.463;16;22;2;4;0;0;3;2;0;0
2021.01.29-20:30:17.616;22;20;2;0;0;0;1;0;1;0
2021.01.29-20:40:17.771;9;14;3;0;2;0;3;3;0;0
2021.01.29-20:50:17.918;14;18;2;1;0;0;5;5;0;1
2021.01.29-21:00:17.961;11;10;1;1;0;0;2;3;1;0
2021.01.29-21:10:18.067;10;11;0;0;0;0;2;1;0;0
2021.01.29-21:20:18.088;6;13;4;0;0;0;1;1;0;0
2021.01.29-21:30:18.260;8;14;0;0;1;0;1;1;0;0
2021.01.29-21:40:18.263;3;10;0;0;1;0;0;5;0;0
2021.01.29-21:50:18.307;6;7;4;1;0;1;1;1;0;0
2021.01.29-22:00:18.490;9;18;1;0;1;0;1;1;0;0
2021.01.29-22:10:18.552;10;6;1;0;1;0;4;2;0;0
2021.01.29-22:20:18.700;7;6;2;0;0;1;1;2;0;0
2021.01.29-22:30:18.729;3;6;0;0;0;0;0;2;0;0
2021.01.29-22:40:18.771;7;17;0;0;0;0;0;3;0;0
2021.01.29-22:50:18.781;8;2;0;0;0;0;3;1;1;0
2021.01.29-23:00:18.943;4;2;1;0;0;0;3;2;0;0
2021.01.29-23:10:18.962;2;7;0;0;0;0;0;1;0;0
2021.01.29-23:20:19.025;4;2;0;0;0;0;1;0;0;0
2021.01.29-23:30:19.075;1;4;0;0;0;0;1;0;0;0
2021.01.29-23:40:19.188;6;4;0;0;0;0;1;0;0;0
2021.01.29-23:50:19.282;3;7;0;0;0;0;0;0;0;0
