Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.09.02-00:00:00.100;1;1;0;2;0;0;0;0;0;0
2021.09.02-00:10:00.169;2;1;4;2;1;2;0;0;0;0
2021.09.02-00:20:00.171;0;11;0;1;1;2;0;1;0;0
2021.09.02-00:30:00.183;3;3;0;2;0;4;0;0;0;0
2021.09.02-00:40:00.321;4;2;1;1;0;4;0;0;0;0
2021.09.02-00:50:00.510;1;1;1;6;2;5;0;1;0;2
2021.09.02-01:00:00.634;4;2;2;0;1;2;0;0;0;0
2021.09.02-01:10:00.659;3;1;1;0;1;3;0;0;0;0
2021.09.02-01:20:00.662;1;0;1;1;0;2;0;0;0;0
2021.09.02-01:30:04.801;0;0;1;0;0;2;0;0;0;0
2021.09.02-01:40:04.858;1;2;1;1;1;0;0;0;0;0
2021.09.02-01:50:05.001;2;0;0;0;1;2;0;0;0;0
2021.09.02-02:00:05.127;1;3;0;0;0;0;0;0;0;0
2021.09.02-02:10:05.186;2;1;0;0;0;0;0;1;0;0
2021.09.02-02:20:41.132;1;0;0;0;0;3;0;0;0;0
2021.09.02-02:30:41.209;2;2;2;1;0;1;0;0;0;0
2021.09.02-02:40:41.347;2;0;1;1;1;1;0;0;0;0
2021.09.02-02:50:41.348;0;2;0;0;1;0;0;0;0;0
2021.09.02-03:00:41.464;2;1;0;0;0;1;0;0;0;0
2021.09.02-03:10:41.486;0;1;0;0;0;2;0;0;0;0
2021.09.02-03:20:41.505;4;2;0;0;0;0;1;0;1;1
2021.09.02-03:30:41.692;4;1;1;0;1;0;1;3;0;1
2021.09.02-03:40:41.806;6;1;0;0;1;1;0;0;0;0
2021.09.02-03:50:41.893;8;1;4;2;3;0;1;0;0;0
2021.09.02-04:00:41.943;9;1;4;3;1;0;0;0;0;0
