Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2021.04.28-00:00:00.014;0;1;1;0;0;0;0;0;0;0
2021.04.28-00:10:00.166;1;3;0;0;3;0;0;0;0;0
2021.04.28-00:20:00.210;1;1;0;0;0;0;0;0;0;0
2021.04.28-00:30:00.258;1;1;1;0;2;0;0;0;0;0
2021.04.28-00:40:00.329;2;0;0;0;0;0;0;0;0;0
2021.04.28-00:50:00.335;1;1;0;0;0;0;0;0;0;0
2021.04.28-01:00:00.520;3;2;0;0;0;0;0;0;0;0
2021.04.28-01:10:00.643;0;3;0;0;0;0;0;0;0;0
2021.04.28-01:20:00.822;0;1;0;0;0;0;0;0;0;0
2021.04.28-01:30:00.878;3;2;0;0;0;0;0;1;0;0
2021.04.28-01:40:00.952;0;1;0;0;0;0;0;0;0;0
2021.04.28-01:50:01.061;0;1;0;0;0;0;0;0;0;0
2021.04.28-02:00:01.199;5;2;1;0;0;0;0;0;0;0
2021.04.28-02:10:01.325;0;1;0;0;0;0;0;0;0;0
2021.04.28-02:20:01.451;1;2;0;0;0;0;0;0;0;0
2021.04.28-02:30:01.493;1;2;0;0;0;0;0;0;0;0
2021.04.28-02:40:01.532;2;1;0;0;0;0;0;0;0;0
2021.04.28-02:50:01.689;3;3;0;0;0;0;0;1;0;0
2021.04.28-03:00:01.754;4;1;0;0;0;0;0;0;0;0
2021.04.28-03:10:01.762;5;2;0;0;1;0;0;0;0;0
2021.04.28-03:20:01.835;2;1;0;0;0;0;0;2;0;0
2021.04.28-03:30:01.964;4;1;1;0;1;0;0;3;0;0
2021.04.28-03:40:02.102;3;0;0;0;1;0;1;0;1;0
2021.04.28-03:50:02.199;7;0;1;0;0;0;1;0;0;0
2021.04.28-04:00:02.393;3;6;2;0;2;0;0;0;0;0
2021.04.28-04:10:02.521;4;2;2;0;1;0;1;10;0;1
2021.04.28-04:20:02.677;6;4;2;0;0;0;1;3;1;1
2021.04.28-04:30:02.836;15;3;1;2;3;0;4;4;0;0
2021.04.28-04:40:03.046;15;5;0;1;1;0;3;6;1;0
2021.04.28-04:50:03.277;29;10;7;1;0;0;2;4;0;0
2021.04.28-05:00:03.398;29;7;0;0;3;0;3;1;1;0
2021.04.28-05:10:03.411;31;11;2;3;10;0;6;2;0;0
2021.04.28-05:20:03.464;43;10;2;4;8;0;4;5;0;1
2021.04.28-05:30:03.506;53;15;4;5;12;0;10;3;1;0
2021.04.28-05:40:03.675;51;15;2;8;6;0;3;5;0;2
2021.04.28-05:50:03.791;62;20;1;4;8;3;5;9;0;0
2021.04.28-06:00:03.827;42;12;7;7;8;0;5;5;2;0
2021.04.28-06:10:03.933;66;16;3;4;13;2;5;3;2;2
2021.04.28-06:20:04.057;97;32;11;9;9;3;8;8;3;3
