Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.03.16-16:25:42.558;98;163;16;10;9;2;12;7;6;3
2020.03.16-23:35:51.108;4;8;0;1;0;0;1;1;0;0
2020.03.16-02:15:30.178;1;2;1;0;1;1;0;0;0;0
2020.03.16-05:55:32.322;35;17;5;4;7;1;4;7;2;1
2020.03.16-06:25:32.656;62;41;9;10;16;1;5;4;3;0
2020.03.16-06:35:32.681;90;51;12;9;9;0;7;7;1;4
2020.03.16-00:30:00.412;5;6;0;0;0;0;0;1;0;0
2020.03.16-18:15:43.966;74;100;6;9;11;4;1;11;0;0
2020.03.16-06:55:33.045;121;57;4;5;19;2;8;12;4;1
2020.03.16-13:05:39.607;109;77;5;18;5;12;6;10;0;4
2020.03.16-02:35:30.299;3;4;0;0;0;0;0;0;0;0
2020.03.16-08:25:34.353;138;108;11;3;21;5;9;6;4;3
2020.03.16-14:05:40.317;92;103;9;10;7;2;10;7;5;3
2020.03.16-04:25:31.501;3;4;3;2;0;0;0;0;1;2
2020.03.16-04:45:31.709;12;3;1;2;1;0;0;2;1;1
2020.03.16-03:05:30.745;1;0;0;0;0;0;0;0;0;0
2020.03.16-12:25:38.965;104;105;14;8;6;7;4;6;2;2
2020.03.16-15:55:42.020;79;117;9;21;11;5;7;8;3;1
2020.03.16-16:05:42.213;101;158;12;16;11;2;15;5;3;4
2020.03.16-22:55:50.751;5;5;0;1;0;0;3;5;1;0
2020.03.16-11:35:38.448;97;106;6;7;8;9;12;9;0;4
2020.03.16-14:45:40.687;94;121;16;10;4;10;9;13;4;4
2020.03.16-11:55:38.646;100;110;2;18;8;7;4;6;1;4
2020.03.16-12:45:39.263;91;94;6;13;6;9;5;11;2;2
2020.03.16-18:35:44.105;68;107;9;11;5;1;6;10;0;0
2020.03.16-12:35:39.152;94;93;14;15;8;10;7;7;2;1
2020.03.16-18:45:44.176;83;106;4;6;5;1;1;10;0;0
2020.03.16-05:15:31.952;40;18;5;1;4;0;1;3;0;1
2020.03.16-10:25:36.081;102;88;6;16;8;8;7;10;1;1
2020.03.16-06:05:32.526;60;18;5;4;6;0;4;4;1;4
2020.03.16-21:25:50.275;16;18;1;4;1;1;4;1;2;1
2020.03.16-02:25:30.182;4;2;0;0;1;0;0;0;0;0
2020.03.16-07:45:33.806;114;94;25;18;47;8;13;9;2;2
2020.03.16-23:45:51.116;2;5;0;0;0;1;1;0;1;0
2020.03.16-14:25:40.541;85;122;7;7;6;8;7;7;1;2
2020.03.16-20:15:45.147;38;53;3;4;2;2;3;6;1;1
2020.03.16-06:45:32.864;123;51;11;11;5;5;11;14;5;3
2020.03.16-19:45:44.892;38;52;3;3;4;1;4;3;2;0
2020.03.16-03:45:31.189;5;0;0;0;0;0;0;0;1;0
2020.03.16-03:35:31.114;4;2;0;0;0;0;0;0;0;0
2020.03.16-01:15:29.557;2;2;1;0;0;0;0;0;0;0
